epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,941,0.1882,-0.2501,-0.2581,0.1890,0.1613,10.2618,-0.3083,-0.0000,1.0000,0.0000,2831.9
2,5000,998,0.1996,-0.1672,-0.1978,0.1928,0.2771,9.3471,-0.2931,0.0000,1.0000,0.0000,2274.4
3,5000,948,0.1896,-0.0564,-0.0707,0.1770,0.1857,9.2796,-0.3076,-0.0000,1.0000,0.0000,2291.2
4,5000,1032,0.2064,-0.0042,-0.0189,0.1726,0.2957,10.1254,-0.2905,-0.0000,1.0000,0.0000,3179.5
5,5000,1038,0.2076,-0.0349,-0.0543,0.1723,0.3201,9.8770,-0.2914,-0.0000,1.0000,0.0000,3590.5
6,5000,1018,0.2036,-0.1107,-0.1349,0.1794,0.3359,9.9083,-0.2876,0.0000,1.0000,0.0000,3017.4
7,5000,1082,0.2164,0.0289,-0.0060,0.1751,0.4396,9.6583,-0.2810,0.0000,1.0000,0.0000,2679.8
8,5000,1064,0.2128,-0.1034,-0.1327,0.1688,0.4717,10.2268,-0.2839,-0.0000,1.0000,0.0000,2227.3
9,5000,1052,0.2104,-0.0658,-0.0942,0.1670,0.4020,9.5234,-0.2862,-0.0000,1.0000,0.0000,12989.7
10,5000,1063,0.2126,-0.0046,-0.0478,0.1850,0.5179,10.1005,-0.2793,0.0000,1.0000,0.0000,2415.7
11,5000,1081,0.2162,0.0533,0.0450,0.1774,0.1619,9.6616,-0.2814,-0.0000,1.0000,0.0000,4655.9
12,5000,1093,0.2186,0.0929,0.0806,0.1715,0.2298,9.6481,-0.2797,-0.0000,1.0000,0.0000,33526.7
13,5000,1109,0.2218,-0.1382,-0.1535,0.1760,0.2583,9.8534,-0.2761,0.0000,1.0000,0.0000,2281.6
14,5000,1086,0.2172,0.0178,0.0047,0.1736,0.2719,10.0873,-0.2814,0.0000,1.0000,0.0000,2164.7
15,5000,1082,0.2164,-0.0030,-0.0078,0.1667,0.2638,10.4924,-0.2751,-0.0000,1.0000,0.0000,2439.1
16,5000,1127,0.2254,-0.0512,-0.0609,0.1691,0.1688,9.1681,-0.2729,-0.0000,1.0000,0.0000,2634.3
17,5000,1117,0.2234,-0.0130,-0.0263,0.1767,0.2495,10.0004,-0.2677,-0.0000,1.0000,0.0000,2436.7
18,5000,1078,0.2156,-0.0664,-0.0754,0.1652,0.2729,10.0921,-0.2750,-0.0000,1.0000,0.0000,2305.0
19,5000,1136,0.2272,0.1101,0.1033,0.1633,0.2508,9.9905,-0.2708,0.0000,1.0000,0.0000,2237.3
20,5000,1129,0.2258,-0.1450,-0.1641,0.1753,0.3230,10.0848,-0.2660,-0.0000,1.0000,0.0000,2444.7
21,5000,1117,0.2234,-0.1151,-0.1099,0.1697,0.1934,10.9363,-0.2748,0.0000,1.0000,0.0000,2591.4
22,5000,1096,0.2192,0.0261,0.0372,0.1705,0.1263,10.9020,-0.2777,0.0000,1.0000,0.0000,2255.2
23,5000,1128,0.2256,-0.2096,-0.1974,0.1696,0.1963,11.6617,-0.2725,-0.0000,1.0000,0.0000,2167.8
24,5000,1139,0.2278,0.1335,0.1380,0.1661,0.2756,11.5048,-0.2694,0.0000,1.0000,0.0000,2159.5
25,5000,1127,0.2254,-0.2118,-0.1947,0.1709,0.1910,12.1619,-0.2649,0.0000,1.0000,0.0000,2049.8
26,5000,1095,0.2190,0.0820,0.0869,0.1728,0.2240,11.3704,-0.2724,-0.0000,1.0000,0.0000,18502.1
27,5000,1053,0.2106,0.1421,0.1506,0.1711,0.2096,11.5031,-0.2864,0.0000,1.0000,0.0000,2330.1
28,5000,1154,0.2308,-0.1537,-0.1516,0.1766,0.2163,11.1973,-0.2599,-0.0000,1.0000,0.0000,2275.3
29,5000,1142,0.2284,-0.2122,-0.1959,0.1652,0.1932,11.8249,-0.2698,0.0000,1.0000,0.0000,2392.1
30,5000,1142,0.2284,-0.0327,-0.0241,0.1666,0.1803,10.9904,-0.2694,0.0000,1.0000,0.0000,2157.7
31,5000,1179,0.2358,-0.0152,-0.0299,0.1695,0.3314,10.3103,-0.2625,0.0000,1.0000,0.0000,2173.5
32,5000,1156,0.2312,-0.0251,-0.0532,0.1702,0.4430,10.1336,-0.2667,-0.0000,1.0000,0.0000,1952.3
33,5000,1199,0.2398,-0.2261,-0.2419,0.1755,0.2222,9.4122,-0.2578,-0.0000,1.0000,0.0000,1936.8
34,5000,1165,0.2330,0.2526,0.2392,0.1712,0.2982,10.2014,-0.2634,-0.0000,1.0000,0.0000,1915.4
35,5000,1162,0.2324,0.0530,0.0084,0.1730,0.5360,9.5507,-0.2579,0.0000,1.0000,0.0000,1976.3
36,5000,1136,0.2272,0.1827,0.1562,0.1697,0.4172,10.0062,-0.2710,0.0000,1.0000,0.0000,1932.8
37,5000,1153,0.2306,-0.0357,-0.0575,0.1676,0.4097,10.2918,-0.2661,0.0000,1.0000,0.0000,1990.1
38,5000,1166,0.2332,0.0665,0.0612,0.1676,0.2228,10.0766,-0.2648,-0.0000,1.0000,0.0000,2115.0
39,5000,1136,0.2272,0.0679,0.0416,0.1682,0.4499,10.2780,-0.2711,-0.0000,1.0000,0.0000,2093.3
40,5000,1157,0.2314,-0.0424,-0.0604,0.1702,0.2831,9.5338,-0.2669,0.0000,1.0000,0.0000,2207.3
41,5000,1178,0.2356,-0.1195,-0.1360,0.1664,0.3061,9.7276,-0.2617,-0.0000,1.0000,0.0000,2201.8
42,5000,1161,0.2322,0.1497,0.1275,0.1717,0.3441,9.8062,-0.2649,-0.0000,1.0000,0.0000,2311.9
43,5000,1152,0.2304,0.0665,0.0488,0.1791,0.2465,9.6502,-0.2667,0.0000,1.0000,0.0000,2414.9
44,5000,1199,0.2398,-0.1175,-0.1569,0.1795,0.4171,9.2108,-0.2504,0.0000,1.0000,0.0000,2366.5
45,5000,1174,0.2348,0.0848,0.0781,0.1675,0.2153,9.8670,-0.2639,0.0000,1.0000,0.0000,2241.4
46,5000,1146,0.2292,0.0331,0.0214,0.1639,0.2634,9.6556,-0.2689,0.0000,1.0000,0.0000,4586.0
47,5000,1157,0.2314,0.0106,-0.0039,0.1696,0.2556,9.5907,-0.2669,0.0000,1.0000,0.0000,1635.2
48,5000,1128,0.2256,0.0170,0.0048,0.1657,0.2770,9.8333,-0.2727,-0.0000,1.0000,0.0000,1689.5
