epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,935,0.1870,-0.1576,-0.3471,0.5256,0.2337,9.6678,-0.6235,-0.0000,1.0000,0.0000,2882.1
2,5000,1005,0.2010,-0.0983,-0.2950,0.5050,0.2811,8.3991,-0.5976,0.0000,1.0000,0.0000,2327.9
3,5000,1026,0.2052,0.0313,-0.1753,0.4951,0.4425,8.5239,-0.5873,0.0000,1.0000,0.0000,2366.0
4,5000,1018,0.2036,0.0317,-0.1652,0.4940,0.4358,9.3706,-0.5907,-0.0000,1.0000,0.0000,3551.1
5,5000,1045,0.2090,-0.0119,-0.2190,0.4879,0.4713,8.3998,-0.5799,-0.0000,1.0000,0.0000,3654.4
6,5000,1073,0.2146,0.0271,-0.1830,0.4870,0.5652,8.9892,-0.5684,0.0000,1.0000,0.0000,3124.2
7,5000,1052,0.2104,0.0713,-0.1066,0.4408,0.4410,8.6603,-0.5782,0.0000,1.0000,0.0000,2450.2
8,5000,1057,0.2114,0.1009,-0.1078,0.4858,0.4993,8.4135,-0.5749,-0.0000,1.0000,0.0000,2468.4
9,5000,1106,0.2212,0.0704,-0.1296,0.4776,0.5064,8.9485,-0.5553,-0.0000,1.0000,0.0000,12868.1
10,5000,1075,0.2150,0.0391,-0.1622,0.4848,0.5794,9.9060,-0.5692,-0.0000,1.0000,0.0000,2458.7
11,5000,1031,0.2062,-0.0640,-0.1911,0.4501,0.0691,10.4885,-0.5869,-0.0000,1.0000,0.0000,4567.8
12,5000,1049,0.2098,-0.0595,-0.2125,0.4687,0.2293,10.4292,-0.5799,-0.0000,1.0000,0.0000,33544.4
13,5000,1133,0.2266,0.0005,-0.1715,0.4857,0.2389,9.4754,-0.5442,0.0000,1.0000,0.0000,2256.4
14,5000,1064,0.2128,-0.0924,-0.2569,0.4712,0.2683,9.7914,-0.5735,-0.0000,1.0000,0.0000,2158.9
15,5000,1101,0.2202,-0.1597,-0.3147,0.4672,0.2266,10.1287,-0.5585,0.0000,1.0000,0.0000,2396.3
16,5000,1109,0.2218,-0.0450,-0.1932,0.4544,0.2136,10.0427,-0.5538,-0.0000,1.0000,0.0000,2593.1
17,5000,1038,0.2076,0.0236,-0.1137,0.4391,0.1991,10.2098,-0.5823,-0.0000,1.0000,0.0000,2337.7
18,5000,1076,0.2152,0.0527,-0.0902,0.4430,0.2160,10.0285,-0.5670,0.0000,1.0000,0.0000,2387.1
19,5000,1081,0.2162,-0.0905,-0.2499,0.4733,0.2536,10.2585,-0.5669,0.0000,1.0000,0.0000,2170.0
20,5000,1115,0.2230,0.0185,-0.1330,0.4585,0.2418,10.1905,-0.5530,0.0000,1.0000,0.0000,2496.3
21,5000,1070,0.2140,0.0281,-0.1019,0.4565,0.1272,11.0932,-0.5718,-0.0000,1.0000,0.0000,2625.5
22,5000,1095,0.2190,0.0207,-0.1204,0.4464,0.1870,10.0808,-0.5614,0.0000,1.0000,0.0000,2282.8
23,5000,1113,0.2226,-0.1427,-0.2901,0.4613,0.2172,10.4984,-0.5519,-0.0000,1.0000,0.0000,2218.5
24,5000,1144,0.2288,-0.0529,-0.1952,0.4540,0.2527,10.9989,-0.5418,-0.0000,1.0000,0.0000,2197.5
25,5000,1116,0.2232,0.0228,-0.1209,0.4575,0.2346,10.8526,-0.5511,-0.0000,1.0000,0.0000,2105.2
26,5000,1092,0.2184,0.0804,-0.0833,0.4638,0.3599,10.4238,-0.5603,-0.0000,1.0000,0.0000,18634.7
27,5000,1157,0.2314,-0.0447,-0.1901,0.4467,0.3172,10.9684,-0.5365,-0.0000,1.0000,0.0000,2413.8
28,5000,1129,0.2258,-0.0517,-0.2034,0.4567,0.2189,9.8512,-0.5480,0.0000,1.0000,0.0000,2428.8
29,5000,1133,0.2266,0.1991,0.0510,0.4504,0.2381,10.0805,-0.5461,0.0000,1.0000,0.0000,2319.7
30,5000,1101,0.2202,0.1156,-0.0578,0.4689,0.3036,9.1355,-0.5593,0.0000,1.0000,0.0000,2349.1
31,5000,1102,0.2204,0.0708,-0.0880,0.4572,0.1786,8.7670,-0.5583,-0.0000,1.0000,0.0000,2130.1
32,5000,1097,0.2194,0.1489,-0.0339,0.4539,0.3799,8.2162,-0.5606,0.0000,1.0000,0.0000,2001.6
33,5000,1083,0.2166,0.1792,0.0049,0.4610,0.3505,9.1231,-0.5653,0.0000,1.0000,0.0000,1892.3
34,5000,1157,0.2314,0.1203,-0.0629,0.4854,0.3059,9.0104,-0.5344,-0.0000,1.0000,0.0000,1929.2
35,5000,1113,0.2226,0.2503,0.0645,0.4602,0.3687,8.1172,-0.5540,-0.0000,1.0000,0.0000,1975.1
36,5000,1140,0.2280,-0.0198,-0.1904,0.4646,0.2812,8.9793,-0.5433,0.0000,1.0000,0.0000,1966.9
37,5000,1126,0.2252,0.1210,-0.0590,0.4556,0.3812,8.5958,-0.5489,-0.0000,1.0000,0.0000,2011.9
38,5000,1136,0.2272,0.0947,-0.0845,0.4665,0.3519,8.9279,-0.5446,-0.0000,1.0000,0.0000,2181.1
39,5000,1135,0.2270,0.1869,0.0078,0.4568,0.2717,7.6468,-0.5436,0.0000,1.0000,0.0000,2224.0
40,5000,1132,0.2264,0.1018,-0.0708,0.4564,0.2736,8.3035,-0.5445,-0.0000,1.0000,0.0000,2203.7
41,5000,1108,0.2216,0.1565,-0.0087,0.4544,0.2553,8.7553,-0.5538,0.0000,1.0000,0.0000,2210.1
42,5000,1157,0.2314,0.0695,-0.1087,0.4641,0.3053,8.4424,-0.5364,-0.0000,1.0000,0.0000,2413.5
43,5000,1137,0.2274,0.1722,-0.0115,0.4649,0.3292,8.1633,-0.5447,0.0000,1.0000,0.0000,2430.3
44,5000,1100,0.2200,0.0704,-0.1041,0.4517,0.3832,8.9670,-0.5592,0.0000,1.0000,0.0000,2344.9
45,5000,1143,0.2286,0.0742,-0.1092,0.4699,0.3033,8.1826,-0.5400,0.0000,1.0000,0.0000,2303.0
46,5000,1117,0.2234,0.2132,0.0318,0.4678,0.3175,8.4232,-0.5509,-0.0000,1.0000,0.0000,4507.2
47,5000,1127,0.2254,0.0845,-0.0931,0.4700,0.2726,8.4695,-0.5468,0.0000,1.0000,0.0000,1640.6
48,5000,1153,0.2306,0.2495,0.0619,0.4801,0.3906,9.1439,-0.5384,-0.0000,1.0000,0.0000,1803.6
49,5000,1140,0.2280,0.1105,-0.0825,0.4695,0.4881,9.0499,-0.5435,0.0000,1.0000,0.0000,1885.0
50,5000,1133,0.2266,0.0957,-0.0802,0.4564,0.3228,8.4572,-0.5444,0.0000,1.0000,0.0000,1725.3
51,5000,1146,0.2292,0.1034,-0.0647,0.4661,0.3051,9.5489,-0.5386,-0.0000,1.0000,0.0000,2011.4
52,5000,1151,0.2302,0.0590,-0.0844,0.4290,0.2649,9.7666,-0.5387,-0.0000,1.0000,0.0000,16646.8
53,5000,1149,0.2298,-0.0179,-0.1902,0.4478,0.3949,9.1135,-0.5397,0.0000,1.0000,0.0000,2101.5
54,5000,1178,0.2356,0.0059,-0.1590,0.4517,0.2861,8.9540,-0.5263,-0.0000,1.0000,0.0000,2209.7
55,5000,1131,0.2262,0.2973,0.1339,0.4466,0.3161,9.1479,-0.5470,0.0000,1.0000,0.0000,2632.4
56,5000,1159,0.2318,-0.0285,-0.2024,0.4558,0.3788,9.1879,-0.5354,-0.0000,1.0000,0.0000,5420.9
57,5000,1142,0.2284,0.2425,0.0631,0.4624,0.3319,8.5002,-0.5427,0.0000,1.0000,0.0000,3328.1
58,5000,1119,0.2238,0.0903,-0.0891,0.4617,0.3221,8.3642,-0.5517,-0.0000,1.0000,0.0000,1958.2
