episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,0.8191,0.3189,0.1539,11.6207,-0.6433,0.1062,353.8
640,40,0.3427,-0.3278,0.2499,12.6174,-0.8871,0.0859,786.1
960,60,0.1457,2.7230,0.3164,13.1266,-1.0000,0.0917,1226.2
1280,80,0.0329,1.7703,0.2171,13.2105,-0.8960,0.0898,1562.7
1600,100,1.0016,3.5644,0.4935,13.8800,-1.0000,0.0881,2060.3
1920,120,0.1342,0.2585,0.3488,12.4564,-0.8739,0.0865,2474.0
2240,140,-0.2342,-0.5039,0.1292,11.9426,-0.8739,0.0853,2836.6
2560,160,0.4373,-0.3829,0.0894,13.0272,-0.8800,0.0855,3206.9
2880,180,0.4548,-1.7536,0.1155,11.1014,-0.7424,0.0837,3639.4
3200,200,0.6431,2.0844,0.1220,12.0795,-1.0000,0.0822,3996.0
3520,220,0.1081,-1.6356,0.1282,10.5193,-0.6164,0.0810,4353.5
3840,240,0.2986,0.8816,0.1624,11.5890,-1.0000,0.0799,4689.0
4160,260,0.3631,-0.7380,0.1472,10.4884,-0.8706,0.0803,5092.8
4480,280,0.5850,-1.7578,0.1072,9.0404,-0.6050,0.0795,5398.0
4800,300,0.4364,2.1282,0.1499,11.7780,-1.0000,0.0785,5716.6
5120,320,-0.3140,-0.7872,0.1895,9.2828,-0.8647,0.0795,6021.7
5440,340,0.1641,0.0856,0.1604,9.4469,-0.8837,0.0801,6383.9
5760,360,0.5738,-1.0008,0.0723,11.0137,-0.7318,0.0792,6701.5
6080,380,0.4799,4.2699,0.0694,10.2053,-1.0000,0.0785,7016.9
6400,400,-0.3814,-1.0423,0.0796,10.8381,-0.7522,0.0797,7440.0
6720,420,0.6344,-0.4001,0.0905,12.5055,-0.7447,0.0795,7819.1
7040,440,1.0656,0.1249,0.1871,12.0899,-0.8692,0.0788,8150.7
7360,460,0.6136,3.0448,0.1416,14.5504,-1.0000,0.0781,8516.7
7680,480,0.7541,4.8089,0.1998,11.0471,-1.0000,0.0780,19750.7
8000,500,0.4806,3.2326,0.4153,12.7038,-1.0000,0.0777,29172.6
8320,520,0.1232,3.1218,0.4777,12.7937,-1.0000,0.0786,29487.2
8640,540,-0.3090,0.2998,0.6709,13.3674,-0.7915,0.0802,29846.8
8960,560,0.1172,-1.0194,0.4353,11.6654,-0.7518,0.0809,30183.9
9280,580,1.3537,2.9070,0.2814,11.9012,-1.0000,0.0801,30517.5
9600,600,0.5739,-1.1022,0.1069,10.2441,-0.8790,0.0797,30822.7
9920,620,0.2169,-2.5235,0.1285,9.8639,-0.6215,0.0793,31215.4
