epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
1,320,20,-0.2869,0.1589,0.0248,3.9280,0.0318,0.3781,34.5
1,640,40,-0.2331,-1.4960,0.0830,4.4231,-0.1362,0.3703,62.6
1,960,60,-0.4376,1.3049,0.0967,7.0735,-0.2055,0.3500,97.2
1,1280,80,-0.0716,1.9390,0.0567,4.7266,-0.1603,0.3484,145.1
1,1600,100,0.0176,-0.5844,0.0338,4.7057,-0.0413,0.3475,177.9
1,1920,120,-0.2973,0.2492,0.0557,5.0360,0.1784,0.3490,207.5
1,2240,140,-0.0351,0.5097,0.1489,6.2876,-0.2291,0.3415,234.2
1,2560,160,-0.0976,0.4170,0.1079,5.2634,-0.1746,0.3422,265.0
1,2880,180,-0.0852,0.9733,0.2201,8.2048,-0.3162,0.3441,294.2
1,3200,200,0.1232,-1.0479,0.1481,6.4644,0.0753,0.3466,322.4
1,3520,220,-0.1894,0.5971,0.0450,5.6990,-0.1235,0.3494,350.4
1,3840,240,0.2744,1.1249,0.0698,6.6725,-0.2648,0.3508,377.6
1,4160,260,-0.0665,-0.2692,0.0413,7.3644,-0.1323,0.3481,403.5
1,4480,280,-0.1688,0.1395,0.0738,3.4123,0.0904,0.3493,430.1
1,4800,300,0.0359,1.5799,0.1015,4.4691,-0.0805,0.3492,455.4
2,128,320,-0.3628,-0.3487,0.1547,8.0543,-0.1208,0.3526,483.5
2,448,340,-0.7429,0.4051,0.0997,5.9198,-0.0168,0.3522,511.4
2,768,360,-0.2229,0.7360,0.1114,5.1842,-0.3906,0.3486,540.1
2,1088,380,0.0524,0.6957,0.1898,4.7272,-0.1867,0.3495,567.0
2,1408,400,0.2086,0.0194,0.1502,6.0204,-0.1573,0.3468,595.1
2,1728,420,-0.6753,-1.2844,0.1319,4.9952,-0.0360,0.3465,624.2
2,2048,440,0.0817,-0.0031,0.3209,6.0375,-0.2501,0.3451,650.2
2,2368,460,-0.5480,1.0115,0.2974,5.8888,-0.1049,0.3446,676.8
2,2688,480,0.0938,-1.3901,0.1877,6.1856,0.0878,0.3459,704.6
2,3008,500,0.3785,1.3769,0.2195,6.6453,0.0310,0.3443,735.8
2,3328,520,-0.0187,1.7644,0.1299,4.6791,-0.1841,0.3445,765.6
2,3648,540,-0.1331,0.1135,0.1089,5.0968,-0.0189,0.3461,794.7
2,3968,560,0.0785,-0.5215,0.1941,5.9457,-0.1635,0.3470,823.2
2,4288,580,-0.1568,-2.3846,0.0555,6.2840,0.1251,0.3477,852.1
2,4608,600,-0.2255,-0.5635,0.1951,4.9244,0.2072,0.3490,879.1
2,4928,620,0.0958,-0.8096,0.0978,4.9894,-0.0625,0.3489,905.0
3,256,640,-0.3612,-2.4512,0.0639,6.8590,0.0871,0.3505,933.5
3,576,660,-0.1841,-0.9037,0.0533,7.0129,-0.0190,0.3512,961.8
3,896,680,-0.2866,0.7438,0.0807,6.6411,-0.0225,0.3509,989.1
3,1216,700,-0.3341,-1.2225,0.0739,6.2027,-0.1358,0.3517,1018.2
3,1536,720,0.2986,1.0655,0.0473,6.1226,-0.1642,0.3513,1048.1
3,1856,740,-0.1301,-2.0604,0.0511,6.3454,-0.0025,0.3505,1075.5
3,2176,760,-0.1362,-1.8351,0.0533,5.4041,0.1775,0.3502,1101.9
3,2496,780,0.3582,0.0040,0.0375,6.1784,0.1352,0.3500,1129.6
3,2816,800,-0.1974,-0.0924,0.0876,5.3834,-0.0921,0.3487,1156.9
3,3136,820,0.0233,-0.2599,0.1012,7.6163,-0.1408,0.3490,1184.0
3,3456,840,-0.3832,0.2357,0.0532,5.9857,0.1078,0.3501,1211.8
3,3776,860,0.2362,-1.6063,0.1767,6.4244,-0.2874,0.3500,1237.7
3,4096,880,-0.4557,1.0194,0.0944,5.9882,-0.1648,0.3502,1265.3
3,4416,900,-0.1400,0.6566,0.0917,6.5975,-0.1721,0.3500,1292.8
3,4736,920,0.3034,0.0991,0.0582,3.9942,-0.1818,0.3499,1318.0
4,64,940,-0.3203,-0.1040,0.0715,9.2549,-0.1357,0.3512,1345.0
4,384,960,-0.5205,-0.0241,0.1323,5.8765,-0.2253,0.3510,1372.1
4,704,980,0.1303,-0.2428,0.1788,6.8743,-0.1537,0.3506,1401.7
4,1024,1000,-0.1755,0.0587,0.0710,4.6724,-0.1584,0.3505,1431.6
4,1344,1020,0.5183,0.4474,0.1554,4.7759,-0.1953,0.3491,1460.8
4,1664,1040,-0.4655,-0.3795,0.1039,3.4279,-0.0743,0.3492,1491.6
4,1984,1060,0.1444,-0.2203,0.2073,4.3537,-0.1822,0.3494,1520.8
4,2304,1080,0.0657,1.4936,0.0529,6.9812,-0.2787,0.3489,1548.3
4,2624,1100,-0.4258,0.3979,0.0787,6.6034,-0.1947,0.3486,1578.7
4,2944,1120,0.3003,-0.2670,0.0707,5.5711,-0.1039,0.3479,1608.1
4,3264,1140,0.0168,0.6625,0.1148,5.0276,-0.3558,0.3486,1638.3
4,3584,1160,-0.3735,-0.9924,0.0945,5.7791,-0.1939,0.3490,1668.9
4,3904,1180,0.3559,-0.1533,0.2361,6.0810,-0.0051,0.3496,1700.0
4,4224,1200,0.1009,0.4676,0.1244,8.4348,-0.2670,0.3497,1730.8
4,4544,1220,-0.4718,0.5651,0.1587,6.4097,0.1321,0.3503,1762.9
4,4864,1240,-0.0518,-1.5544,0.1408,7.0410,-0.1665,0.3503,1791.4
5,192,1260,-0.6123,-1.6657,0.1773,5.9965,0.2743,0.3511,1820.8
5,512,1280,0.4209,-1.5694,0.2562,8.8847,-0.2900,0.3509,1850.4
5,832,1300,-0.4666,-1.1969,0.1155,5.9346,0.0502,0.3503,1878.7
5,1152,1320,-0.0813,-0.1120,0.1662,4.0708,0.0341,0.3498,1908.2
5,1472,1340,0.0983,1.3537,0.3511,5.8683,-0.2751,0.3499,1937.9
5,1792,1360,-0.1735,0.8807,0.1957,7.3885,-0.2255,0.3496,1968.1
5,2112,1380,-0.1570,-1.7875,0.3744,8.0348,0.0140,0.3495,1996.5
5,2432,1400,-0.3720,-4.3216,0.4074,9.3435,-0.1630,0.3495,2024.6
5,2752,1420,-0.3176,-1.7175,0.1039,5.4123,-0.1030,0.3494,2054.2
5,3072,1440,0.0584,1.1769,0.0877,8.0093,-0.2004,0.3486,2083.0
5,3392,1460,-1.0247,-1.8546,0.1020,6.2729,-0.0670,0.3486,2119.6
5,3712,1480,-0.1814,1.1773,0.1593,6.0555,-0.0483,0.3492,2149.2
5,4032,1500,-0.0490,0.3211,0.2112,5.3651,-0.1740,0.3496,2178.3
5,4352,1520,-0.5448,-0.2031,0.0647,3.2052,-0.0415,0.3495,2206.7
5,4672,1540,-0.0567,-0.0664,0.1312,5.6833,0.0517,0.3497,2233.5
5,4992,1560,0.1122,0.7416,0.1407,4.2482,0.0009,0.3501,2258.9
6,320,1580,0.1996,0.2087,0.1001,3.1525,-0.0944,0.3503,2287.0
6,640,1600,-0.5513,-1.2573,0.0548,5.3631,-0.1447,0.3504,2313.5
6,960,1620,-0.0145,-0.1633,0.0731,7.3472,-0.0193,0.3503,2340.6
6,1280,1640,-0.1827,-0.1183,0.1390,5.5114,-0.1411,0.3500,2369.6
6,1600,1660,0.3988,0.7510,0.1063,3.9937,-0.1294,0.3495,2397.2
6,1920,1680,0.1648,0.4705,0.0681,4.2011,-0.1058,0.3493,2423.0
6,2240,1700,-0.2677,0.7503,0.1538,5.1439,-0.2841,0.3494,2447.1
6,2560,1720,0.1693,-0.1660,0.1712,5.0230,-0.0887,0.3499,2473.5
6,2880,1740,0.1913,0.1672,0.2050,7.3168,-0.1467,0.3498,2499.6
6,3200,1760,-0.7076,0.2137,0.7384,6.7257,-0.1493,0.3499,2524.5
6,3520,1780,0.0262,1.0813,1.0618,5.4957,-0.2081,0.3498,2549.9
6,3840,1800,0.2596,0.4501,0.2450,5.5933,-0.3159,0.3495,2575.8
6,4160,1820,0.0294,-0.9576,0.4636,7.0446,-0.1171,0.3493,2600.8
6,4480,1840,-0.2117,1.0447,0.1271,3.1525,-0.1149,0.3496,2626.9
6,4800,1860,0.1730,1.0596,0.2588,4.8095,-0.1908,0.3498,2651.7
7,128,1880,-0.1876,-0.5370,0.1672,8.6914,-0.1630,0.3504,2677.3
7,448,1900,-0.0234,0.9382,0.3999,6.3542,-0.0147,0.3502,2702.8
7,768,1920,-0.6572,-0.6130,0.3284,4.9024,-0.2062,0.3500,2729.2
