epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1717,0.3434,-0.2306,-0.2652,0.1029,7.2299,-0.1474,388.9
2,5000,1746,0.3492,-0.0591,-0.1060,0.1629,6.2646,-0.1491,395.7
3,5000,1714,0.3428,-0.2725,-0.3196,0.1994,7.2450,-0.1474,404.3
4,5000,1688,0.3376,-0.0728,-0.1156,0.1811,7.3082,-0.1538,452.1
5,5000,1714,0.3428,-0.0753,-0.1136,0.1864,7.2991,-0.1492,464.9
6,5000,1723,0.3446,-0.1592,-0.2005,0.1825,7.0045,-0.1468,501.8
7,5000,1685,0.3370,-0.1521,-0.2001,0.1869,6.6330,-0.1620,440.5
8,5000,1746,0.3492,-0.2007,-0.2471,0.1711,6.5284,-0.1489,408.0
9,5000,1750,0.3500,-0.0772,-0.1329,0.2309,6.4465,-0.1410,456.6
10,5000,1689,0.3378,-0.0998,-0.1467,0.1975,6.9221,-0.1538,430.8
11,5000,1720,0.3440,-0.1449,-0.2008,0.2660,6.6488,-0.1476,485.2
12,5000,1746,0.3492,-0.1088,-0.1590,0.2114,6.4728,-0.1422,533.7
13,5000,1727,0.3454,-0.1438,-0.1918,0.2277,6.8093,-0.1481,467.0
14,5000,1777,0.3554,-0.1514,-0.1988,0.2480,6.9250,-0.1360,396.4
15,5000,1670,0.3340,-0.1492,-0.2002,0.2712,6.5239,-0.1572,436.1
16,5000,1722,0.3444,-0.0346,-0.0798,0.2388,7.3722,-0.1535,431.0
17,5000,1688,0.3376,-0.1326,-0.1712,0.1940,7.2602,-0.1598,446.5
18,5000,1764,0.3528,-0.1480,-0.1922,0.1730,6.8307,-0.1392,496.2
19,5000,1747,0.3494,-0.0880,-0.1354,0.2315,7.0006,-0.1494,484.3
20,5000,1740,0.3480,-0.1234,-0.1679,0.1907,6.6168,-0.1509,390.9
21,5000,1794,0.3588,-0.0890,-0.1330,0.1898,6.8700,-0.1325,411.2
22,5000,1740,0.3480,-0.1843,-0.2428,0.2775,6.6626,-0.1442,384.3
23,5000,1701,0.3402,-0.1623,-0.2094,0.1842,6.4186,-0.1522,453.0
24,5000,1738,0.3476,-0.0240,-0.0687,0.1738,6.7710,-0.1508,489.1
25,5000,1744,0.3488,-0.1726,-0.2139,0.1494,6.3774,-0.1500,401.5
26,5000,1745,0.3490,-0.0673,-0.1186,0.2455,6.7291,-0.1432,420.3
27,5000,1754,0.3508,-0.1857,-0.2310,0.2027,6.7525,-0.1411,476.2
28,5000,1763,0.3526,-0.0632,-0.1136,0.1967,6.4474,-0.1384,450.0
29,5000,1763,0.3526,-0.0974,-0.1440,0.2134,7.1968,-0.1392,589.8
30,5000,1765,0.3530,-0.1525,-0.1990,0.1904,6.7711,-0.1383,466.9
31,5000,1707,0.3414,-0.0919,-0.1320,0.1533,6.5181,-0.1517,425.8
32,5000,1759,0.3518,-0.1191,-0.1651,0.1675,6.3405,-0.1391,457.2
33,5000,1706,0.3412,-0.1628,-0.2104,0.2236,6.7837,-0.1565,441.5
34,5000,1749,0.3498,-0.0785,-0.1179,0.1834,7.0335,-0.1497,446.6
35,5000,1753,0.3506,-0.1476,-0.1856,0.1575,6.9441,-0.1479,457.5
36,5000,1748,0.3496,-0.0942,-0.1396,0.2697,7.6319,-0.1483,451.1
37,5000,1767,0.3534,-0.0011,-0.0377,0.1361,6.5104,-0.1391,459.3
38,5000,1774,0.3548,-0.1077,-0.1473,0.1833,7.0001,-0.1431,465.1
39,5000,1754,0.3508,-0.0919,-0.1357,0.2763,7.4491,-0.1406,448.6
40,5000,1745,0.3490,-0.0737,-0.1247,0.2339,6.4192,-0.1494,464.3
