episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.2757,-1.0092,0.0052,10.0477,-0.6091,0.3063,17.1
640,40,-1.0052,-2.3948,0.0090,9.6966,0.2358,0.2891,33.8
960,60,-0.9085,-0.3626,0.0208,12.7060,-0.3716,0.2833,50.4
1280,80,-0.9523,-1.2781,0.0641,9.8309,-0.5115,0.2867,68.1
1600,100,-0.9811,-1.3718,0.0777,9.1307,-0.2305,0.2919,85.9
1920,120,-0.6232,-0.6781,0.1869,7.6931,-0.3428,0.2880,102.2
2240,140,-0.5819,0.1412,0.1904,9.1207,-0.2554,0.2938,119.4
2560,160,-0.4389,-1.5865,0.3446,8.0476,-0.4766,0.2941,136.7
2880,180,-0.6944,-1.6472,0.3431,9.8536,-0.6208,0.2969,154.3
3200,200,-0.4119,-1.6692,0.3528,7.9100,-0.1301,0.2978,172.5
3520,220,-0.6933,-1.8491,0.3536,9.4780,0.0059,0.3006,191.6
3840,240,-0.0539,-0.0597,0.5051,8.2889,-0.6118,0.3003,210.0
4160,260,-0.3645,-1.6925,0.3569,9.8520,-0.2418,0.2995,226.8
4480,280,-0.2232,-1.0003,0.3334,7.2338,0.0227,0.3009,244.0
4800,300,-0.2774,-0.1926,0.3644,8.3628,-0.6180,0.3035,261.8
