epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
1,320,20,-0.5844,-0.7198,0.0892,8.2979,-0.3735,0.3125,36.8
1,640,40,0.0441,0.0566,0.0380,7.5960,-0.1264,0.3281,73.3
1,960,60,0.4981,-0.5231,0.1067,8.4599,-0.2712,0.3156,114.1
1,1280,80,-0.4327,0.8213,0.1250,7.0125,-0.6500,0.3258,153.0
1,1600,100,-0.0361,-0.6224,0.1688,5.5165,-0.4624,0.3212,190.4
1,1920,120,-0.2098,0.4224,0.0967,5.5928,-0.1084,0.3224,226.6
1,2240,140,-0.2411,0.0062,0.0959,7.6758,-0.4849,0.3228,264.1
1,2560,160,-0.2439,0.5923,0.0823,6.7091,-0.5966,0.3301,303.2
1,2880,180,0.1450,0.8451,0.1130,8.6705,-0.2886,0.3243,339.3
1,3200,200,0.2829,0.1185,0.0706,7.4137,-0.3726,0.3256,375.4
1,3520,220,-0.1833,-0.6664,0.1306,7.9642,-0.2475,0.3295,413.2
1,3840,240,0.2333,-0.3611,0.2231,7.7353,-0.3890,0.3310,453.4
1,4160,260,-0.1917,-0.2537,0.1480,8.4084,-0.4770,0.3298,489.5
1,4480,280,-0.1913,-0.2335,0.1697,5.3533,-0.1381,0.3306,526.3
1,4800,300,0.1924,0.2474,0.0878,6.3138,-0.3716,0.3325,560.5
2,128,320,-0.1230,-2.0133,0.0486,9.9562,-0.3691,0.3374,596.6
2,448,340,0.0023,-0.0162,0.2601,7.5495,-0.1286,0.3363,630.8
2,768,360,0.1797,-0.9043,0.1920,6.4610,-0.2209,0.3341,664.8
2,1088,380,0.3112,0.5226,0.2060,7.0548,-0.7616,0.3331,699.2
2,1408,400,-0.1677,1.9235,0.0701,9.0168,-0.3859,0.3329,735.6
2,1728,420,-0.1119,1.5681,0.0759,8.4784,-0.3566,0.3323,771.2
2,2048,440,-0.1390,-1.3196,0.0900,9.4686,-0.2582,0.3322,804.6
2,2368,460,-0.2832,-0.1567,0.0514,7.7079,-0.2505,0.3325,838.1
2,2688,480,0.3074,-0.6292,0.0702,7.8648,0.0359,0.3332,874.5
2,3008,500,-0.0738,-1.6022,0.1081,6.1301,0.2450,0.3318,909.4
2,3328,520,0.3287,0.7529,0.0969,3.4934,-0.8606,0.3324,937.0
2,3648,540,-0.3601,-0.1771,0.1257,5.8644,-0.0542,0.3345,960.6
2,3968,560,-0.0741,0.6145,0.0703,7.1751,-0.6283,0.3347,983.9
2,4288,580,-0.0152,-0.8743,0.1770,5.9730,-0.0981,0.3333,1005.4
2,4608,600,0.0744,-1.2144,0.2182,5.9012,0.1223,0.3354,1028.0
2,4928,620,0.3654,0.8540,0.3000,6.2011,-0.2564,0.3355,1048.8
3,256,640,-0.1867,-1.8563,0.1924,6.0011,-0.3167,0.3366,1071.4
3,576,660,-0.1582,-0.2563,0.1775,7.3091,-0.3821,0.3361,1092.0
3,896,680,-0.4410,-1.0214,0.2324,5.5219,-0.1048,0.3363,1114.2
3,1216,700,0.2938,0.4141,0.2030,7.2568,-0.7552,0.3363,1136.6
3,1536,720,0.0565,0.0549,0.2323,6.3301,-0.1056,0.3354,1159.0
3,1856,740,-0.0614,-0.8347,0.1965,7.1745,-0.4040,0.3356,1180.5
3,2176,760,-0.3035,-0.6694,0.1994,5.4212,-0.2230,0.3368,1203.0
3,2496,780,-0.0188,0.1323,0.3756,6.4612,0.1510,0.3368,1225.0
3,2816,800,0.1796,0.7845,0.2244,5.4232,-0.4845,0.3368,1247.9
3,3136,820,0.4171,2.6840,0.2449,7.8139,-0.6577,0.3367,1271.2
3,3456,840,-0.1436,-2.5817,0.1733,8.2158,0.1441,0.3364,1293.6
3,3776,860,-0.4878,-1.0277,0.3692,8.1319,-0.6152,0.3367,1315.8
3,4096,880,-0.1313,0.7467,0.3552,6.6366,-0.4815,0.3359,1338.1
3,4416,900,-0.5199,-1.6680,0.4049,7.1108,-0.0341,0.3357,1360.3
3,4736,920,-0.0535,0.0065,0.3047,5.3079,-0.2531,0.3356,1382.3
4,64,940,0.1580,-1.0340,0.2470,8.6111,-0.3326,0.3372,1404.4
