epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1712,0.3424,0.0387,-0.1795,0.0802,6.0657,-0.3129,467.3
2,5000,1693,0.3386,0.0064,-0.2233,0.1515,6.3052,-0.3203,423.4
3,5000,1695,0.3390,-0.0138,-0.2311,0.2139,6.2847,-0.3194,488.3
4,5000,1687,0.3374,0.0790,-0.1535,0.1832,5.7987,-0.3226,1038.5
5,5000,1674,0.3348,0.0965,-0.1406,0.2587,5.5793,-0.3301,744.5
6,5000,1704,0.3408,0.0697,-0.1668,0.2359,5.3949,-0.3161,331.1
7,5000,1681,0.3362,0.0453,-0.1780,0.1369,5.6618,-0.3253,334.3
8,5000,1716,0.3432,-0.0261,-0.2499,0.2064,6.0276,-0.3114,308.5
9,5000,1710,0.3420,-0.0378,-0.2552,0.1579,5.9614,-0.3135,321.5
10,5000,1672,0.3344,0.0122,-0.2149,0.1430,5.6205,-0.3288,307.6
