epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,-0.3338,0.3687,0.7612,0.0331,3.3945,-0.4918,-0.0000,1.0000,0.0000,0.3563,35.8
1,640,40,0.4537,0.5640,0.4684,0.0285,5.1162,-0.3636,0.0000,1.0000,0.0000,0.3469,70.4
1,960,60,-0.2262,0.0788,0.6068,0.0259,7.2476,-0.3146,0.0000,1.0000,0.0000,0.3396,105.9
1,1280,80,-0.0625,1.8353,0.5728,0.3026,5.1152,-0.5108,-0.0000,1.0000,0.0000,0.3477,143.8
1,1600,100,0.5387,-1.0182,0.4963,0.1182,3.5168,-0.3695,0.0000,1.0000,0.0000,0.3531,180.6
1,1920,120,-0.1317,0.2751,0.6167,0.1344,4.2693,-0.3401,0.0000,1.0000,0.0000,0.3547,214.0
1,2240,140,-0.4009,-0.5128,0.3336,0.1218,5.7387,-0.0223,-0.0000,1.0000,0.0000,0.3571,247.2
1,2560,160,-0.3348,0.8551,0.8790,0.0961,3.3575,-0.6455,0.0000,1.0000,0.0000,0.3574,282.8
1,2880,180,0.2132,2.1907,0.6234,0.2576,7.5118,-0.3946,0.0000,1.0000,0.0000,0.3517,317.6
1,3200,200,-0.0089,0.0809,0.5815,0.1715,4.7469,-0.3422,0.0000,1.0000,0.0000,0.3525,353.1
1,3520,220,-0.5457,-0.8219,0.5141,0.1044,4.4052,-0.3576,0.0000,1.0000,0.0000,0.3548,389.2
1,3840,240,0.3249,0.4333,0.4454,0.1537,5.8541,-0.5103,-0.0000,1.0000,0.0000,0.3547,425.8
1,4160,260,0.5430,-2.2453,0.7099,0.0742,5.4424,-0.0945,0.0000,1.0000,0.0000,0.3507,459.8
1,4480,280,-0.6038,-0.8565,0.5744,0.1017,2.7104,0.0275,0.0000,1.0000,0.0000,0.3511,494.9
