epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1774,0.3548,-0.0292,-0.2503,0.5174,0.1710,5.4737,-0.2879,-0.0000,1.0000,0.0000,549.8
2,5000,1775,0.3550,0.0834,-0.1413,0.4921,0.2788,4.9169,-0.2877,-0.0000,1.0000,0.0000,535.8
3,5000,1748,0.3496,0.1136,-0.1163,0.5135,0.2317,4.9967,-0.2986,-0.0000,1.0000,0.0000,578.1
4,5000,1735,0.3470,0.0217,-0.1998,0.4961,0.2301,4.9617,-0.3035,-0.0000,1.0000,0.0000,544.8
5,5000,1757,0.3514,0.1232,-0.0912,0.4858,0.2646,5.4999,-0.2951,0.0000,1.0000,0.0000,534.8
6,5000,1785,0.3570,0.0811,-0.1303,0.4815,0.2608,5.5422,-0.2854,0.0000,1.0000,0.0000,600.4
7,5000,1713,0.3426,0.0430,-0.1652,0.4751,0.2621,5.5536,-0.3141,-0.0000,1.0000,0.0000,553.1
8,5000,1778,0.3556,0.0378,-0.1652,0.4818,0.2459,6.2472,-0.2864,0.0000,1.0000,0.0000,562.8
9,5000,1719,0.3438,0.0516,-0.1590,0.4878,0.2483,5.8127,-0.3099,-0.0000,1.0000,0.0000,559.8
10,5000,1745,0.3490,0.1609,-0.0688,0.4987,0.2695,4.6597,-0.2997,-0.0000,1.0000,0.0000,561.3
11,5000,1744,0.3488,0.0687,-0.1532,0.5055,0.1799,4.8877,-0.2999,0.0000,1.0000,0.0000,562.0
12,5000,1747,0.3494,0.0608,-0.1620,0.5002,0.2614,5.3461,-0.2988,0.0000,1.0000,0.0000,556.3
13,5000,1672,0.3344,0.0984,-0.1341,0.4967,0.2611,4.1985,-0.3289,-0.0000,1.0000,0.0000,558.6
14,5000,1709,0.3418,0.0137,-0.2058,0.4838,0.2292,4.5375,-0.3138,-0.0000,1.0000,0.0000,555.5
15,5000,1789,0.3578,0.0414,-0.1855,0.5188,0.2031,5.2877,-0.2820,-0.0000,1.0000,0.0000,552.2
16,5000,1722,0.3444,0.0545,-0.1602,0.4969,0.2376,5.7496,-0.3108,-0.0000,1.0000,0.0000,555.1
17,5000,1757,0.3514,0.0594,-0.1524,0.4844,0.2256,5.3021,-0.2948,-0.0000,1.0000,0.0000,561.9
18,5000,1759,0.3518,0.0655,-0.1497,0.4783,0.2789,5.1895,-0.2940,0.0000,1.0000,0.0000,556.8
19,5000,1728,0.3456,0.0406,-0.1696,0.4962,0.1768,5.5551,-0.3081,-0.0000,1.0000,0.0000,556.8
20,5000,1747,0.3494,0.0994,-0.1109,0.4968,0.1499,5.3070,-0.2987,0.0000,1.0000,0.0000,553.3
