epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1541,0.3082,-0.6145,-0.9186,0.2313,9.4405,-0.3810,614.6
2,5000,1591,0.3182,-0.1765,-0.4701,0.4441,8.1170,-0.3635,612.2
3,5000,1610,0.3220,-0.0801,-0.3424,0.5178,7.8697,-0.3536,591.6
4,5000,1585,0.3170,-0.0562,-0.2980,0.4486,8.4538,-0.3637,587.5
5,5000,1596,0.3192,-0.0006,-0.2468,0.4722,8.2098,-0.3594,554.5
6,5000,1658,0.3316,-0.0014,-0.2458,0.4589,8.4219,-0.3344,531.5
7,5000,1639,0.3278,0.0338,-0.2177,0.5455,7.9256,-0.3423,575.1
8,5000,1608,0.3216,-0.0222,-0.2450,0.4154,8.8698,-0.3547,576.1
9,5000,1612,0.3224,-0.0175,-0.2598,0.5111,8.0193,-0.3527,530.2
10,5000,1638,0.3276,-0.0141,-0.2643,0.5178,8.2022,-0.3423,500.7
