epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,0.2117,0.0887,0.7904,0.1596,4.9610,-0.4931,0.0000,0.7701,0.5000,0.3094,57.6
1,640,40,0.3409,0.2191,0.3415,0.0968,5.9520,-0.1046,0.0000,1.2237,0.4375,0.3359,114.5
1,960,60,0.2907,0.1023,0.7978,0.0681,8.2478,-0.2449,0.0000,0.9272,0.5000,0.3302,170.2
1,1280,80,0.4058,0.4998,0.7855,0.1084,6.6646,-0.3891,-0.0000,2.2034,0.6875,0.3391,227.7
1,1600,100,0.2615,0.0323,0.6293,0.2891,6.7321,-0.6198,0.0000,0.9932,0.5625,0.3356,283.3
1,1920,120,0.3037,-0.0313,0.6031,0.1898,6.5263,0.1746,0.0000,0.9297,0.5000,0.3318,339.0
1,2240,140,0.3156,0.1849,0.5393,0.3258,8.2754,-0.3922,0.0000,1.0084,0.5000,0.3317,392.5
1,2560,160,0.2499,0.1145,0.8298,0.1399,6.7470,-0.5098,-0.0000,0.9523,0.5000,0.3328,449.2
1,2880,180,0.3523,-0.0494,0.5965,0.1281,8.0903,-0.3929,-0.0000,0.9233,0.5625,0.3344,506.3
1,3200,200,0.2742,0.0136,0.5741,0.6305,8.9559,-0.3833,-0.0000,1.2008,0.3750,0.3387,564.7
1,3520,220,0.2657,0.1093,0.6034,0.3427,7.6126,-0.3405,-0.0000,0.6398,0.5625,0.3361,622.4
1,3840,240,0.2774,0.1254,0.6304,0.1947,7.1080,-0.3847,0.0000,0.8672,0.7500,0.3341,679.2
1,4160,260,0.2831,0.0136,0.3763,0.1572,8.6090,-0.3399,0.0000,1.0027,0.5625,0.3341,737.5
1,4480,280,0.3721,0.2204,0.7268,0.1768,5.5996,-0.1651,0.0000,1.3255,0.6875,0.3388,796.8
1,4800,300,0.2848,0.0140,0.4820,0.2975,7.3416,-0.5126,0.0000,0.8578,0.5000,0.3400,852.7
2,128,320,0.3104,0.1493,0.4604,0.3956,9.9710,-0.4119,-0.0000,0.9660,0.6250,0.3446,909.8
2,448,340,0.2715,0.0292,0.6901,0.7179,8.9898,-0.1350,-0.0000,0.8636,0.5625,0.3438,967.2
2,768,360,0.2816,-0.0493,0.5809,0.4056,7.4544,-0.3645,-0.0000,1.0921,0.3125,0.3412,1026.3
2,1088,380,0.2703,-0.0503,0.4144,0.4237,8.3690,-0.2312,-0.0000,0.9859,0.5000,0.3400,1082.8
2,1408,400,0.3066,0.5069,0.8642,0.3059,10.3682,-0.4868,0.0000,1.3044,0.4375,0.3391,1141.4
2,1728,420,0.2857,0.0784,0.6009,0.2962,8.0912,-0.1151,0.0000,0.8616,0.5000,0.3372,1198.4
2,2048,440,0.2951,-0.0766,0.5281,0.3853,8.3497,-0.3737,0.0000,0.7278,0.6250,0.3381,1255.7
2,2368,460,0.2835,0.1184,0.3860,0.2007,7.1063,-0.3355,0.0000,1.1200,0.6250,0.3385,5833.7
2,2688,480,0.2634,0.1132,0.7128,0.6181,8.8623,-0.1295,0.0000,1.0611,0.4375,0.3371,5956.4
2,3008,500,0.3061,0.0211,0.6708,0.6848,8.5947,-0.3790,-0.0000,1.0135,0.3750,0.3339,7651.9
2,3328,520,0.3286,-0.0117,0.7772,0.6927,7.0108,-0.3651,-0.0000,0.9139,0.2500,0.3351,8083.0
2,3648,540,0.2848,0.2550,0.5056,0.4586,6.6201,0.0805,-0.0000,1.4909,0.5625,0.3356,8128.4
2,3968,560,0.3310,-0.0025,0.5132,0.3897,9.3987,-0.3684,-0.0000,1.0204,0.5000,0.3356,8173.1
2,4288,580,0.2639,0.0108,0.7040,0.1761,7.8676,-0.2223,0.0000,0.9383,0.5625,0.3352,8216.9
2,4608,600,0.4358,0.0932,0.5207,0.2609,7.2592,0.0140,0.0000,0.7848,0.6250,0.3369,8266.4
2,4928,620,0.2902,0.0215,0.4166,0.1551,7.0277,-0.3338,-0.0000,1.0446,0.3750,0.3385,8318.4
3,256,640,0.2872,-0.0087,0.3839,0.2508,9.0218,0.0020,-0.0000,1.0536,0.1875,0.3400,8374.1
3,576,660,0.3101,0.0065,0.1707,0.3212,7.8188,-0.1195,0.0000,0.7802,0.2500,0.3387,8426.7
3,896,680,0.2142,0.0634,0.3031,0.5364,9.7202,-0.0994,-0.0000,1.0948,0.3125,0.3373,8480.3
3,1216,700,0.2930,0.0859,0.3883,0.2362,8.3048,-0.3478,-0.0000,0.8786,0.6250,0.3370,8536.5
3,1536,720,0.2861,0.1449,0.9025,0.4506,9.0327,-0.2585,-0.0000,0.9328,0.4375,0.3376,8590.3
3,1856,740,0.3429,0.0867,0.7039,0.4067,8.6912,-0.5199,0.0000,0.7977,0.4375,0.3372,8642.7
3,2176,760,0.4042,0.2662,0.7095,0.2073,6.5789,-0.1981,0.0000,1.1804,0.3750,0.3368,8698.3
3,2496,780,0.3192,-0.0311,0.4524,0.5158,8.8913,0.1975,0.0000,1.1178,0.4375,0.3367,8753.4
3,2816,800,0.3409,-0.0099,0.3466,0.4391,6.6529,-0.7341,-0.0000,1.0769,0.1875,0.3363,8807.8
3,3136,820,0.2928,0.0043,0.5874,0.3116,9.0105,-0.3680,-0.0000,0.8829,0.4375,0.3356,8864.3
3,3456,840,0.2781,0.0093,0.5025,0.1735,8.4545,-0.2111,-0.0000,1.0327,0.3750,0.3361,8920.3
3,3776,860,0.3000,0.1405,0.3647,0.4250,7.8873,-0.7733,0.0000,1.0745,0.5000,0.3364,8974.7
3,4096,880,0.3168,0.0353,0.8944,0.2418,6.8883,-0.1404,0.0000,0.7810,0.5000,0.3353,9028.0
3,4416,900,0.3527,0.0047,0.7142,0.4261,8.3149,-0.3713,-0.0000,0.8467,0.3750,0.3359,9084.4
3,4736,920,0.3043,0.0753,0.3123,0.2224,6.3778,-0.3696,-0.0000,0.9686,0.5000,0.3366,9141.0
4,64,940,0.3446,0.2016,0.3995,0.4205,9.6445,-0.5925,-0.0000,1.0438,0.7500,0.3374,9195.8
4,384,960,0.2449,0.0217,0.3026,0.2393,6.1199,-0.7473,0.0000,0.8608,0.2500,0.3373,9251.3
4,704,980,0.2975,0.0657,0.5832,0.1392,6.5100,-0.5003,-0.0000,0.8180,0.6875,0.3367,9306.1
4,1024,1000,0.2743,0.0069,0.6848,0.2182,7.1046,-0.1297,0.0000,0.8542,0.4375,0.3370,9362.9
4,1344,1020,0.2504,0.0093,0.5002,0.1692,5.5423,-0.6126,0.0000,0.8879,0.1875,0.3366,9413.2
4,1664,1040,0.4193,-0.0417,0.7400,0.4520,5.4482,-0.3835,-0.0000,0.8785,0.6250,0.3365,9458.5
4,1984,1060,0.3159,0.0478,0.2934,0.2746,6.5735,-0.2484,-0.0000,0.8356,0.5625,0.3370,9502.3
4,2304,1080,0.2448,-0.0473,0.3708,0.4927,11.4282,-0.2642,0.0000,0.9229,0.2500,0.3362,9542.6
4,2624,1100,0.2516,0.0596,0.3222,0.4515,9.4253,-0.3726,0.0000,0.9258,0.4375,0.3364,9586.6
4,2944,1120,0.2409,-0.0610,0.2933,0.5964,11.9029,-0.4687,0.0000,0.9335,0.3125,0.3359,9628.3
4,3264,1140,0.2492,0.1194,0.6296,0.4719,9.2726,-0.5173,-0.0000,1.0775,0.4375,0.3363,9671.0
4,3584,1160,0.2622,0.0164,0.5526,0.2206,7.7920,-0.2688,0.0000,0.9561,0.2500,0.3364,9711.7
4,3904,1180,0.2346,0.3274,0.6489,0.1635,6.7296,0.1216,0.0000,1.1379,0.4375,0.3370,9752.7
4,4224,1200,0.4241,0.1104,0.5379,0.1577,9.3174,-0.5203,-0.0000,0.8652,0.5625,0.3364,9793.1
4,4544,1220,0.3039,0.2199,0.4426,0.1822,6.7999,0.1641,-0.0000,0.8835,0.5625,0.3367,9833.5
4,4864,1240,0.3844,0.0956,0.5212,0.1435,7.9215,-0.3744,-0.0000,0.8797,0.5625,0.3368,9874.3
5,192,1260,0.4000,-0.0100,0.7282,0.1669,6.1516,-0.6543,-0.0000,0.6815,0.5000,0.3374,9918.2
5,512,1280,0.3256,0.0185,0.4896,0.3313,10.0757,-0.5270,-0.0000,1.0714,0.2500,0.3376,9963.9
5,832,1300,0.2637,0.0853,0.4742,0.2454,8.6760,-0.0861,0.0000,0.9371,0.5625,0.3370,10007.3
