epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1721,0.3442,0.3014,0.0880,0.5351,0.2232,7.6461,-0.3091,0.0000,0.9852,0.4982,886.7
2,5000,1673,0.3346,0.2981,0.0677,0.5443,0.4199,8.3738,-0.3306,-0.0000,0.9851,0.4663,7443.9
3,5000,1669,0.3338,0.3129,0.0788,0.5570,0.3315,7.7477,-0.3300,-0.0000,0.9627,0.4671,854.6
4,5000,1688,0.3376,0.2944,0.0774,0.5327,0.3230,8.1664,-0.3224,0.0000,1.0048,0.4597,706.2
5,5000,1639,0.3278,0.2847,0.0712,0.5290,0.3076,8.1768,-0.3421,-0.0000,0.9870,0.4746,651.1
6,5000,1637,0.3274,0.3049,0.0884,0.5427,0.2314,7.8078,-0.3430,-0.0000,1.0091,0.4850,645.6
7,5000,1627,0.3254,0.2890,0.0704,0.5475,0.2463,7.9796,-0.3471,0.0000,0.9967,0.4736,709.7
8,5000,1604,0.3208,0.2740,0.0605,0.5258,0.3252,8.1867,-0.3585,0.0000,0.9987,0.4599,677.8
9,5000,1636,0.3272,0.2770,0.0655,0.5230,0.3144,8.1401,-0.3431,0.0000,1.0209,0.4495,642.4
10,5000,1670,0.3340,0.2573,0.0457,0.5211,0.3532,8.4341,-0.3294,0.0000,0.9710,0.4343,628.3
11,5000,1655,0.3310,0.2720,0.0677,0.5098,0.3194,8.2481,-0.3359,-0.0000,1.0057,0.4796,627.0
12,5000,1671,0.3342,0.2979,0.0876,0.5293,0.1960,7.3936,-0.3295,-0.0000,0.9838,0.5106,618.8
13,5000,1636,0.3272,0.3068,0.0854,0.5375,0.3247,7.9790,-0.3437,0.0000,0.9829,0.4730,624.5
14,5000,1623,0.3246,0.2730,0.0659,0.5148,0.3248,8.2793,-0.3486,0.0000,1.0011,0.4609,595.4
15,5000,1628,0.3256,0.2960,0.0622,0.5498,0.3788,7.9005,-0.3464,0.0000,0.9660,0.4934,579.5
16,5000,1675,0.3350,0.3061,0.0857,0.5130,0.3540,7.1530,-0.3282,-0.0000,0.9584,0.5044,592.3
17,5000,1630,0.3260,0.2887,0.0747,0.5314,0.3105,8.2804,-0.3474,0.0000,0.9802,0.4776,561.7
18,5000,1619,0.3238,0.2810,0.0613,0.5306,0.3545,8.1015,-0.3503,0.0000,0.9705,0.4712,558.8
19,5000,1668,0.3336,0.2672,0.0573,0.5223,0.2936,8.0687,-0.3305,-0.0000,0.9938,0.4776,616.0
20,5000,1622,0.3244,0.3026,0.0864,0.5319,0.3317,8.2887,-0.3509,-0.0000,0.9925,0.4615,642.7
21,5000,1683,0.3366,0.2699,0.0561,0.5154,0.4102,8.4887,-0.3244,-0.0000,0.9981,0.4557,570.2
22,5000,1630,0.3260,0.3093,0.0857,0.5304,0.3495,7.6576,-0.3455,-0.0000,1.0242,0.4908,563.7
23,5000,1664,0.3328,0.2674,0.0573,0.5195,0.3715,8.6781,-0.3322,-0.0000,1.0052,0.4486,558.2
24,5000,1715,0.3430,0.2614,0.0569,0.5099,0.3563,8.6094,-0.3118,0.0000,0.9828,0.4239,569.3
25,5000,1703,0.3406,0.2935,0.0787,0.5260,0.3013,7.8337,-0.3162,-0.0000,0.9973,0.4768,563.1
26,5000,1649,0.3298,0.2894,0.0860,0.5069,0.2812,7.8173,-0.3396,-0.0000,1.0016,0.4722,540.6
27,5000,1690,0.3380,0.3054,0.0864,0.5305,0.3215,7.8430,-0.3217,-0.0000,0.9836,0.4698,548.8
28,5000,1659,0.3318,0.2830,0.0787,0.5099,0.2699,7.7685,-0.3360,0.0000,0.9980,0.4790,546.0
29,5000,1688,0.3376,0.2848,0.0705,0.5245,0.3279,8.0762,-0.3225,0.0000,1.0359,0.4517,535.2
30,5000,1673,0.3346,0.2934,0.0757,0.5248,0.3157,7.6350,-0.3283,0.0000,0.9878,0.4782,532.4
31,5000,1677,0.3354,0.3040,0.0962,0.5159,0.2260,7.2744,-0.3288,0.0000,0.9730,0.4918,541.5
