timestamp,batch,avg_loss,expert_succ,matched_rate
1780122489.1787,20,2.562699,0.4688,1.0000
1780122530.2781708,40,2.385905,0.4391,1.0000
1780122575.914221,60,2.352528,0.4437,1.0000
1780122623.8973892,80,2.467501,0.4469,1.0000
1780122673.7382,100,2.346323,0.4469,1.0000
1780122718.13726,120,2.339728,0.4531,1.0000
1780122760.0021179,140,2.356884,0.4491,1.0000
1780122802.9839191,160,2.316585,0.4426,1.0000
1780122842.053005,180,2.272893,0.4437,1.0000
1780122882.547798,200,2.367275,0.4500,1.0000
1780122922.571789,220,2.233107,0.4472,1.0000
1780122957.459079,240,2.324293,0.4471,1.0000
1780122993.347125,260,2.277374,0.4493,1.0000
1780123030.9450822,280,2.265413,0.4500,1.0000
1780123068.677,300,2.197178,0.4498,1.0000
1780123104.789602,320,2.115583,0.4547,1.0000
1780123143.056097,340,2.301705,0.4513,1.0000
1780123183.632202,360,2.291277,0.4526,1.0000
1780123220.703292,380,2.243096,0.4508,1.0000
1780123260.783103,400,2.260075,0.4523,1.0000
1780123299.423916,420,2.339221,0.4512,1.0000
1780123338.895249,440,2.233375,0.4509,1.0000
1780123376.925225,460,2.205760,0.4519,1.0000
1780123414.2387068,480,2.193550,0.4513,1.0000
1780123449.993425,500,2.142798,0.4524,1.0000
1780123488.942741,520,2.180150,0.4513,1.0000
1780123525.377502,540,2.253452,0.4499,1.0000
1780123567.250251,560,2.253620,0.4496,1.0000
1780123605.2904232,580,2.178145,0.4497,1.0000
1780123643.55937,600,2.258223,0.4507,1.0000
1780123680.440649,620,2.231391,0.4510,1.0000
