timestamp,batch,avg_loss,expert_succ,matched_rate
1779621902.723454,20,2.696289,0.2531,1.0000
1779622010.903042,40,2.951822,0.2141,1.0000
1779622108.90044,60,2.814168,0.1979,1.0000
1779622214.26247,80,2.568599,0.2055,1.0000
1779622325.338627,100,2.862087,0.1981,1.0000
1779622435.740361,120,2.818924,0.1974,1.0000
1779622550.857168,140,2.608871,0.2000,1.0000
1779622662.187938,160,2.671339,0.1938,1.0000
1779622762.605404,180,2.695885,0.1927,1.0000
1779622881.160498,200,2.774906,0.1931,1.0000
1779622998.702192,220,2.845906,0.1943,1.0000
1779623126.5156212,240,2.718392,0.1948,1.0000
1779623232.497677,260,2.675151,0.1947,1.0000
1779623349.3838432,280,2.817089,0.1929,1.0000
1779623489.603358,300,2.760512,0.1919,1.0000
1779623597.240095,320,2.686617,0.1926,1.0000
1779623724.633216,340,2.760444,0.1910,1.0000
1779623833.006429,360,2.733835,0.1905,1.0000
1779623964.593479,380,2.570691,0.1905,1.0000
1779624082.5680058,400,2.696608,0.1902,1.0000
1779624214.382158,420,2.806920,0.1905,1.0000
1779624324.6732721,440,2.791408,0.1891,1.0000
1779624452.391985,460,2.702512,0.1912,1.0000
1779624579.8048892,480,2.850296,0.1923,1.0000
1779624692.19781,500,2.954051,0.1914,1.0000
1779624824.427319,520,2.764475,0.1899,1.0000
1779624956.166718,540,2.725960,0.1904,1.0000
1779625086.084789,560,2.739043,0.1906,1.0000
1779625231.727892,580,2.575593,0.1902,1.0000
1779625356.832146,600,2.809861,0.1888,1.0000
1779625456.979834,620,2.611653,0.1881,1.0000
