episode,batch,loss,expert_succ,model_better_rate,match_rate,elapsed_s
320,20,2919.4339,0.3844,0.9675,1.0000,65.6
640,40,3368.0336,0.3672,0.9532,1.0000,94.6
960,60,3778.3404,0.3604,0.9624,1.0000,123.1
1280,80,3079.0671,0.3555,0.9582,1.0000,150.0
1600,100,2799.9880,0.3550,0.9577,1.0000,171.7
1920,120,2746.9734,0.3563,0.9474,1.0000,196.9
2240,140,3534.0775,0.3563,0.9436,1.0000,221.3
2560,160,4621.2920,0.3570,0.9289,1.0000,245.6
2880,180,4547.1515,0.3615,0.9126,1.0000,267.9
3200,200,4470.9880,0.3591,0.9077,1.0000,288.6
3520,220,4865.7700,0.3616,0.8979,1.0000,312.0
3840,240,5611.8622,0.3617,0.8942,1.0000,335.4
4160,260,4926.9704,0.3642,0.8917,1.0000,361.8
4480,280,3942.8721,0.3629,0.8887,1.0000,382.5
4800,300,4042.8926,0.3621,0.8826,1.0000,405.3
5120,320,4678.2633,0.3645,0.8757,1.0000,431.6
5440,340,4344.6064,0.3631,0.8714,1.0000,453.0
5760,360,5325.7500,0.3616,0.8685,1.0000,471.4
6080,380,5072.5776,0.3590,0.8667,1.0000,487.0
6400,400,4953.7474,0.3609,0.8619,1.0000,519.5
6720,420,3916.5203,0.3615,0.8567,1.0000,570.1
7040,440,3680.4430,0.3615,0.8554,1.0000,626.7
7360,460,4070.9792,0.3609,0.8543,1.0000,667.2
7680,480,4725.9450,0.3600,0.8499,1.0000,705.0
8000,500,4251.3479,0.3599,0.8489,1.0000,729.4
8320,520,3949.4180,0.3602,0.8482,1.0000,749.8
8640,540,3398.1308,0.3620,0.8469,1.0000,772.2
8960,560,2834.5097,0.3631,0.8448,1.0000,792.7
9280,580,2943.5221,0.3608,0.8444,1.0000,810.7
9600,600,3104.9764,0.3610,0.8442,1.0000,831.7
9920,620,2851.3278,0.3604,0.8411,1.0000,854.2
