timestamp,batch,avg_loss,expert_succ,matched_rate
1779160344.586592,20,3.357226,0.3281,1.0000
1779160701.086758,40,3.237261,0.3391,1.0000
1779161177.838746,60,3.226258,0.3354,1.0000
1779161560.045674,80,3.229917,0.3297,1.0000
1779161970.1096551,100,3.262142,0.3353,1.0000
1779162353.566677,120,3.295264,0.3409,1.0000
1779162681.283978,140,3.318084,0.3393,1.0000
1779163137.101488,160,3.225201,0.3383,1.0000
1779163564.1440299,180,3.213559,0.3403,1.0000
1779163939.0623941,200,3.232968,0.3403,1.0000
1779164329.2168262,220,3.196109,0.3398,1.0000
1779164692.235265,240,3.237974,0.3410,1.0000
1779165049.16359,260,3.248065,0.3397,1.0000
1779165453.355616,280,3.241308,0.3388,1.0000
1779165977.2187572,300,3.324715,0.3366,1.0000
