timestamp,batch,avg_loss,expert_succ,matched_rate
1779116035.08994,20,4.316079,0.2469,1.0000
1779117020.686284,40,4.147924,0.2359,1.0000
1779117902.2110279,60,4.170885,0.2250,1.0000
1779118765.14682,80,4.193271,0.2078,1.0000
1779119607.7128162,100,4.261089,0.2031,1.0000
1779120723.508139,120,4.144226,0.2073,1.0000
1779121649.7927492,140,4.085894,0.2045,1.0000
1779122567.849971,160,4.165487,0.2055,1.0000
1779123485.588424,180,4.034148,0.2087,1.0000
1779124368.156685,200,4.023085,0.2075,1.0000
1779125311.353836,220,4.088336,0.2091,1.0000
1779126349.584039,240,4.048132,0.2102,1.0000
1779130736.087422,260,4.035903,0.2101,1.0000
1779132065.455376,280,4.168685,0.2107,1.0000
1779133332.8388119,300,3.903443,0.2117,1.0000
1779135538.498128,320,4.089632,0.2123,1.0000
1779136730.558224,340,4.140298,0.2147,1.0000
1779137792.752306,360,4.019189,0.2134,1.0000
1779139645.822635,380,4.073489,0.2140,1.0000
1779140710.453763,400,3.958779,0.2155,1.0000
1779142002.0463822,420,3.964462,0.2158,1.0000
1779143980.3495848,440,3.980994,0.2155,1.0000
1779145086.468224,460,3.858128,0.2159,1.0000
1779146301.56588,480,3.870622,0.2161,1.0000
1779147462.474933,500,4.208979,0.2150,1.0000
1779148594.769247,520,4.086349,0.2153,1.0000
1779149877.904288,540,4.155052,0.2174,1.0000
1779151102.6177762,560,4.057400,0.2166,1.0000
1779152253.31718,580,4.019972,0.2153,1.0000
1779153478.210073,600,3.992318,0.2160,1.0000
1779154704.165146,620,4.116950,0.2158,1.0000
