timestamp,batch,avg_loss,expert_succ,matched_rate
1779779341.105084,20,3.779622,0.2469,1.0000
1779780644.964965,40,3.460668,0.2359,1.0000
1779781750.320566,60,3.513788,0.2250,1.0000
1779782950.989274,80,3.596248,0.2078,1.0000
1779784220.22895,100,3.623020,0.2031,1.0000
1779785505.010655,120,3.380636,0.2073,1.0000
1779786784.037247,140,3.386261,0.2045,1.0000
1779788729.456372,160,3.613118,0.2055,1.0000
1779789893.200746,180,3.320976,0.2087,1.0000
1779791410.617815,200,3.308535,0.2075,1.0000
1779793289.007431,220,3.404535,0.2091,1.0000
1779796608.942163,240,3.406088,0.2102,1.0000
1779797577.305856,260,3.374602,0.2101,1.0000
1779798579.9364412,280,3.463581,0.2107,1.0000
1779799623.5472891,300,3.279519,0.2117,1.0000
1779800759.710866,320,3.379505,0.2123,1.0000
1779801754.4579232,340,3.338823,0.2147,1.0000
1779802630.624634,360,3.270009,0.2134,1.0000
1779803710.821577,380,3.333308,0.2140,1.0000
1779804625.191108,400,3.171072,0.2155,1.0000
1779805678.002489,420,3.113593,0.2158,1.0000
1779806499.072787,440,3.292513,0.2155,1.0000
1779817109.85803,460,3.049662,0.2159,1.0000
1779818118.5970821,480,3.078603,0.2161,1.0000
1779819495.713881,500,3.376364,0.2150,1.0000
1779820481.919648,520,3.152518,0.2153,1.0000
1779821734.586539,540,3.321570,0.2174,1.0000
1779823004.3987799,560,3.202005,0.2166,1.0000
1779824269.983049,580,3.233721,0.2153,1.0000
1779825650.879839,600,2.948491,0.2160,1.0000
1779827157.144792,620,3.326648,0.2158,1.0000
