timestamp,batch,avg_loss,expert_succ,matched_rate
1779246673.4666932,20,3.441809,0.3844,1.0000
1779246691.353199,40,3.393456,0.3672,1.0000
1779246707.176679,60,3.306947,0.3604,1.0000
1779246724.327897,80,3.343355,0.3555,1.0000
1779246739.8008041,100,3.374832,0.3550,1.0000
1779246758.012641,120,3.275764,0.3563,1.0000
1779246775.574542,140,3.269813,0.3563,1.0000
1779246794.910282,160,3.251569,0.3570,1.0000
1779246812.0922391,180,3.219808,0.3615,1.0000
1779246828.128192,200,3.238514,0.3591,1.0000
1779246846.171147,220,3.259145,0.3616,1.0000
1779246866.6856298,240,3.299677,0.3617,1.0000
1779246888.6675782,260,3.280062,0.3642,1.0000
1779246906.705337,280,3.338901,0.3629,1.0000
1779246927.776182,300,3.237105,0.3621,1.0000
1779246953.8818,320,3.332724,0.3645,1.0000
1779246972.768088,340,3.305711,0.3631,1.0000
1779246991.94508,360,3.197453,0.3616,1.0000
1779247007.712151,380,3.310548,0.3590,1.0000
1779247031.355367,400,3.169476,0.3609,1.0000
1779247052.447432,420,3.196429,0.3615,1.0000
1779247069.9290738,440,3.210789,0.3615,1.0000
1779247089.012392,460,3.137124,0.3609,1.0000
1779247107.9938061,480,3.163449,0.3600,1.0000
1779247129.319537,500,3.152457,0.3599,1.0000
1779247149.692927,520,3.266779,0.3602,1.0000
1779247169.7236218,540,3.241641,0.3620,1.0000
1779247192.5774772,560,3.201600,0.3631,1.0000
1779247208.694771,580,3.185503,0.3608,1.0000
1779247227.745627,600,3.240126,0.3610,1.0000
1779247245.001337,620,3.349811,0.3604,1.0000
