timestamp,batch,avg_loss,expert_succ,matched_rate
1779625650.805677,20,2.936471,0.1875,1.0000
1779625766.4130251,40,2.792874,0.1719,1.0000
1779625883.99513,60,2.781048,0.1750,1.0000
1779632504.9989812,80,2.683702,0.1703,1.0000
1779632600.371126,100,3.020463,0.1650,1.0000
1779632704.590415,120,2.638631,0.1693,1.0000
1779632803.495882,140,2.636403,0.1705,1.0000
1779632911.648059,160,2.580550,0.1734,1.0000
1779633027.083457,180,2.466526,0.1729,1.0000
1779633170.127999,200,2.784075,0.1747,1.0000
1779633298.214633,220,2.716083,0.1750,1.0000
1779633433.438723,240,2.831005,0.1773,1.0000
1779633553.796693,260,2.709757,0.1776,1.0000
1779633685.496279,280,2.688420,0.1770,1.0000
1779633808.799972,300,2.657215,0.1767,1.0000
1779633912.8507571,320,2.638365,0.1748,1.0000
1779634061.9068959,340,2.570632,0.1759,1.0000
1779634193.793812,360,2.939312,0.1760,1.0000
1779634319.5860648,380,2.713764,0.1763,1.0000
1779634446.02349,400,2.782259,0.1759,1.0000
1779634605.9734242,420,2.744427,0.1757,1.0000
1779634850.5892532,440,2.538219,0.1770,1.0000
1779635039.469832,460,2.790764,0.1793,1.0000
1779635189.759829,480,2.679052,0.1798,1.0000
1779635317.558356,500,2.602065,0.1809,1.0000
1779635464.431403,520,2.844750,0.1826,1.0000
1779635600.711346,540,2.648050,0.1825,1.0000
1779635721.3245802,560,2.646124,0.1825,1.0000
1779635879.665397,580,2.539464,0.1824,1.0000
1779636001.53647,600,2.789780,0.1825,1.0000
1779636116.838583,620,2.650505,0.1829,1.0000
