episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.1818,-2.4940,0.0112,14.6431,-0.7438,0.0969,411.8
640,40,-1.5284,-2.2045,0.0108,14.9950,-0.7550,0.0984,855.0
960,60,-0.9204,-2.2630,0.0191,16.1456,-0.7386,0.1010,1311.5
1280,80,-0.2732,2.1192,0.0318,15.8173,-1.0000,0.0906,1849.3
1600,100,-0.4071,-0.6636,0.0337,15.5153,-0.8689,0.0875,2410.0
1920,120,-0.7889,-1.7103,0.0208,14.0982,-0.7591,0.0885,2966.9
2240,140,-0.6250,0.1732,0.0340,15.8512,-0.8853,0.0875,3461.2
2560,160,-0.2016,-1.3836,0.0475,18.1816,-0.8605,0.0855,3909.4
2880,180,0.3914,-0.1999,0.0448,16.5618,-0.9030,0.0830,4405.4
3200,200,1.0293,5.0018,0.0451,17.1758,-1.0000,0.0803,5200.9
3520,220,-0.2047,-1.1312,0.0974,14.5819,-0.7519,0.0827,5742.6
3840,240,0.5609,2.3536,0.1424,17.3902,-1.0000,0.0820,6686.6
4160,260,-0.0441,-1.7683,0.2091,16.8702,-0.5111,0.0834,7368.3
4480,280,-0.1303,-0.8082,0.1412,14.5489,-0.6033,0.0839,7870.6
4800,300,-0.4033,3.3721,0.0482,17.8560,-1.0000,0.0831,8606.1
5120,320,0.6819,1.6668,0.0446,13.1879,-0.8725,0.0824,9296.9
5440,340,-0.0541,-1.2335,0.0398,14.2059,-0.8770,0.0836,10087.7
5760,360,0.8847,3.9004,0.0470,15.4083,-1.0000,0.0819,10856.6
6080,380,0.9904,4.5318,0.0496,16.1149,-1.0000,0.0814,11636.8
6400,400,0.2883,6.1579,0.0654,15.1200,-1.0000,0.0822,12484.9
6720,420,0.2305,-2.0286,0.0846,16.4292,-0.7470,0.0823,13297.0
7040,440,0.7877,-0.9967,0.1014,14.4842,-0.7507,0.0818,14063.0
7360,460,0.9208,3.0408,0.0838,17.7427,-1.0000,0.0808,14716.8
7680,480,-0.1480,-0.4514,0.0732,14.3542,-0.8742,0.0809,15417.2
8000,500,-0.1012,0.1602,0.0579,16.1890,-0.8643,0.0814,16157.0
8320,520,-0.1407,3.1618,0.0676,15.9205,-1.0000,0.0815,16911.3
8640,540,-0.4890,-0.4982,0.1186,17.2959,-0.8842,0.0832,17699.7
8960,560,-0.4028,-1.0711,0.0698,14.9971,-0.8642,0.0835,18365.1
9280,580,0.3109,-2.5587,0.1108,14.5716,-0.4797,0.0831,19051.0
9600,600,0.0644,-0.7062,0.1620,14.1140,-0.7510,0.0834,19780.1
9920,620,0.3091,-1.1354,0.1141,14.3978,-0.7541,0.0831,20514.8
