episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-18.6485,-2.6219,0.0564,57.5163,-0.7026,0.2906,210.7
640,40,-6.3785,-7.4688,0.0113,62.0248,-0.7189,0.2953,507.7
960,60,-7.5724,-20.7545,0.0290,68.2362,-0.7558,0.2896,1024.3
1280,80,-4.9866,-14.2443,0.0474,66.6439,-0.7097,0.2859,1372.8
1600,100,-6.9571,-9.6538,0.0621,65.0538,-0.7399,0.2812,1610.1
1920,120,-6.8468,3.2800,0.1068,62.5106,-0.6440,0.2906,1871.3
2240,140,-7.2522,1.5493,0.0582,62.8648,-0.6632,0.2906,2115.8
2560,160,-7.9830,-5.8642,0.0412,74.8641,-0.7404,0.2875,2387.4
2880,180,-6.7384,-15.7703,0.0656,66.7465,-0.6819,0.2906,2585.7
3200,200,-7.8145,-3.5702,0.1249,70.6868,-0.7018,0.2919,2786.8
3520,220,-7.4307,9.9216,0.1271,58.0153,-0.7447,0.2898,2977.8
3840,240,-7.4183,-11.0291,0.1059,69.4737,-0.7231,0.2927,3172.2
4160,260,-5.8038,11.2513,0.1204,68.5895,-0.6960,0.2947,3352.8
4480,280,-7.1699,-3.4337,0.2205,62.0848,-0.7177,0.2940,3527.2
4800,300,-7.9978,-10.8343,0.1932,77.1892,-0.7702,0.2913,3710.8
