episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.0036,-1.6886,0.0285,12.6340,-0.4793,0.2313,64.3
640,40,-1.4128,-2.1932,0.0386,12.5049,-0.4799,0.1922,133.4
960,60,-1.1645,-1.1781,0.0772,12.5509,-0.3818,0.1906,205.6
1280,80,-1.2406,-1.1180,0.0788,11.6752,-0.8808,0.1883,277.4
1600,100,-0.9328,-0.4343,0.0695,11.8383,-0.8744,0.1844,347.9
1920,120,-0.6318,-1.2088,0.1164,10.4401,-0.2515,0.1828,424.6
2240,140,-0.6046,-0.9851,0.1268,11.0416,-0.6167,0.1804,491.5
2560,160,-1.0635,-0.4443,0.2141,11.4608,-0.7484,0.1793,571.6
2880,180,-0.7144,1.2008,0.2682,9.3605,-0.8067,0.1837,642.1
3200,200,-0.4517,-0.6421,0.4647,9.4993,-0.7569,0.1809,692.7
3520,220,0.0693,0.4749,0.5543,6.8964,-0.2375,0.1830,755.1
3840,240,-0.3412,-0.3054,0.5106,9.8856,-0.7672,0.1818,816.2
4160,260,-0.0981,-0.0404,0.5342,8.3836,-0.4678,0.1829,877.8
4480,280,-0.3892,-1.2538,0.4194,7.5804,-0.6329,0.1844,943.0
4800,300,-0.0102,-0.6168,0.3250,10.1416,-0.7533,0.1829,1008.9
