epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,-0.2050,-1.6312,0.3455,0.0221,8.7941,-0.2060,0.0000,1.0000,0.0000,0.2313,160.8
1,640,40,-0.0939,0.4708,0.2396,0.0812,9.0482,-0.3213,0.0000,1.0000,0.0000,0.2031,330.5
1,960,60,-0.7150,-0.1637,0.1307,0.1691,8.4197,-0.3419,0.0000,1.0000,0.0000,0.1990,462.8
1,1280,80,0.0074,0.6102,0.1342,0.1764,8.5614,-0.5102,0.0000,1.0000,0.0000,0.1914,627.2
1,1600,100,0.0723,-0.4153,0.1610,0.1919,11.5109,-0.4023,0.0000,1.0000,0.0000,0.1837,768.6
1,1920,120,-0.5303,-0.7005,0.3039,0.1386,9.7703,-0.2026,0.0000,1.0000,0.0000,0.1854,1119.9
1,2240,140,0.0886,-2.7587,0.3749,0.2490,9.5621,-0.1147,0.0000,1.0000,0.0000,0.1799,1251.3
1,2560,160,-0.7058,-1.8400,0.1934,0.1492,10.3595,-0.3164,0.0000,1.0000,0.0000,0.1840,1404.6
1,2880,180,-0.4538,0.2860,0.1921,0.2184,9.9485,-0.4075,0.0000,1.0000,0.0000,0.1854,1714.9
1,3200,200,-0.4676,1.6893,0.1297,0.2093,10.7230,-0.4212,0.0000,1.0000,0.0000,0.1875,1906.9
1,3520,220,-0.0357,-0.5487,0.1965,0.1458,8.5339,-0.3478,0.0000,1.0000,0.0000,0.1881,2100.6
1,3840,240,-0.3227,1.8609,0.0722,0.1281,11.3504,-0.4615,0.0000,1.0000,0.0000,0.1891,2244.5
1,4160,260,-0.0820,2.0096,0.0421,0.1803,11.7265,-0.4386,-0.0000,1.0000,0.0000,0.1894,2383.4
1,4480,280,-0.2318,-0.6361,0.3254,0.1384,9.4342,-0.0681,0.0000,1.0000,0.0000,0.1895,2567.5
1,4800,300,0.3781,0.5889,0.1896,0.2189,13.1923,-0.3087,-0.0000,1.0000,0.0000,0.1871,2718.9
2,128,320,-0.8579,0.2717,0.2812,0.2111,11.8802,-0.3275,-0.0000,1.0000,0.0000,0.1894,2895.0
2,448,340,-0.0526,0.3463,0.1985,0.1290,10.1142,-0.3144,0.0000,1.0000,0.0000,0.1878,3060.9
