epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,0.4408,2.2185,0.2701,0.0775,9.1276,-0.3825,0.0000,1.0000,0.0000,0.2531,367.3
1,640,40,-0.1759,-0.3412,0.3008,0.1713,10.4845,-0.2549,0.0000,1.0000,0.0000,0.2250,659.5
1,960,60,-0.6744,-1.5846,0.2109,0.1679,11.0544,-0.2584,-0.0000,1.0000,0.0000,0.2313,945.1
1,1280,80,0.8182,1.9831,0.0734,0.1991,9.8873,-0.4759,0.0000,1.0000,0.0000,0.2250,1196.4
1,1600,100,0.7831,1.9901,0.2210,0.3416,8.9856,-0.3984,0.0000,1.0000,0.0000,0.2250,1481.0
1,1920,120,0.2465,-0.4902,0.3053,0.1555,6.8717,-0.0493,0.0000,1.0000,0.0000,0.2255,1743.1
1,2240,140,-0.1822,1.6815,0.1706,0.0449,8.2511,-0.3463,-0.0000,1.0000,0.0000,0.2214,2137.0
1,2560,160,-0.9211,-2.5361,0.1074,0.1021,14.0362,-0.3057,-0.0000,1.0000,0.0000,0.2199,2489.8
1,2880,180,-0.8889,-1.2238,0.1347,0.0798,10.3705,-0.3893,0.0000,1.0000,0.0000,0.2212,2849.0
1,3200,200,0.5894,2.0293,0.0741,0.1729,9.8469,-0.4015,0.0000,1.0000,0.0000,0.2191,3174.7
1,3520,220,0.0512,-1.0106,0.2666,0.1605,5.8862,-0.1027,0.0000,1.0000,0.0000,0.2213,3520.8
1,3840,240,0.2054,1.9605,0.0769,0.2810,10.0970,-0.4200,-0.0000,1.0000,0.0000,0.2180,3826.0
1,4160,260,0.4015,-0.0175,0.2269,0.1840,9.3357,-0.2583,0.0000,1.0000,0.0000,0.2190,4054.6
1,4480,280,0.1052,1.2011,0.1266,0.2272,7.1504,-0.3302,0.0000,1.0000,0.0000,0.2185,4275.9
1,4800,300,0.2464,-0.4771,0.1181,0.2128,10.4328,-0.3240,0.0000,1.0000,0.0000,0.2165,4507.3
2,128,320,-0.6355,0.6888,0.0858,0.2125,10.4979,-0.3155,0.0000,1.0000,0.0000,0.2188,4785.4
2,448,340,1.1505,0.7900,0.1257,0.4584,7.5831,-0.3391,0.0000,1.0000,0.0000,0.2166,5035.3
