epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1172,0.2344,-0.0349,-0.0384,0.1767,0.2178,10.6677,-0.2564,-0.0000,1.0000,0.0000,1921.3
2,5000,1142,0.2284,-0.1087,-0.1003,0.1712,0.1569,10.9743,-0.2622,-0.0000,1.0000,0.0000,16566.4
3,5000,1184,0.2368,-0.1150,-0.1144,0.1669,0.2524,10.9362,-0.2596,-0.0000,1.0000,0.0000,1963.0
4,5000,1164,0.2328,0.0160,0.0149,0.1742,0.1825,10.4220,-0.2645,-0.0000,1.0000,0.0000,2024.3
5,5000,1186,0.2372,-0.0332,-0.0274,0.1622,0.2745,11.4316,-0.2609,0.0000,1.0000,0.0000,2356.6
6,5000,1153,0.2306,0.1524,0.1546,0.1655,0.2722,11.2129,-0.2675,-0.0000,1.0000,0.0000,4351.0
7,5000,1231,0.2462,-0.2325,-0.2246,0.1652,0.2541,11.5948,-0.2513,0.0000,1.0000,0.0000,4448.9
8,5000,1208,0.2416,0.1797,0.1834,0.1685,0.2424,11.2176,-0.2562,0.0000,1.0000,0.0000,1920.3
9,5000,1183,0.2366,-0.0971,-0.0877,0.1596,0.2078,10.9900,-0.2605,-0.0000,1.0000,0.0000,1865.9
10,5000,1158,0.2316,0.0928,0.1011,0.1703,0.2418,11.7699,-0.2658,0.0000,1.0000,0.0000,3746.1
11,5000,1185,0.2370,0.1580,0.1571,0.1610,0.3031,10.9846,-0.2606,0.0000,1.0000,0.0000,2331.8
12,5000,1170,0.2340,-0.0984,-0.0959,0.1760,0.2256,11.3019,-0.2563,-0.0000,1.0000,0.0000,2951.5
13,5000,1189,0.2378,-0.0069,-0.0087,0.1733,0.1943,10.4268,-0.2602,0.0000,1.0000,0.0000,2356.3
14,5000,1165,0.2330,0.0408,0.0431,0.1621,0.2191,10.5254,-0.2647,0.0000,1.0000,0.0000,3309.6
15,5000,1168,0.2336,0.0568,0.0504,0.1701,0.3081,10.9391,-0.2642,-0.0000,1.0000,0.0000,3588.0
16,5000,1214,0.2428,-0.1227,-0.1280,0.1764,0.3236,11.5273,-0.2464,-0.0000,1.0000,0.0000,3626.4
17,5000,1228,0.2456,-0.0880,-0.0940,0.1669,0.2932,10.6743,-0.2518,-0.0000,1.0000,0.0000,1657.2
18,5000,1156,0.2312,0.0930,0.0903,0.1692,0.2562,10.7537,-0.2669,0.0000,1.0000,0.0000,2225.3
19,5000,1187,0.2374,-0.1930,-0.1850,0.1653,0.2623,11.6839,-0.2601,0.0000,1.0000,0.0000,2005.9
20,5000,1192,0.2384,-0.0153,-0.0002,0.1660,0.1747,11.5578,-0.2592,0.0000,1.0000,0.0000,2170.9
