epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,-0.8399,-2.8331,0.1793,0.0405,10.7530,0.0915,0.0000,1.0000,0.0000,0.2844,254.4
1,640,40,-0.1781,-0.6608,0.3107,0.0402,10.2637,-0.1440,0.0000,1.0000,0.0000,0.2500,394.3
1,960,60,0.8704,-0.6915,0.1378,0.0880,12.9202,-0.3025,0.0000,1.0000,0.0000,0.2417,519.4
1,1280,80,0.7893,-0.0342,0.1430,0.1071,12.3929,-0.4299,-0.0000,1.0000,0.0000,0.2367,651.5
1,1600,100,0.1820,4.6014,0.1284,0.0517,9.5338,-0.3974,-0.0000,1.0000,0.0000,0.2387,800.0
1,1920,120,0.3868,-1.9299,0.2559,0.1271,8.8080,0.0381,0.0000,1.0000,0.0000,0.2437,954.1
1,2240,140,-1.3696,-4.9642,0.1808,0.1396,10.4548,0.0392,-0.0000,1.0000,0.0000,0.2437,1135.3
1,2560,160,-0.1447,-3.5639,0.0765,0.1002,15.2848,-0.2998,0.0000,1.0000,0.0000,0.2445,1475.6
1,2880,180,-1.1776,-2.0000,0.3624,0.2858,12.4043,-0.4892,0.0000,1.0000,0.0000,0.2472,1720.5
1,3200,200,0.1587,-1.2825,0.4513,0.5649,13.2715,-0.4895,0.0000,1.0000,0.0000,0.2456,1882.7
1,3520,220,0.7799,-0.2021,0.2707,0.2904,7.9291,-0.1670,-0.0000,1.0000,0.0000,0.2457,2098.1
1,3840,240,0.2026,0.2992,0.0658,0.4186,11.8645,-0.3689,-0.0000,1.0000,0.0000,0.2414,2415.7
1,4160,260,-0.7664,-1.3569,0.2360,0.4521,10.6188,-0.1646,-0.0000,1.0000,0.0000,0.2418,2726.5
1,4480,280,0.5290,1.8875,0.2289,0.3016,7.5910,-0.2488,-0.0000,1.0000,0.0000,0.2404,3007.4
1,4800,300,0.7511,2.3933,0.0463,0.0964,13.9146,-0.4321,0.0000,1.0000,0.0000,0.2387,3197.2
2,128,320,0.2102,-0.8452,0.1748,0.0856,12.0468,-0.2706,0.0000,1.0000,0.0000,0.2402,3341.6
2,448,340,0.1172,0.5086,0.1397,0.1305,9.7725,-0.1314,-0.0000,1.0000,0.0000,0.2397,3480.7
2,768,360,-0.5861,-0.0950,0.1654,0.0858,12.7211,-0.2982,0.0000,1.0000,0.0000,0.2373,3596.9
2,1088,380,0.4928,0.3279,0.2333,0.4945,8.5424,-0.2367,0.0000,1.0000,0.0000,0.2362,3707.5
2,1408,400,0.0981,1.9230,0.1024,0.1171,13.7948,-0.4387,0.0000,1.0000,0.0000,0.2372,3844.8
