epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1081,0.2162,0.0533,0.0450,0.1774,0.1619,9.6616,-0.2814,-0.0000,1.0000,0.0000,4655.9
2,5000,1093,0.2186,0.0929,0.0806,0.1715,0.2298,9.6481,-0.2797,-0.0000,1.0000,0.0000,33526.7
3,5000,1109,0.2218,-0.1382,-0.1535,0.1760,0.2583,9.8534,-0.2761,0.0000,1.0000,0.0000,2281.6
4,5000,1086,0.2172,0.0178,0.0047,0.1736,0.2719,10.0873,-0.2814,0.0000,1.0000,0.0000,2164.7
5,5000,1082,0.2164,-0.0030,-0.0078,0.1667,0.2638,10.4924,-0.2751,-0.0000,1.0000,0.0000,2439.1
6,5000,1127,0.2254,-0.0512,-0.0609,0.1691,0.1688,9.1681,-0.2729,-0.0000,1.0000,0.0000,2634.3
7,5000,1117,0.2234,-0.0130,-0.0263,0.1767,0.2495,10.0004,-0.2677,-0.0000,1.0000,0.0000,2436.7
8,5000,1078,0.2156,-0.0664,-0.0754,0.1652,0.2729,10.0921,-0.2750,-0.0000,1.0000,0.0000,2305.0
9,5000,1136,0.2272,0.1101,0.1033,0.1633,0.2508,9.9905,-0.2708,0.0000,1.0000,0.0000,2237.3
10,5000,1129,0.2258,-0.1450,-0.1641,0.1753,0.3230,10.0848,-0.2660,-0.0000,1.0000,0.0000,2444.7
