epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,941,0.1882,-0.2501,-0.2581,0.1890,0.1613,10.2618,-0.3083,-0.0000,1.0000,0.0000,2831.9
2,5000,998,0.1996,-0.1672,-0.1978,0.1928,0.2771,9.3471,-0.2931,0.0000,1.0000,0.0000,2274.4
3,5000,948,0.1896,-0.0564,-0.0707,0.1770,0.1857,9.2796,-0.3076,-0.0000,1.0000,0.0000,2291.2
4,5000,1032,0.2064,-0.0042,-0.0189,0.1726,0.2957,10.1254,-0.2905,-0.0000,1.0000,0.0000,3179.5
5,5000,1038,0.2076,-0.0349,-0.0543,0.1723,0.3201,9.8770,-0.2914,-0.0000,1.0000,0.0000,3590.5
6,5000,1018,0.2036,-0.1107,-0.1349,0.1794,0.3359,9.9083,-0.2876,0.0000,1.0000,0.0000,3017.4
7,5000,1082,0.2164,0.0289,-0.0060,0.1751,0.4396,9.6583,-0.2810,0.0000,1.0000,0.0000,2679.8
8,5000,1064,0.2128,-0.1034,-0.1327,0.1688,0.4717,10.2268,-0.2839,-0.0000,1.0000,0.0000,2227.3
9,5000,1052,0.2104,-0.0658,-0.0942,0.1670,0.4020,9.5234,-0.2862,-0.0000,1.0000,0.0000,12989.7
10,5000,1063,0.2126,-0.0046,-0.0478,0.1850,0.5179,10.1005,-0.2793,0.0000,1.0000,0.0000,2415.7
