epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,0.0650,-0.0812,0.3516,0.0103,9.8199,-0.4816,-0.0000,1.0000,0.0000,0.2625,364.2
1,640,40,0.0664,-1.6267,0.8118,0.0391,10.9145,-0.1261,-0.0000,1.0000,0.0000,0.2188,639.3
1,960,60,-0.0591,-0.9836,0.2839,0.0097,9.9145,-0.7329,0.0000,1.0000,0.0000,0.2104,903.0
1,1280,80,-0.2875,1.0029,0.3690,0.0260,11.9192,-0.8852,0.0000,1.0000,0.0000,0.2102,1158.3
1,1600,100,-0.3642,1.2859,0.5226,0.0385,11.1996,-0.8728,0.0000,1.0000,0.0000,0.2062,1389.2
1,1920,120,-0.1944,-0.3707,0.7539,0.0703,7.8562,-0.2602,0.0000,1.0000,0.0000,0.2099,1641.4
1,2240,140,0.2047,-1.0565,0.3373,0.0664,9.8114,-0.4783,0.0000,1.0000,0.0000,0.2049,1994.2
1,2560,160,0.0583,-1.6240,0.3019,0.0409,13.4459,-0.7336,-0.0000,1.0000,0.0000,0.2004,2353.4
1,2880,180,-0.3276,0.5309,0.6377,0.1024,8.7004,-0.7572,-0.0000,1.0000,0.0000,0.2017,2683.0
1,3200,200,0.0037,1.3907,0.3119,0.1266,10.2104,-0.7694,0.0000,1.0000,0.0000,0.2006,3026.0
1,3520,220,0.4214,-1.1284,0.5925,0.0701,6.7740,-0.5959,-0.0000,1.0000,0.0000,0.2037,3384.9
1,3840,240,-0.1117,-1.2641,0.3684,0.1275,9.5990,-0.5154,-0.0000,1.0000,0.0000,0.2047,3712.1
1,4160,260,-0.2923,-1.9737,0.7227,0.0853,9.4924,-0.1114,0.0000,1.0000,0.0000,0.2099,4001.6
1,4480,280,0.3173,0.6488,0.5732,0.1144,7.0190,-0.6080,0.0000,1.0000,0.0000,0.2096,4211.4
1,4800,300,0.1654,-1.3238,0.2671,0.1274,12.8111,-0.7481,-0.0000,1.0000,0.0000,0.2060,4423.0
2,128,320,-0.8596,-1.8390,0.2997,0.1294,11.3043,-0.6040,0.0000,1.0000,0.0000,0.2079,4670.8
2,448,340,-0.1766,1.7869,0.2451,0.1415,10.5641,-0.8691,0.0000,1.0000,0.0000,0.2083,4944.9
2,768,360,0.1818,0.3883,0.3708,0.1761,12.9759,-0.5131,0.0000,1.0000,0.0000,0.2079,5174.8
2,1088,380,-0.0874,-1.9734,0.3725,0.2594,9.5792,-0.3617,0.0000,1.0000,0.0000,0.2076,5402.9
2,1408,400,-0.0784,-0.4515,0.4933,0.1448,13.1328,-0.7580,0.0000,1.0000,0.0000,0.2080,5639.5
2,1728,420,0.3212,-0.9619,0.5972,0.2004,10.8713,-0.2635,-0.0000,1.0000,0.0000,0.2082,5881.6
2,2048,440,-0.2403,-0.5078,0.4587,0.3928,8.1333,-0.6062,-0.0000,1.0000,0.0000,0.2076,6137.7
2,2368,460,0.0968,2.9563,0.3760,0.2594,10.3622,-0.8998,-0.0000,1.0000,0.0000,0.2075,6797.9
2,2688,480,-0.2685,-1.4103,0.4933,0.3946,8.7827,-0.4669,0.0000,1.0000,0.0000,0.2077,36960.5
2,3008,500,-0.0757,-0.3117,0.6427,0.3887,8.4091,-0.3838,0.0000,1.0000,0.0000,0.2073,37182.3
2,3328,520,-0.1429,2.4981,0.4833,0.1296,9.2867,-0.7725,-0.0000,1.0000,0.0000,0.2082,37418.4
2,3648,540,0.0500,-2.2927,0.7371,0.1779,12.0877,-0.4127,-0.0000,1.0000,0.0000,0.2084,37536.9
2,3968,560,0.2948,-1.6997,0.7846,0.3427,8.1982,-0.3300,-0.0000,1.0000,0.0000,0.2084,37668.5
2,4288,580,-0.2385,1.0438,0.3339,0.2495,10.3421,-0.7794,0.0000,1.0000,0.0000,0.2083,37817.1
2,4608,600,-0.1871,-0.5763,0.3070,0.0850,12.9222,-0.7617,-0.0000,1.0000,0.0000,0.2080,37945.4
2,4928,620,-0.0681,-1.5220,0.3028,0.1290,11.2736,-0.4933,-0.0000,1.0000,0.0000,0.2075,38079.4
3,256,640,0.0780,0.8193,0.7054,0.1360,10.8493,-0.6548,-0.0000,1.0000,0.0000,0.2086,38230.5
3,576,660,-0.0269,-0.8828,0.3827,0.1956,9.0732,-0.4790,-0.0000,1.0000,0.0000,0.2087,38378.4
3,896,680,0.3492,0.2513,0.2824,0.1655,10.8727,-0.6365,-0.0000,1.0000,0.0000,0.2087,38539.3
3,1216,700,-0.0502,1.2968,0.4604,0.2571,9.7809,-0.7508,0.0000,1.0000,0.0000,0.2088,38676.4
3,1536,720,-0.0516,0.7184,0.3784,0.1982,8.9750,-0.6220,0.0000,1.0000,0.0000,0.2094,38802.8
3,1856,740,0.2634,1.9735,0.6751,0.1970,10.0554,-0.4739,-0.0000,1.0000,0.0000,0.2104,38942.1
3,2176,760,-0.2637,-1.7501,0.6236,0.2566,10.7499,-0.5250,0.0000,1.0000,0.0000,0.2113,39098.9
3,2496,780,-0.1828,-1.2267,0.4282,0.3019,8.3695,-0.6041,0.0000,1.0000,0.0000,0.2116,39221.5
3,2816,800,-0.0609,0.9431,0.3790,0.3402,9.5931,-0.8749,0.0000,1.0000,0.0000,0.2120,39350.7
3,3136,820,-0.2159,-1.3664,0.6277,0.3608,8.3201,-0.4641,0.0000,1.0000,0.0000,0.2124,39487.7
3,3456,840,0.5584,3.4125,0.6472,0.3509,12.1584,-0.5737,0.0000,1.0000,0.0000,0.2134,39651.7
3,3776,860,-0.2706,-0.2541,0.4296,0.1587,10.7806,-0.6358,-0.0000,1.0000,0.0000,0.2136,39783.5
3,4096,880,0.1895,1.3999,0.5756,0.1348,9.8282,-0.5171,-0.0000,1.0000,0.0000,0.2137,39943.3
3,4416,900,-0.6697,0.3439,0.6164,0.2769,7.4145,-0.8651,-0.0000,1.0000,0.0000,0.2141,40083.8
3,4736,920,0.3177,0.0259,0.2956,0.2817,10.9543,-0.7577,-0.0000,1.0000,0.0000,0.2142,40216.9
4,64,940,-0.2847,-2.2037,0.6517,0.3235,8.8212,-0.0355,-0.0000,1.0000,0.0000,0.2151,40425.8
4,384,960,0.2020,-2.4650,0.4244,0.5075,9.6949,-0.4684,-0.0000,1.0000,0.0000,0.2144,40573.9
4,704,980,-0.3708,-0.5088,0.3674,0.6600,9.9048,-0.6047,-0.0000,1.0000,0.0000,0.2137,40721.5
4,1024,1000,-0.2273,-2.0582,0.6381,0.4311,9.7922,-0.3810,0.0000,1.0000,0.0000,0.2132,40861.2
4,1344,1020,0.1712,0.7242,0.7806,0.3317,7.2503,-0.4818,-0.0000,1.0000,0.0000,0.2130,40994.1
4,1664,1040,-0.4047,-0.3207,0.5438,0.5445,10.2517,-0.3542,0.0000,1.0000,0.0000,0.2127,41111.0
4,1984,1060,0.2641,-1.3603,0.3332,0.3912,10.2662,-0.6146,0.0000,1.0000,0.0000,0.2129,41242.4
4,2304,1080,-0.3313,-2.2819,0.7858,0.1747,10.8600,-0.2595,-0.0000,1.0000,0.0000,0.2131,41363.9
4,2624,1100,-0.1362,-1.1900,0.6031,0.1875,11.0779,-0.2415,0.0000,1.0000,0.0000,0.2136,41487.8
4,2944,1120,-0.0824,0.1957,0.2284,0.1102,11.2164,-0.6530,0.0000,1.0000,0.0000,0.2139,41623.1
4,3264,1140,0.4892,2.5881,0.3671,0.1801,11.7559,-0.8686,-0.0000,1.0000,0.0000,0.2137,41761.7
4,3584,1160,-0.2585,-0.8793,0.3136,0.1417,10.5407,-0.6245,0.0000,1.0000,0.0000,0.2139,41887.5
4,3904,1180,-0.4495,-1.0374,0.7745,0.1781,8.1031,-0.0993,-0.0000,1.0000,0.0000,0.2139,42031.6
4,4224,1200,0.1711,-0.3914,0.4934,0.2238,6.8399,-0.4661,0.0000,1.0000,0.0000,0.2137,42172.2
4,4544,1220,0.2619,0.4849,0.4526,0.1299,9.4339,-0.4276,0.0000,1.0000,0.0000,0.2139,42332.7
4,4864,1240,-0.1564,-0.9166,0.2270,0.1577,8.9588,-0.7371,0.0000,1.0000,0.0000,0.2135,42469.6
5,192,1260,-0.4556,1.6645,0.4124,0.1581,7.8911,-0.8917,0.0000,1.0000,0.0000,0.2144,42614.5
5,512,1280,-0.1769,-1.0476,0.4903,0.2433,8.0228,-0.3559,0.0000,1.0000,0.0000,0.2151,42764.9
5,832,1300,-0.2045,-5.2723,0.6129,0.1466,10.3915,-0.0951,0.0000,1.0000,0.0000,0.2150,42914.1
5,1152,1320,-0.8150,0.2599,0.4575,0.1132,10.1844,-0.7508,0.0000,1.0000,0.0000,0.2153,43064.8
5,1472,1340,1.1285,-1.7419,0.4114,0.1582,10.0855,-0.3459,-0.0000,1.0000,0.0000,0.2146,43190.5
5,1792,1360,-0.3556,1.1059,0.4668,0.2300,8.6490,-0.5184,0.0000,1.0000,0.0000,0.2150,43344.8
5,2112,1380,-0.4443,-0.0561,0.5940,0.1498,9.2522,-0.4150,-0.0000,1.0000,0.0000,0.2148,43477.2
5,2432,1400,0.1975,-0.0507,0.3142,0.1754,13.7011,-0.7430,-0.0000,1.0000,0.0000,0.2146,43621.3
5,2752,1420,-0.6269,0.0704,0.5032,0.2256,8.4620,-0.2472,0.0000,1.0000,0.0000,0.2152,43790.9
5,3072,1440,0.0933,-0.3396,0.7474,0.2818,9.7629,-0.3474,0.0000,1.0000,0.0000,0.2154,43937.8
5,3392,1460,0.4669,-1.3379,0.6244,0.3451,8.9560,-0.4884,0.0000,1.0000,0.0000,0.2155,44065.7
5,3712,1480,-0.7021,-3.3126,0.3250,0.2408,11.2883,-0.2278,0.0000,1.0000,0.0000,0.2157,44268.5
5,4032,1500,0.0944,-0.7482,0.5065,0.2280,8.5639,-0.5041,0.0000,1.0000,0.0000,0.2153,44456.2
5,4352,1520,0.0788,2.1443,0.2048,0.2014,12.5691,-0.8706,0.0000,1.0000,0.0000,0.2153,44611.9
5,4672,1540,-0.4859,0.2158,0.7650,0.2443,5.5815,-0.7286,0.0000,1.0000,0.0000,0.2152,44768.7
5,4992,1560,-0.6515,1.6489,0.5349,0.2407,10.4837,-0.6649,0.0000,1.0000,0.0000,0.2150,44920.8
6,320,1580,-0.0549,-3.5235,0.3562,0.2843,8.5243,0.0488,-0.0000,1.0000,0.0000,0.2158,45095.8
6,640,1600,0.4416,0.4053,0.6749,0.2622,8.5716,-0.3941,-0.0000,1.0000,0.0000,0.2156,45266.6
6,960,1620,-0.0248,0.2383,0.2847,0.2031,7.8155,-0.7466,0.0000,1.0000,0.0000,0.2154,45461.7
6,1280,1640,-0.3819,0.3636,0.3668,0.1639,8.4989,-0.7777,-0.0000,1.0000,0.0000,0.2154,45611.3
6,1600,1660,0.2046,0.4014,0.3312,0.1931,8.4663,-0.7532,0.0000,1.0000,0.0000,0.2155,45751.7
6,1920,1680,0.0953,-0.5061,0.6245,0.1619,8.1168,-0.1629,-0.0000,1.0000,0.0000,0.2159,45945.8
6,2240,1700,-0.3432,-2.6482,0.3272,0.1223,8.5266,-0.3270,-0.0000,1.0000,0.0000,0.2163,46109.3
6,2560,1720,0.4617,-2.0478,0.4772,0.1320,13.2581,-0.6177,0.0000,1.0000,0.0000,0.2162,46276.3
6,2880,1740,-1.0107,-0.1534,0.4172,0.2045,11.4387,-0.6397,0.0000,1.0000,0.0000,0.2164,46504.2
6,3200,1760,-0.2196,0.7351,0.1806,0.2430,11.1872,-0.7545,-0.0000,1.0000,0.0000,0.2164,46636.8
6,3520,1780,0.5339,-2.4146,0.4485,0.2885,7.4069,-0.4911,0.0000,1.0000,0.0000,0.2161,46817.1
6,3840,1800,-0.1691,4.3800,0.3483,0.3119,11.1226,-1.0000,0.0000,1.0000,0.0000,0.2161,46973.6
6,4160,1820,-0.2478,0.7718,0.5148,0.2698,10.5518,-0.7375,-0.0000,1.0000,0.0000,0.2160,47107.7
