epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1070,0.2140,0.0281,-0.1019,0.4565,0.1272,11.0932,-0.5718,-0.0000,1.0000,0.0000,2625.5
2,5000,1095,0.2190,0.0207,-0.1204,0.4464,0.1870,10.0808,-0.5614,0.0000,1.0000,0.0000,2282.8
3,5000,1113,0.2226,-0.1427,-0.2901,0.4613,0.2172,10.4984,-0.5519,-0.0000,1.0000,0.0000,2218.5
4,5000,1144,0.2288,-0.0529,-0.1952,0.4540,0.2527,10.9989,-0.5418,-0.0000,1.0000,0.0000,2197.5
5,5000,1116,0.2232,0.0228,-0.1209,0.4575,0.2346,10.8526,-0.5511,-0.0000,1.0000,0.0000,2105.2
6,5000,1092,0.2184,0.0804,-0.0833,0.4638,0.3599,10.4238,-0.5603,-0.0000,1.0000,0.0000,18634.7
7,5000,1157,0.2314,-0.0447,-0.1901,0.4467,0.3172,10.9684,-0.5365,-0.0000,1.0000,0.0000,2413.8
8,5000,1129,0.2258,-0.0517,-0.2034,0.4567,0.2189,9.8512,-0.5480,0.0000,1.0000,0.0000,2428.8
9,5000,1133,0.2266,0.1991,0.0510,0.4504,0.2381,10.0805,-0.5461,0.0000,1.0000,0.0000,2319.7
10,5000,1101,0.2202,0.1156,-0.0578,0.4689,0.3036,9.1355,-0.5593,0.0000,1.0000,0.0000,2349.1
