epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,0.0659,0.6695,0.5659,0.3394,6.8586,-0.3492,-0.0000,1.0000,0.0000,0.2906,140.9
1,640,40,-0.1588,-0.3193,0.3539,0.2108,8.8224,-0.6032,0.0000,1.0000,0.0000,0.2531,276.0
1,960,60,-0.9341,-1.8299,0.2949,0.5470,11.3786,-0.4908,0.0000,1.0000,0.0000,0.2437,399.7
1,1280,80,1.3318,0.2079,0.2546,0.2660,11.9019,-0.7573,0.0000,1.0000,0.0000,0.2336,534.0
1,1600,100,-0.6411,0.5741,0.2591,0.2151,9.0993,-0.8736,-0.0000,1.0000,0.0000,0.2313,658.2
1,1920,120,-0.8030,0.2337,0.6323,0.0888,8.5507,-0.7391,0.0000,1.0000,0.0000,0.2302,788.4
1,2240,140,0.2646,-0.0306,0.4178,0.2117,8.0731,-0.3855,0.0000,1.0000,0.0000,0.2299,930.3
1,2560,160,0.6876,-4.1086,0.3637,0.0605,13.7729,-0.4845,0.0000,1.0000,0.0000,0.2293,1056.8
1,2880,180,-0.3299,-0.5253,0.4283,0.1010,10.5464,-0.4937,-0.0000,1.0000,0.0000,0.2337,1198.5
1,3200,200,0.3086,2.0019,0.1587,0.0850,11.0680,-0.8755,-0.0000,1.0000,0.0000,0.2331,1347.2
1,3520,220,-0.0352,-0.8069,0.5659,0.2042,6.8270,-0.6037,-0.0000,1.0000,0.0000,0.2364,1493.6
1,3840,240,0.8015,-1.6741,0.6777,0.2033,9.4530,-0.2440,-0.0000,1.0000,0.0000,0.2375,1669.9
1,4160,260,-0.1819,-1.5244,0.4083,0.3908,9.9003,-0.4797,-0.0000,1.0000,0.0000,0.2404,1887.8
1,4480,280,0.5243,1.7658,0.7664,0.4479,7.8211,-0.4198,-0.0000,1.0000,0.0000,0.2406,2071.6
1,4800,300,-0.0593,-1.6958,0.4955,0.1317,12.4923,-0.5611,-0.0000,1.0000,0.0000,0.2385,2198.7
2,128,320,-0.2354,-0.3954,0.3295,0.1054,9.8421,-0.5973,-0.0000,1.0000,0.0000,0.2402,2345.7
2,448,340,0.9195,-1.9874,0.4560,0.0785,7.3830,-0.2439,-0.0000,1.0000,0.0000,0.2383,2494.6
2,768,360,0.5283,-1.4609,0.2450,0.0769,10.2885,-0.5870,0.0000,1.0000,0.0000,0.2367,2680.7
2,1088,380,-0.6365,-0.5413,0.3964,0.1064,8.0704,-0.4588,0.0000,1.0000,0.0000,0.2375,2836.6
2,1408,400,-0.7233,2.0780,0.5107,0.1506,13.1287,-0.7889,0.0000,1.0000,0.0000,0.2383,2971.0
2,1728,420,0.1110,-2.0700,0.5399,0.1033,11.6831,-0.3885,0.0000,1.0000,0.0000,0.2377,3121.9
2,2048,440,0.0278,-2.2241,0.3624,0.2825,9.4679,-0.3319,-0.0000,1.0000,0.0000,0.2365,3286.0
2,2368,460,-1.4011,-0.6735,0.3474,0.5616,12.6779,-0.5053,0.0000,1.0000,0.0000,0.2368,3450.3
2,2688,480,-0.1534,-2.3696,0.5949,0.2990,10.4076,-0.2418,0.0000,1.0000,0.0000,0.2366,3600.1
2,3008,500,0.2911,2.0561,0.3192,0.3504,9.3469,-0.4877,0.0000,1.0000,0.0000,0.2371,3773.9
2,3328,520,0.2544,2.7920,0.3240,0.2324,10.0692,-0.8687,0.0000,1.0000,0.0000,0.2375,3947.9
2,3648,540,-0.0680,0.6490,0.5179,0.1961,10.3355,-0.6500,0.0000,1.0000,0.0000,0.2381,4163.6
2,3968,560,0.7116,-0.1503,0.6953,0.3070,6.5681,-0.4684,0.0000,1.0000,0.0000,0.2382,4372.2
2,4288,580,0.5001,-0.0535,0.2497,0.1016,11.4754,-0.6342,-0.0000,1.0000,0.0000,0.2369,4967.6
2,4608,600,-0.2059,2.3029,0.2166,0.1423,12.6209,-0.7520,-0.0000,1.0000,0.0000,0.2368,5274.0
2,4928,620,-0.3726,-3.6925,0.2630,0.2249,11.3113,-0.4665,0.0000,1.0000,0.0000,0.2374,5541.9
3,256,640,0.2224,-0.1463,0.3637,0.0962,13.5742,-0.6446,-0.0000,1.0000,0.0000,0.2390,5719.1
3,576,660,0.1277,-2.2535,0.2642,0.1775,9.8272,-0.6255,-0.0000,1.0000,0.0000,0.2382,5858.4
3,896,680,1.0175,-2.0263,0.5171,0.3136,13.5129,-0.5189,-0.0000,1.0000,0.0000,0.2372,6014.1
3,1216,700,0.0444,3.9133,0.3212,0.2147,9.2772,-0.8732,-0.0000,1.0000,0.0000,0.2369,6154.1
3,1536,720,-0.0175,-0.2220,0.3433,0.3143,12.0730,-0.6319,0.0000,1.0000,0.0000,0.2374,6304.0
3,1856,740,0.4042,-4.1602,0.7534,0.3717,11.2536,-0.3387,-0.0000,1.0000,0.0000,0.2367,6454.2
3,2176,760,-0.6401,-1.3465,0.4850,0.4627,11.8507,-0.4067,0.0000,1.0000,0.0000,0.2367,6672.4
3,2496,780,0.3791,-3.2146,0.6368,0.3484,9.6209,-0.3476,0.0000,1.0000,0.0000,0.2362,6814.0
3,2816,800,0.4367,2.0031,0.1397,0.2485,11.2677,-0.7481,0.0000,1.0000,0.0000,0.2357,6969.7
3,3136,820,-0.1168,-0.7467,0.2695,0.2615,9.9662,-0.7263,0.0000,1.0000,0.0000,0.2359,7362.4
3,3456,840,-0.6169,-0.8210,0.2869,0.2301,14.5784,-0.5332,0.0000,1.0000,0.0000,0.2369,7601.6
3,3776,860,0.5391,2.3448,0.5031,0.2211,10.5562,-0.7430,-0.0000,1.0000,0.0000,0.2366,7769.3
3,4096,880,0.0525,-2.5819,0.4187,0.2719,10.6159,-0.1472,0.0000,1.0000,0.0000,0.2371,7954.0
3,4416,900,0.1332,-0.6992,0.4411,0.2524,7.2163,-0.5927,0.0000,1.0000,0.0000,0.2368,8104.6
3,4736,920,0.5243,0.1511,0.2906,0.1862,11.5878,-0.7755,0.0000,1.0000,0.0000,0.2368,8304.5
4,64,940,-0.8508,0.8277,0.4381,0.2693,8.8181,-0.4978,-0.0000,1.0000,0.0000,0.2376,8650.6
4,384,960,-0.1358,-1.4125,0.4027,0.2135,9.4880,-0.3776,-0.0000,1.0000,0.0000,0.2380,8778.7
4,704,980,-0.2426,-0.6243,0.1918,0.1589,11.3923,-0.5916,0.0000,1.0000,0.0000,0.2377,8887.2
4,1024,1000,-0.2291,-1.3055,0.5371,0.1414,10.6002,-0.4843,0.0000,1.0000,0.0000,0.2374,8997.3
4,1344,1020,0.4287,-2.1579,0.6507,0.2331,7.2762,-0.1094,0.0000,1.0000,0.0000,0.2375,9117.0
4,1664,1040,-0.0227,1.0983,0.5028,0.3409,9.8738,-0.4668,-0.0000,1.0000,0.0000,0.2378,9244.5
4,1984,1060,-0.5888,-1.8397,0.4669,0.2215,11.4031,-0.4940,0.0000,1.0000,0.0000,0.2376,9378.3
4,2304,1080,0.0908,-3.6728,0.2617,0.2117,11.9883,-0.2173,0.0000,1.0000,0.0000,0.2375,9488.9
4,2624,1100,1.1459,-1.0348,0.7187,0.3485,11.5824,-0.1442,0.0000,1.0000,0.0000,0.2371,9612.5
4,2944,1120,-0.6480,-0.4250,0.2628,0.4745,12.8576,-0.6186,0.0000,1.0000,0.0000,0.2375,9728.8
4,3264,1140,0.1868,2.0945,0.2935,0.3150,12.0540,-0.6306,0.0000,1.0000,0.0000,0.2371,9831.6
4,3584,1160,-0.2560,-3.6798,0.3411,0.5303,9.7374,-0.2335,-0.0000,1.0000,0.0000,0.2376,9945.6
4,3904,1180,0.5065,1.6182,0.7506,0.1779,7.7435,-0.4711,0.0000,1.0000,0.0000,0.2378,10059.0
4,4224,1200,-0.1279,-1.0626,0.4510,0.1814,8.8131,-0.4752,-0.0000,1.0000,0.0000,0.2378,10166.3
4,4544,1220,-0.2117,-1.0713,0.4659,0.4832,10.6236,-0.0142,0.0000,1.0000,0.0000,0.2376,10274.2
4,4864,1240,0.1245,-1.8347,0.2957,0.5046,9.4794,-0.7296,-0.0000,1.0000,0.0000,0.2371,10374.7
5,192,1260,0.1001,1.9202,0.3234,0.5233,7.8133,-0.7839,0.0000,1.0000,0.0000,0.2373,10489.1
5,512,1280,0.0846,-0.2162,0.3428,1.0029,6.2456,-0.7503,0.0000,1.0000,0.0000,0.2370,10594.3
5,832,1300,-0.2088,-0.6376,0.5124,0.5111,8.7628,-0.2717,0.0000,1.0000,0.0000,0.2366,10699.6
5,1152,1320,-0.2938,-0.0792,0.2648,0.6792,9.0601,-0.7570,-0.0000,1.0000,0.0000,0.2366,10807.0
5,1472,1340,0.9348,1.8082,0.3540,0.2336,9.8665,-0.7650,0.0000,1.0000,0.0000,0.2364,10909.0
5,1792,1360,-1.0368,1.4783,0.5159,0.3259,8.6351,-0.6266,-0.0000,1.0000,0.0000,0.2366,11024.8
5,2112,1380,0.4768,-0.5380,0.3656,0.1793,7.3553,-0.6306,0.0000,1.0000,0.0000,0.2359,11139.6
5,2432,1400,0.2553,-1.6441,0.2910,0.3584,12.7468,-0.6295,0.0000,1.0000,0.0000,0.2354,11240.5
5,2752,1420,0.6635,1.4456,0.5651,0.6113,8.4460,-0.1182,-0.0000,1.0000,0.0000,0.2355,11356.6
5,3072,1440,0.0170,-1.9759,0.6909,0.3226,9.1322,-0.3517,0.0000,1.0000,0.0000,0.2354,11496.3
5,3392,1460,0.7630,1.8339,0.6854,0.3765,6.1859,-0.3858,0.0000,1.0000,0.0000,0.2353,11614.7
5,3712,1480,0.9197,0.3822,0.3089,0.4624,9.8770,-0.4856,0.0000,1.0000,0.0000,0.2356,11743.8
5,4032,1500,-0.4341,-0.1320,0.5915,0.5835,7.7925,-0.6369,0.0000,1.0000,0.0000,0.2361,11877.5
5,4352,1520,-0.0168,3.2710,0.3900,0.4070,11.1548,-0.7585,-0.0000,1.0000,0.0000,0.2364,11986.5
5,4672,1540,0.6042,-1.1047,0.5012,0.4110,6.0618,0.0400,0.0000,1.0000,0.0000,0.2364,12096.9
5,4992,1560,0.1308,-1.5801,0.4946,0.2686,8.7802,-0.2965,-0.0000,1.0000,0.0000,0.2364,12201.3
6,320,1580,0.3354,-0.0362,0.8849,0.5768,7.2549,-0.4678,-0.0000,1.0000,0.0000,0.2371,12322.7
6,640,1600,0.5942,1.5665,0.4685,0.6604,8.0384,-0.7331,0.0000,1.0000,0.0000,0.2367,12441.3
6,960,1620,0.1485,-1.1456,0.4760,0.3343,8.6630,-0.3847,0.0000,1.0000,0.0000,0.2367,12553.2
6,1280,1640,-0.0161,1.3071,0.3279,1.0771,8.8849,-0.8849,0.0000,1.0000,0.0000,0.2365,12674.7
6,1600,1660,0.4552,1.9085,0.4717,0.9685,7.7492,-0.7664,-0.0000,1.0000,0.0000,0.2364,12788.4
6,1920,1680,-0.5218,-0.9373,0.5294,0.3730,8.7286,-0.6347,-0.0000,1.0000,0.0000,0.2362,12894.6
6,2240,1700,-0.3778,1.5692,0.4215,0.8091,9.0301,-0.5209,-0.0000,1.0000,0.0000,0.2363,13020.7
6,2560,1720,0.7751,-2.2749,0.3186,0.3438,14.4048,-0.6312,0.0000,1.0000,0.0000,0.2357,13142.0
6,2880,1740,-0.8961,0.8286,0.4786,0.2345,11.1068,-0.6718,-0.0000,1.0000,0.0000,0.2360,13266.2
6,3200,1760,-0.2939,-1.4746,0.3836,0.1390,11.0937,-0.6390,-0.0000,1.0000,0.0000,0.2356,13386.0
6,3520,1780,0.3510,-0.4604,0.6695,0.3933,6.3079,-0.3400,-0.0000,1.0000,0.0000,0.2360,13508.4
6,3840,1800,0.7048,-1.5369,0.3091,0.1053,10.1867,-0.5116,0.0000,1.0000,0.0000,0.2360,13622.1
6,4160,1820,-0.0772,-0.5049,0.5123,0.1685,10.1075,-0.5080,0.0000,1.0000,0.0000,0.2359,13729.0
6,4480,1840,0.6214,-1.9922,0.5628,0.2953,6.4763,-0.3451,0.0000,1.0000,0.0000,0.2355,13832.6
6,4800,1860,0.0387,-1.0106,0.2544,0.2928,11.8748,-0.7589,0.0000,1.0000,0.0000,0.2350,13939.7
7,128,1880,-1.1952,0.3404,0.4335,0.1122,10.0135,-0.6361,0.0000,1.0000,0.0000,0.2354,14059.9
7,448,1900,0.5451,-1.0475,0.4020,0.1908,7.5541,-0.7432,0.0000,1.0000,0.0000,0.2350,14176.6
7,768,1920,-0.3034,3.3504,0.3253,0.0730,9.8127,-0.8626,0.0000,1.0000,0.0000,0.2349,14297.5
7,1088,1940,0.2291,0.8160,0.5000,0.2105,7.4133,-0.6217,-0.0000,1.0000,0.0000,0.2351,14433.5
7,1408,1960,0.4137,4.2281,0.0907,0.0787,13.0454,-1.0000,-0.0000,1.0000,0.0000,0.2354,14585.4
7,1728,1980,-1.0544,-0.3676,0.3151,0.2126,11.7376,-0.4010,-0.0000,1.0000,0.0000,0.2353,14702.6
7,2048,2000,0.2366,0.4470,0.2889,0.2781,8.6698,-0.4866,0.0000,1.0000,0.0000,0.2352,14819.6
7,2368,2020,-0.0646,-1.0335,0.5917,0.4167,9.7741,-0.6066,0.0000,1.0000,0.0000,0.2354,14940.5
7,2688,2040,0.9369,-0.3407,0.7704,0.1602,8.2890,-0.2903,0.0000,1.0000,0.0000,0.2351,15055.1
7,3008,2060,-0.0929,-3.2458,0.5232,0.4738,7.8900,-0.2337,-0.0000,1.0000,0.0000,0.2352,15183.7
7,3328,2080,0.0964,-0.3429,0.4917,0.2336,8.2092,-0.6582,-0.0000,1.0000,0.0000,0.2353,15306.9
7,3648,2100,0.4559,0.1479,0.6757,0.2294,10.0307,-0.4267,-0.0000,1.0000,0.0000,0.2353,15430.5
7,3968,2120,0.0903,-1.1515,0.7467,0.4251,5.4363,0.0490,0.0000,1.0000,0.0000,0.2353,15549.9
7,4288,2140,-0.2057,-1.5723,0.2649,0.4017,9.4687,-0.6448,-0.0000,1.0000,0.0000,0.2353,15675.4
7,4608,2160,-0.2459,-2.1185,0.3412,0.4053,10.8918,-0.6267,0.0000,1.0000,0.0000,0.2351,15800.4
7,4928,2180,-0.4799,-2.0813,0.3351,0.2753,10.6269,-0.2626,0.0000,1.0000,0.0000,0.2351,15925.4
8,256,2200,0.4223,-0.2058,0.0564,0.2010,12.6399,-0.8633,0.0000,1.0000,0.0000,0.2356,16081.0
8,576,2220,-0.8847,0.0030,0.4377,0.1593,8.8842,-0.6475,0.0000,1.0000,0.0000,0.2356,16204.8
8,896,2240,0.6196,0.7964,0.4383,0.2650,11.9718,-0.6628,0.0000,1.0000,0.0000,0.2356,16329.9
8,1216,2260,-0.7699,2.6415,0.4791,0.5644,11.4410,-0.7586,0.0000,1.0000,0.0000,0.2354,16450.7
8,1536,2280,-1.5112,0.8754,0.5567,0.4635,11.8701,-0.7455,0.0000,1.0000,0.0000,0.2358,16592.8
8,1856,2300,1.6629,0.6037,0.4223,0.2265,10.7677,-0.5888,-0.0000,1.0000,0.0000,0.2357,16767.9
8,2176,2320,0.0924,0.5348,0.1990,0.0878,12.4941,-0.8602,0.0000,1.0000,0.0000,0.2354,16907.6
8,2496,2340,-0.8314,1.9292,0.3071,0.4092,10.0257,-0.8636,0.0000,1.0000,0.0000,0.2353,17045.7
8,2816,2360,-0.3617,2.3720,0.1656,0.1926,12.0338,-0.8611,0.0000,1.0000,0.0000,0.2353,17188.9
8,3136,2380,-0.5149,0.5515,0.5811,0.5542,10.5223,-0.7436,0.0000,1.0000,0.0000,0.2354,17352.2
8,3456,2400,0.1822,-3.4716,0.3912,0.1149,13.9918,-0.5279,0.0000,1.0000,0.0000,0.2353,17487.5
