epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1031,0.2062,-0.0640,-0.1911,0.4501,0.0691,10.4885,-0.5869,-0.0000,1.0000,0.0000,4567.8
2,5000,1049,0.2098,-0.0595,-0.2125,0.4687,0.2293,10.4292,-0.5799,-0.0000,1.0000,0.0000,33544.4
3,5000,1133,0.2266,0.0005,-0.1715,0.4857,0.2389,9.4754,-0.5442,0.0000,1.0000,0.0000,2256.4
4,5000,1064,0.2128,-0.0924,-0.2569,0.4712,0.2683,9.7914,-0.5735,-0.0000,1.0000,0.0000,2158.9
5,5000,1101,0.2202,-0.1597,-0.3147,0.4672,0.2266,10.1287,-0.5585,0.0000,1.0000,0.0000,2396.3
6,5000,1109,0.2218,-0.0450,-0.1932,0.4544,0.2136,10.0427,-0.5538,-0.0000,1.0000,0.0000,2593.1
7,5000,1038,0.2076,0.0236,-0.1137,0.4391,0.1991,10.2098,-0.5823,-0.0000,1.0000,0.0000,2337.7
8,5000,1076,0.2152,0.0527,-0.0902,0.4430,0.2160,10.0285,-0.5670,0.0000,1.0000,0.0000,2387.1
9,5000,1081,0.2162,-0.0905,-0.2499,0.4733,0.2536,10.2585,-0.5669,0.0000,1.0000,0.0000,2170.0
10,5000,1115,0.2230,0.0185,-0.1330,0.4585,0.2418,10.1905,-0.5530,0.0000,1.0000,0.0000,2496.3
