epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,935,0.1870,-0.1576,-0.3471,0.5256,0.2337,9.6678,-0.6235,-0.0000,1.0000,0.0000,2882.1
2,5000,1005,0.2010,-0.0983,-0.2950,0.5050,0.2811,8.3991,-0.5976,0.0000,1.0000,0.0000,2327.9
3,5000,1026,0.2052,0.0313,-0.1753,0.4951,0.4425,8.5239,-0.5873,0.0000,1.0000,0.0000,2366.0
4,5000,1018,0.2036,0.0317,-0.1652,0.4940,0.4358,9.3706,-0.5907,-0.0000,1.0000,0.0000,3551.1
5,5000,1045,0.2090,-0.0119,-0.2190,0.4879,0.4713,8.3998,-0.5799,-0.0000,1.0000,0.0000,3654.4
6,5000,1073,0.2146,0.0271,-0.1830,0.4870,0.5652,8.9892,-0.5684,0.0000,1.0000,0.0000,3124.2
7,5000,1052,0.2104,0.0713,-0.1066,0.4408,0.4410,8.6603,-0.5782,0.0000,1.0000,0.0000,2450.2
8,5000,1057,0.2114,0.1009,-0.1078,0.4858,0.4993,8.4135,-0.5749,-0.0000,1.0000,0.0000,2468.4
9,5000,1106,0.2212,0.0704,-0.1296,0.4776,0.5064,8.9485,-0.5553,-0.0000,1.0000,0.0000,12868.1
10,5000,1075,0.2150,0.0391,-0.1622,0.4848,0.5794,9.9060,-0.5692,-0.0000,1.0000,0.0000,2458.7
