episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.5108,-1.4018,0.0300,14.7266,-0.2966,0.0875,829.4
640,40,-1.7480,-1.4339,0.0176,14.6403,-0.4024,0.0844,1715.4
960,60,-1.5206,-2.1988,0.0362,15.8853,-0.3040,0.0844,2538.1
1280,80,-0.7095,1.5565,0.1170,16.6123,-0.5000,0.0813,3234.2
1600,100,0.0044,0.9923,0.0834,15.7711,-0.5000,0.0750,3955.1
1920,120,-0.7644,-1.8382,0.0529,14.7580,-0.4003,0.0755,4641.0
2240,140,-0.6168,-0.3322,0.0264,15.0040,-0.4123,0.0772,5910.1
2560,160,-0.5557,-0.3916,0.0278,17.5502,-0.4122,0.0785,6990.4
2880,180,0.4757,3.5480,0.0909,16.3007,-0.5000,0.0753,7710.4
3200,200,-0.3500,-0.3305,0.0618,16.4042,-0.4270,0.0753,8438.7
3520,220,-0.4288,-1.0786,0.1162,13.1339,-0.2955,0.0773,9270.2
3840,240,-0.5020,0.0709,0.1331,16.0817,-0.4187,0.0779,10069.6
4160,260,0.4608,-0.5225,0.1389,15.3369,-0.4087,0.0772,10800.0
4480,280,0.1220,-1.0237,0.1394,13.4517,-0.3996,0.0775,11511.3
4800,300,-0.1410,-0.1582,0.1780,17.5116,-0.4130,0.0779,12349.5
