epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
1,320,20,-1.2757,-1.0092,0.0052,10.0477,-0.6091,0.3063,42.0
1,640,40,-1.0052,-2.3948,0.0090,9.6966,0.2358,0.2891,81.7
1,960,60,-0.9085,-0.3626,0.0208,12.7060,-0.3716,0.2833,119.8
1,1280,80,-0.9523,-1.2781,0.0641,9.8309,-0.5115,0.2867,157.4
1,1600,100,-0.9811,-1.3718,0.0777,9.1307,-0.2305,0.2919,195.9
1,1920,120,-0.6232,-0.6781,0.1869,7.6931,-0.3428,0.2880,232.2
1,2240,140,-0.5819,0.1412,0.1904,9.1207,-0.2554,0.2938,274.7
1,2560,160,-0.4389,-1.5865,0.3446,8.0476,-0.4766,0.2941,315.3
1,2880,180,-0.6944,-1.6472,0.3431,9.8536,-0.6208,0.2969,356.7
1,3200,200,-0.4119,-1.6692,0.3528,7.9100,-0.1301,0.2978,394.6
1,3520,220,-0.6933,-1.8491,0.3536,9.4780,0.0059,0.3006,434.0
1,3840,240,-0.0539,-0.0597,0.5051,8.2889,-0.6118,0.3003,473.1
1,4160,260,-0.3645,-1.6925,0.3569,9.8520,-0.2418,0.2995,510.1
1,4480,280,-0.2232,-1.0003,0.3334,7.2338,0.0227,0.3009,552.0
1,4800,300,-0.2774,-0.1926,0.3644,8.3628,-0.6180,0.3035,591.5
2,128,320,-0.3785,1.2187,0.3741,10.2234,-0.7765,0.3091,631.2
2,448,340,-0.2101,-1.2585,0.4726,8.0314,0.0397,0.3084,668.7
2,768,360,-0.0755,2.7294,0.3253,7.7821,-1.0000,0.3065,705.7
2,1088,380,-0.5724,-0.9211,0.3269,8.7309,-0.5049,0.3065,744.2
2,1408,400,-0.3540,-1.8041,0.5820,8.4429,-0.1110,0.3074,782.2
2,1728,420,0.0121,-1.2496,0.5661,7.5258,-0.1032,0.3086,819.3
2,2048,440,0.1877,-0.4899,0.4138,8.4764,-0.7294,0.3087,868.9
2,2368,460,-0.0927,1.3145,0.6251,8.0033,-0.7449,0.3085,913.0
2,2688,480,-0.0089,-0.3549,0.4593,7.0542,0.0205,0.3088,953.1
2,3008,500,-0.5608,-1.6155,0.3289,8.3935,-0.0217,0.3082,991.6
2,3328,520,-0.2429,-0.7516,0.4361,6.1534,-0.5866,0.3081,1029.4
2,3648,540,-0.0515,1.3877,0.4161,7.7409,-0.6485,0.3104,1067.5
2,3968,560,0.0323,-0.7642,0.4388,8.0000,-0.3671,0.3111,1106.7
2,4288,580,0.0838,-2.3697,0.2521,9.1600,0.1488,0.3105,1143.5
2,4608,600,-0.3146,-1.8685,0.2969,8.3559,0.4006,0.3132,1182.4
2,4928,620,-0.2114,-0.9043,0.2594,8.9818,-0.4895,0.3130,1218.7
3,256,640,-0.2881,-1.5936,0.4353,8.5496,0.1458,0.3135,1257.8
3,576,660,0.0342,-1.2318,0.4080,7.7994,-0.0809,0.3138,1292.7
3,896,680,-0.2206,-2.7700,0.5466,8.1958,-0.2454,0.3135,1328.8
3,1216,700,0.0518,-1.1422,0.6638,8.5237,-0.5980,0.3129,1367.9
3,1536,720,-0.3115,-1.0408,0.3874,8.7566,-0.2363,0.3135,1404.4
3,1856,740,-0.0851,-0.5795,0.4787,8.1006,-0.2420,0.3128,1439.2
3,2176,760,0.0162,-1.1983,0.4046,6.9496,-0.1093,0.3123,1472.2
3,2496,780,-0.5165,-3.0348,0.4579,8.5477,0.1810,0.3125,1508.2
3,2816,800,-0.1718,0.0645,0.4836,6.8896,-0.3770,0.3130,1546.9
3,3136,820,0.2376,1.0867,0.5089,8.9322,-0.6529,0.3134,1583.4
3,3456,840,-0.4004,-2.8820,0.4422,9.1801,0.2564,0.3136,1621.4
3,3776,860,0.1297,0.3510,0.3820,9.3242,-0.7673,0.3146,1658.5
3,4096,880,0.0307,0.7534,0.6456,7.1003,-0.2722,0.3143,1694.7
3,4416,900,-0.0432,0.3791,0.4838,7.8096,-0.3781,0.3151,1731.8
3,4736,920,0.0947,-0.1867,0.6466,6.5359,-0.2604,0.3151,1789.5
4,64,940,0.1336,-1.2905,0.5000,8.9088,-0.3274,0.3164,1826.1
4,384,960,0.1988,2.0891,0.6338,6.3962,-1.0000,0.3164,1861.0
4,704,980,0.1831,0.2943,0.5003,8.6817,-0.4826,0.3155,1899.2
4,1024,1000,0.1663,-0.4676,0.5602,6.5401,-0.6034,0.3148,1950.0
4,1344,1020,-0.3443,-1.3609,0.4870,6.6285,0.1112,0.3150,1989.8
4,1664,1040,-0.2537,0.5839,0.6228,5.3232,-0.7388,0.3146,2031.8
4,1984,1060,0.2583,0.4491,0.5041,6.8633,-0.2363,0.3145,2067.7
4,2304,1080,-0.0835,-0.7302,0.3364,9.5927,-0.7343,0.3140,2098.9
4,2624,1100,-0.9108,0.0894,0.3162,9.5885,-0.3074,0.3145,2133.7
4,2944,1120,0.3206,-1.1717,0.2679,9.8712,-0.3539,0.3140,2167.7
4,3264,1140,0.0404,-0.4726,0.3113,9.3960,-0.5132,0.3146,2211.3
4,3584,1160,-0.4349,-0.0105,0.3484,8.1364,-0.6155,0.3147,2249.7
4,3904,1180,-0.0548,-1.0782,0.3686,8.2965,0.2162,0.3151,2289.6
4,4224,1200,0.1928,0.5734,0.3429,10.4776,-0.7620,0.3148,2323.6
4,4544,1220,-0.0849,0.5698,0.3166,8.2189,0.2784,0.3156,2359.9
4,4864,1240,-0.1561,0.8728,0.4294,8.4294,-0.7629,0.3154,2392.3
5,192,1260,-0.1668,-0.4885,0.4066,8.8122,0.0343,0.3167,2425.7
5,512,1280,-0.2765,-1.2583,0.3098,10.4605,-0.6072,0.3162,2458.5
5,832,1300,0.4929,-2.1309,0.2828,9.4408,0.1526,0.3160,2490.6
5,1152,1320,-0.3936,-2.0144,0.5146,6.9045,-0.3327,0.3154,2523.8
5,1472,1340,0.2484,1.0137,0.3696,8.2583,-0.7650,0.3149,2556.7
5,1792,1360,0.2101,1.7548,0.5998,8.4775,-0.7613,0.3146,2598.6
5,2112,1380,-0.0370,-0.8177,0.5791,8.4639,-0.0139,0.3149,2634.5
5,2432,1400,-0.0673,-0.6415,0.2851,9.5065,-0.5142,0.3158,2676.2
5,2752,1420,-0.2733,-0.7592,0.4147,8.3857,-0.0567,0.3158,2712.9
5,3072,1440,0.0191,0.4112,0.4276,9.1797,-0.3637,0.3157,2749.3
5,3392,1460,-0.0977,0.3332,0.5364,7.5459,-0.4951,0.3155,2785.6
5,3712,1480,-0.1867,-0.1086,0.5052,8.7471,-0.6416,0.3162,2820.9
5,4032,1500,0.2322,-0.1077,0.6367,7.2074,-0.6155,0.3159,2854.9
5,4352,1520,-0.0146,-0.0346,0.6260,6.0574,-0.3711,0.3163,2891.5
5,4672,1540,0.0795,-0.8251,0.5315,7.4117,-0.1246,0.3166,2926.1
5,4992,1560,0.2694,0.2217,0.4799,6.0222,-0.1473,0.3170,2959.9
6,320,1580,-0.2095,-0.0164,0.6237,6.6891,-0.2393,0.3171,2996.9
6,640,1600,-0.1704,-0.1186,0.3961,6.9677,-0.3370,0.3172,3030.7
6,960,1620,0.0997,-0.3749,0.5469,9.1182,-0.3701,0.3171,3065.7
6,1280,1640,0.4048,1.4570,0.3769,8.5525,-0.3658,0.3174,3100.6
6,1600,1660,-0.4146,-0.5222,0.5136,6.7554,-0.4927,0.3172,3134.4
6,1920,1680,0.1558,-0.4273,0.6716,6.6248,-0.1195,0.3171,3167.4
6,2240,1700,-0.0014,0.4358,0.8545,7.1814,-0.5357,0.3174,3201.8
6,2560,1720,0.2809,-0.1585,0.9283,6.7653,-0.3779,0.3172,3235.5
6,2880,1740,0.3598,-0.3312,0.5260,8.2501,-0.4935,0.3172,3269.8
6,3200,1760,-0.7428,-0.9342,0.3734,8.6358,-0.3591,0.3180,3305.2
6,3520,1780,0.1327,-1.7399,0.3829,9.9987,-0.3616,0.3178,3341.1
