epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
1,320,20,-0.1329,-1.7338,0.0633,4.5426,-0.4849,0.3156,23.0
1,640,40,-0.3647,-1.7261,0.0410,5.0702,-0.0897,0.3312,43.9
1,960,60,0.3689,0.4115,0.0688,5.3802,-0.1453,0.3323,65.0
1,1280,80,-0.1239,-0.2038,0.2170,5.6219,-0.5282,0.3289,85.9
1,1600,100,0.2223,0.0838,0.0553,3.1827,-0.3881,0.3319,107.2
1,1920,120,-0.2795,0.5356,0.0151,4.2875,-0.3440,0.3333,127.2
1,2240,140,-0.0802,0.0338,0.0707,5.1384,-0.4950,0.3339,147.9
1,2560,160,0.0704,-0.2191,0.4344,3.8610,-0.2541,0.3391,169.3
1,2880,180,0.2742,1.2270,0.3426,6.0080,-0.6257,0.3392,190.1
1,3200,200,-0.0130,0.2477,0.3222,4.6319,-0.4677,0.3397,211.6
1,3520,220,0.1266,-0.1774,0.3091,5.2681,-0.3567,0.3418,233.0
1,3840,240,0.0557,0.1104,0.2139,4.0417,-0.5014,0.3453,255.5
1,4160,260,0.0627,-0.1252,0.1413,5.8096,-0.3521,0.3440,276.1
1,4480,280,-0.0187,-0.0024,0.2906,4.2960,-0.1144,0.3462,297.5
1,4800,300,0.1162,1.0212,0.1695,3.6812,-0.2454,0.3496,317.6
2,128,320,0.1413,-0.7114,0.2775,7.0724,-0.7331,0.3506,339.3
2,448,340,-0.2176,-1.1603,0.2303,4.7758,0.0154,0.3524,364.7
2,768,360,-0.0101,0.1275,0.1675,3.9085,-0.7353,0.3504,388.2
2,1088,380,-0.2028,0.4273,0.1304,4.9333,-0.4970,0.3499,416.2
2,1408,400,-0.0868,-0.8626,0.1108,6.1683,-0.4712,0.3489,438.2
2,1728,420,0.1624,0.5446,0.1601,6.1988,-0.4771,0.3468,460.8
2,2048,440,0.1909,-0.1345,0.3180,5.0826,-0.2538,0.3465,484.4
2,2368,460,0.0692,-1.0309,0.1213,3.6942,-0.4690,0.3458,506.0
2,2688,480,0.0213,-1.5452,0.1552,4.4950,-0.3410,0.3477,528.3
2,3008,500,0.2586,-1.2260,0.1075,5.4964,0.2115,0.3465,550.0
2,3328,520,-0.1942,-0.5649,0.0779,5.3321,-0.3377,0.3464,573.3
2,3648,540,-0.1652,0.2135,0.0818,4.4695,0.1065,0.3475,598.6
2,3968,560,0.1724,-0.4770,0.1971,6.3652,-0.6196,0.3465,621.7
2,4288,580,-0.0139,-2.7873,0.1257,5.4726,-0.0660,0.3461,645.1
2,4608,600,0.2660,0.5999,0.0607,5.2053,0.2361,0.3468,670.7
2,4928,620,-0.0956,0.4953,0.1346,4.8544,-0.6140,0.3479,693.2
3,256,640,-0.1284,-0.2912,0.0806,6.3751,-0.0989,0.3478,716.6
3,576,660,0.1680,0.5014,0.0732,4.7261,0.1153,0.3486,738.8
3,896,680,0.2863,0.0940,0.1043,5.7256,-0.4682,0.3472,760.3
3,1216,700,-0.1628,-0.5897,0.1301,6.3119,-0.3637,0.3456,781.4
3,1536,720,-0.0176,0.7990,0.1604,5.8057,-0.6627,0.3446,803.8
3,1856,740,0.2342,0.3148,0.1020,5.0948,-0.5039,0.3435,824.3
3,2176,760,0.0398,-2.1548,0.4525,5.5648,0.2516,0.3429,845.5
3,2496,780,-0.2542,-0.9768,0.3726,5.7756,0.1751,0.3441,868.3
3,2816,800,0.1983,0.0590,0.1990,5.3970,-0.2415,0.3443,890.1
3,3136,820,0.2183,-1.3870,0.2652,5.9544,-0.3337,0.3449,912.9
3,3456,840,-0.2549,-1.5895,0.4333,7.7423,0.2923,0.3454,937.0
3,3776,860,0.2366,1.0414,0.5530,6.4140,-0.6068,0.3452,958.6
3,4096,880,0.1514,0.4466,0.4568,5.5824,-0.2653,0.3444,982.9
3,4416,900,0.0232,0.4514,0.2570,4.3483,-0.5233,0.3448,1005.8
3,4736,920,-0.0118,0.2419,0.1099,4.3322,-0.2477,0.3445,1027.4
4,64,940,0.1796,-0.0660,0.1493,7.2565,-0.2676,0.3455,1050.2
4,384,960,-0.1893,-0.6602,0.1472,5.4111,-0.2442,0.3455,1072.6
4,704,980,-0.0496,-0.4342,0.1849,6.2227,-0.4826,0.3449,1095.4
4,1024,1000,0.1652,-1.2547,0.1288,4.9508,-0.2322,0.3441,1118.6
4,1344,1020,-0.0990,-0.8704,0.1469,4.5536,-0.3595,0.3437,1142.5
4,1664,1040,-0.1932,0.1208,0.1827,4.6269,-0.6314,0.3435,1165.7
4,1984,1060,0.2273,-0.2568,0.1177,3.4238,-0.3872,0.3437,1188.6
4,2304,1080,-0.0550,-0.2994,0.6376,5.2241,-0.5095,0.3439,1210.8
4,2624,1100,0.2743,-0.2852,0.0923,4.9512,-0.3804,0.3436,1232.7
4,2944,1120,0.1297,-2.0051,0.0586,5.5852,-0.3509,0.3426,1255.2
4,3264,1140,0.0752,0.5850,0.1841,3.6699,-0.5358,0.3428,1278.6
4,3584,1160,-0.2431,-0.9124,0.2559,4.3610,-0.2460,0.3427,1302.7
4,3904,1180,0.1833,-0.0246,0.2500,4.7040,0.3680,0.3434,1329.4
4,4224,1200,0.0915,-0.6778,0.2006,5.3074,-0.2504,0.3430,1362.1
4,4544,1220,-0.0108,0.0804,0.1986,3.7854,0.2664,0.3439,1408.4
4,4864,1240,0.1060,-0.3308,0.0675,3.6730,-0.7306,0.3440,1434.2
5,192,1260,0.1281,-0.4563,0.2328,3.4394,0.0165,0.3449,1464.1
5,512,1280,0.3189,0.3408,0.3363,4.5738,-0.6557,0.3449,1489.7
5,832,1300,-0.0183,-1.0405,0.1114,4.0548,-0.1383,0.3450,1516.3
5,1152,1320,0.1196,-0.2670,0.1743,5.1647,0.1740,0.3450,1539.8
5,1472,1340,0.2619,-0.6249,0.1235,4.3600,-0.2339,0.3444,1561.2
5,1792,1360,0.2471,-0.9075,0.2277,7.3902,-0.6012,0.3439,1585.6
5,2112,1380,0.0359,-0.8747,0.1864,4.6108,0.0151,0.3434,1605.6
5,2432,1400,-0.0604,-1.6606,0.1978,6.6991,-0.4804,0.3433,1629.4
5,2752,1420,0.2050,-0.3325,0.1894,4.8028,-0.2830,0.3435,1654.7
5,3072,1440,-0.1007,0.8230,0.2325,4.9446,-0.4711,0.3432,1680.2
5,3392,1460,0.0808,0.3706,0.1386,4.0954,-0.1125,0.3433,1703.7
5,3712,1480,-0.0406,-0.0031,0.0785,4.4852,-0.3686,0.3440,1729.0
5,4032,1500,0.2833,-0.1082,0.0996,4.5306,-0.6770,0.3438,1755.4
5,4352,1520,-0.1456,-1.0225,0.1268,4.3354,-0.3475,0.3438,1781.9
5,4672,1540,0.1138,-2.1140,0.0913,6.6115,-0.2522,0.3438,1807.6
5,4992,1560,-0.1091,-1.3170,0.0986,3.9234,0.1361,0.3443,1833.0
6,320,1580,0.3224,-0.8353,0.1467,4.3538,0.1605,0.3442,1862.6
6,640,1600,-0.1230,-1.7462,0.3094,5.3415,-0.3578,0.3437,1886.8
6,960,1620,0.2663,0.8442,0.2483,8.5800,-0.6184,0.3430,1909.0
6,1280,1640,0.0576,1.5586,0.2082,3.4070,-1.0000,0.3426,1933.9
6,1600,1660,0.3076,-0.2831,0.4047,3.3406,-0.3502,0.3426,1957.2
6,1920,1680,-0.0338,0.1347,0.3047,3.4013,0.2613,0.3428,1980.3
6,2240,1700,0.1396,-1.3396,0.1975,4.5109,-0.2451,0.3429,2001.7
6,2560,1720,0.0680,-0.3012,0.1773,2.9129,-0.1788,0.3431,2024.9
6,2880,1740,0.1449,0.4260,0.1270,4.4289,-0.7486,0.3433,2048.9
6,3200,1760,-0.0061,-0.7814,0.2404,5.0067,0.0258,0.3437,2074.1
6,3520,1780,-0.1761,0.5969,0.1926,5.0356,-0.5188,0.3440,2098.9
6,3840,1800,0.1778,0.1401,0.1275,4.1650,-0.2687,0.3439,2122.2
6,4160,1820,0.1206,-0.1016,0.2835,6.0488,-0.2528,0.3441,2145.6
6,4480,1840,0.0595,-1.1901,0.2460,3.2021,0.0023,0.3445,2168.1
6,4800,1860,0.0744,-1.3953,0.2047,3.8435,-0.0847,0.3447,2195.8
7,128,1880,0.0701,-0.2184,0.1317,5.0119,-0.3780,0.3453,2225.3
7,448,1900,0.1930,-0.7351,0.0923,3.6013,-0.2487,0.3449,2255.8
7,768,1920,0.2040,-0.1938,0.2320,3.7401,-0.6123,0.3449,2284.3
