epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1755,0.3510,0.0239,-0.1948,0.1699,5.0087,-0.2955,329.8
2,5000,1732,0.3464,0.0193,-0.2032,0.1340,5.3343,-0.3050,368.3
3,5000,1694,0.3388,0.0480,-0.1740,0.2605,5.7809,-0.3203,347.5
4,5000,1714,0.3428,0.0330,-0.1839,0.1890,4.8960,-0.3140,400.0
5,5000,1714,0.3428,0.0821,-0.1473,0.1832,4.6781,-0.3122,388.2
6,5000,1743,0.3486,0.0957,-0.1267,0.2049,4.7224,-0.3002,378.2
7,5000,1705,0.3410,0.0796,-0.1486,0.1750,4.3969,-0.3157,396.3
8,5000,1738,0.3476,0.0631,-0.1805,0.2997,5.0333,-0.3024,427.0
9,5000,1729,0.3458,0.1317,-0.0904,0.2335,5.5759,-0.3059,447.7
10,5000,1750,0.3500,0.0320,-0.1914,0.2052,5.5821,-0.2978,479.2
11,5000,1719,0.3438,0.0602,-0.1674,0.2076,5.3944,-0.3101,451.9
12,5000,1695,0.3390,0.0161,-0.2063,0.1689,4.9862,-0.3216,463.1
13,5000,1724,0.3448,0.1061,-0.1202,0.2028,4.9693,-0.3080,463.9
14,5000,1764,0.3528,0.0672,-0.1629,0.2505,5.1694,-0.2920,447.4
15,5000,1679,0.3358,0.1194,-0.1070,0.2310,5.1710,-0.3262,459.2
16,5000,1716,0.3432,0.0400,-0.1794,0.1871,4.8507,-0.3111,444.8
17,5000,1708,0.3416,0.0468,-0.1741,0.1802,5.4410,-0.3142,473.0
18,5000,1701,0.3402,0.0381,-0.1850,0.2477,6.0128,-0.3192,438.0
19,5000,1716,0.3432,0.1143,-0.1063,0.2248,5.6020,-0.3112,444.9
20,5000,1728,0.3456,0.0823,-0.1517,0.2932,4.9529,-0.3064,6450.9
21,5000,1659,0.3318,0.0953,-0.1318,0.2133,4.9337,-0.3361,474.8
22,5000,1733,0.3466,0.0666,-0.1607,0.1649,4.7677,-0.3062,510.7
23,5000,1738,0.3476,0.0803,-0.1635,0.3405,5.1411,-0.3025,543.6
24,5000,1732,0.3464,0.1030,-0.1218,0.2089,4.6372,-0.3048,555.2
25,5000,1677,0.3354,0.1117,-0.1339,0.2894,4.0151,-0.3270,550.0
26,5000,1722,0.3444,0.1415,-0.0970,0.2173,3.8993,-0.3109,540.2
27,5000,1685,0.3370,0.1265,-0.1022,0.2097,4.0738,-0.3239,542.3
28,5000,1698,0.3396,0.0892,-0.1352,0.2029,4.7072,-0.3204,7095.5
29,5000,1709,0.3418,0.0153,-0.2214,0.2144,4.8748,-0.3142,506.1
30,5000,1664,0.3328,0.0763,-0.1484,0.1956,4.8818,-0.3321,514.2
