epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1762,0.3524,-0.0170,-0.2272,0.5029,0.1484,5.6112,-0.2927,0.0000,1.0000,0.0000,1948.7
2,5000,1791,0.3582,0.1055,-0.1062,0.5015,0.1601,5.5058,-0.2814,-0.0000,1.0000,0.0000,473.9
3,5000,1706,0.3412,0.0357,-0.1878,0.5037,0.2176,5.0112,-0.3155,-0.0000,1.0000,0.0000,576.2
4,5000,1739,0.3478,0.0184,-0.1941,0.4964,0.2253,5.8201,-0.3019,0.0000,1.0000,0.0000,661.4
5,5000,1747,0.3494,-0.0293,-0.2522,0.5058,0.3367,6.3720,-0.2987,0.0000,1.0000,0.0000,879.5
6,5000,1732,0.3464,0.0430,-0.1643,0.4937,0.1992,5.9498,-0.3048,-0.0000,1.0000,0.0000,925.7
7,5000,1728,0.3456,0.1181,-0.1006,0.5024,0.2308,5.5610,-0.3080,-0.0000,1.0000,0.0000,964.1
8,5000,1779,0.3558,0.0691,-0.1563,0.5102,0.2082,5.0543,-0.2858,-0.0000,1.0000,0.0000,456.8
9,5000,1725,0.3450,0.0633,-0.1605,0.5070,0.2767,5.7415,-0.3074,-0.0000,1.0000,0.0000,445.1
10,5000,1738,0.3476,0.0215,-0.2024,0.4925,0.3098,5.3269,-0.3024,0.0000,1.0000,0.0000,436.5
11,5000,1768,0.3536,0.0781,-0.1402,0.5040,0.2293,5.6598,-0.2903,0.0000,1.0000,0.0000,467.0
12,5000,1740,0.3480,-0.0174,-0.2249,0.4757,0.3064,6.1001,-0.3014,-0.0000,1.0000,0.0000,453.4
13,5000,1753,0.3506,0.0889,-0.1288,0.4878,0.2556,5.1824,-0.2961,-0.0000,1.0000,0.0000,523.4
14,5000,1727,0.3454,0.1362,-0.0854,0.4973,0.2276,4.9803,-0.3070,0.0000,1.0000,0.0000,589.2
15,5000,1761,0.3522,0.1147,-0.0961,0.4788,0.2622,5.4843,-0.2949,-0.0000,1.0000,0.0000,730.3
16,5000,1792,0.3584,0.0485,-0.1808,0.5052,0.2593,4.9262,-0.2829,0.0000,1.0000,0.0000,552.1
17,5000,1781,0.3562,0.0820,-0.1342,0.4780,0.2412,4.6987,-0.2851,-0.0000,1.0000,0.0000,579.4
18,5000,1799,0.3598,0.1314,-0.0988,0.5128,0.2403,5.0269,-0.2781,-0.0000,1.0000,0.0000,544.6
