epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1683,0.3366,-0.0549,-0.2627,0.1111,7.6502,-0.3242,582.2
2,5000,1684,0.3368,0.0161,-0.2083,0.1283,7.3703,-0.3244,471.7
3,5000,1690,0.3380,-0.0976,-0.3289,0.2451,6.7045,-0.3215,345.7
4,5000,1653,0.3306,-0.0490,-0.2533,0.1535,7.5965,-0.3366,365.3
5,5000,1703,0.3406,0.0670,-0.1569,0.2171,6.5607,-0.3164,506.2
6,5000,1686,0.3372,0.0045,-0.2204,0.2642,6.6792,-0.3232,527.3
7,5000,1660,0.3320,-0.0573,-0.2766,0.2538,7.3980,-0.3335,401.5
8,5000,1679,0.3358,0.0311,-0.1856,0.2240,6.8993,-0.3261,358.2
9,5000,1652,0.3304,0.0349,-0.1885,0.2081,6.7933,-0.3367,421.0
10,5000,1686,0.3372,-0.0248,-0.2383,0.1853,6.8251,-0.3228,414.4
