epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
1,320,20,-0.3182,-1.9758,0.0207,5.7437,0.0627,0.3312,26.5
1,640,40,-0.1765,-3.3536,0.0677,7.1129,0.0908,0.3219,50.7
1,960,60,-0.1171,2.8779,0.0552,9.0086,-0.2061,0.3344,77.0
1,1280,80,-0.2710,1.8322,0.0223,6.1544,-0.4096,0.3359,103.5
1,1600,100,-0.4397,-0.4908,0.0619,5.8356,-0.3830,0.3356,127.5
1,1920,120,-0.1098,-0.1988,0.0965,5.0396,0.0382,0.3365,152.3
1,2240,140,-0.2470,1.3415,0.0978,6.7102,-0.2593,0.3330,175.3
1,2560,160,-0.3370,-0.0411,0.3646,4.7964,-0.3383,0.3324,199.6
1,2880,180,-0.0109,1.1333,0.1643,7.1394,-0.3168,0.3326,224.6
1,3200,200,-0.7855,-2.2706,0.1120,7.1225,-0.2514,0.3319,248.6
1,3520,220,-0.2605,0.1980,0.1938,5.7772,-0.0485,0.3341,274.7
1,3840,240,0.8113,-1.2086,0.0911,8.4006,-0.2861,0.3357,300.0
1,4160,260,-0.5496,-2.0824,0.1580,9.4305,-0.0884,0.3377,324.1
1,4480,280,-0.3603,-1.3261,0.1965,5.2075,0.0678,0.3404,349.4
1,4800,300,0.0536,-0.5737,0.2584,5.9361,0.0651,0.3406,373.5
2,128,320,-0.3193,-1.3985,0.1013,8.3411,-0.1521,0.3434,399.9
2,448,340,0.4409,0.7605,0.1986,5.6235,-0.1720,0.3427,425.3
2,768,360,-0.3206,-0.3245,0.1110,5.1165,-0.2119,0.3408,452.1
2,1088,380,-0.0746,1.8095,0.0756,4.7957,-0.4223,0.3392,476.6
2,1408,400,-0.0582,1.3773,0.1047,6.8078,-0.2552,0.3385,501.6
2,1728,420,-0.8523,-0.8455,0.1195,7.0479,-0.1791,0.3387,526.9
2,2048,440,-0.1535,0.9691,0.3281,7.0263,-0.2777,0.3388,550.8
2,2368,460,-0.0906,0.8024,0.1310,5.3057,-0.2137,0.3388,575.4
2,2688,480,0.0629,-1.2377,0.1823,5.1582,0.1352,0.3407,601.1
