epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1753,0.3506,-0.1113,-0.1539,0.0955,6.0383,-0.1401,471.7
2,5000,1744,0.3488,-0.1252,-0.1686,0.1704,6.1838,-0.1496,439.2
3,5000,1766,0.3532,-0.0857,-0.1296,0.0849,5.9163,-0.1396,428.4
4,5000,1751,0.3502,-0.0822,-0.1297,0.1598,6.2539,-0.1409,463.5
5,5000,1742,0.3484,-0.2060,-0.2531,0.1538,6.0837,-0.1425,456.7
6,5000,1749,0.3498,-0.0189,-0.0783,0.2711,6.0187,-0.1414,407.6
7,5000,1749,0.3498,-0.1679,-0.2210,0.2058,6.0982,-0.1484,392.9
8,5000,1723,0.3446,-0.1184,-0.1733,0.1529,5.6257,-0.1539,399.1
9,5000,1718,0.3436,-0.1803,-0.2306,0.2117,6.3715,-0.1477,476.8
10,5000,1756,0.3512,0.0006,-0.0452,0.1796,6.1687,-0.1480,473.1
11,5000,1818,0.3636,-0.1126,-0.1575,0.1694,6.0642,-0.1353,506.5
12,5000,1738,0.3476,-0.1658,-0.2229,0.2625,6.3300,-0.1438,560.4
13,5000,1730,0.3460,-0.0567,-0.1008,0.1557,6.1883,-0.1454,509.7
14,5000,1752,0.3504,-0.1021,-0.1474,0.1623,6.0004,-0.1478,555.1
15,5000,1754,0.3508,-0.1696,-0.2092,0.1451,6.4844,-0.1405,831.8
16,5000,1768,0.3536,-0.1279,-0.1656,0.1377,6.3345,-0.1440,901.3
17,5000,1786,0.3572,-0.1078,-0.1475,0.1494,6.6341,-0.1342,758.4
18,5000,1744,0.3488,-0.0199,-0.0745,0.2316,5.9942,-0.1419,424.0
19,5000,1799,0.3598,-0.1071,-0.1593,0.1848,5.6880,-0.1385,313.7
20,5000,1747,0.3494,-0.0437,-0.0911,0.2067,6.3767,-0.1490,284.8
21,5000,1778,0.3556,-0.1763,-0.2299,0.1859,5.7363,-0.1355,289.5
22,5000,1820,0.3640,-0.0068,-0.0532,0.2017,6.5485,-0.1343,313.8
23,5000,1810,0.3620,-0.1005,-0.1472,0.1630,6.2881,-0.1353,443.7
24,5000,1750,0.3500,-0.1348,-0.1889,0.2573,6.3228,-0.1479,500.3
25,5000,1747,0.3494,-0.0040,-0.0650,0.1849,5.3083,-0.1485,480.2
26,5000,1760,0.3520,-0.0943,-0.1545,0.2513,5.8082,-0.1464,418.3
27,5000,1801,0.3602,-0.1221,-0.1788,0.2224,5.8843,-0.1314,418.7
28,5000,1829,0.3658,-0.1553,-0.2207,0.3156,5.6770,-0.1271,410.8
29,5000,1804,0.3608,-0.0138,-0.0725,0.2218,5.5430,-0.1315,432.4
30,5000,1716,0.3432,-0.0909,-0.1533,0.3114,6.1870,-0.1488,402.6
31,5000,1768,0.3536,-0.0921,-0.1439,0.1923,5.8210,-0.1394,429.7
32,5000,1767,0.3534,-0.0503,-0.0986,0.1868,5.7738,-0.1393,406.4
33,5000,1732,0.3464,-0.0654,-0.1245,0.1917,5.5100,-0.1457,464.0
34,5000,1773,0.3546,-0.1182,-0.1747,0.1850,5.8490,-0.1371,751.3
35,5000,1821,0.3642,-0.0112,-0.0641,0.2655,6.3893,-0.1335,594.0
36,5000,1772,0.3544,-0.1415,-0.1954,0.1652,5.7235,-0.1373,418.9
37,5000,1795,0.3590,-0.0738,-0.1352,0.2119,5.0693,-0.1314,506.8
38,5000,1810,0.3620,-0.0504,-0.1075,0.2607,6.2143,-0.1295,641.5
39,5000,1782,0.3564,-0.1246,-0.1831,0.2890,6.1990,-0.1348,576.4
40,5000,1779,0.3558,-0.0749,-0.1378,0.3542,6.2267,-0.1351,513.6
41,5000,1816,0.3632,-0.0116,-0.0657,0.2060,5.6936,-0.1278,642.3
42,5000,1732,0.3464,-0.1113,-0.1741,0.1634,4.6970,-0.1516,595.8
43,5000,1752,0.3504,-0.0846,-0.1303,0.1859,6.1745,-0.1411,556.1
44,5000,1762,0.3524,-0.0271,-0.0796,0.2210,6.0005,-0.1390,2617.3
45,5000,1747,0.3494,-0.0907,-0.1474,0.1802,5.3147,-0.1413,555.6
46,5000,1778,0.3556,-0.1480,-0.1970,0.1945,6.0807,-0.1355,668.8
47,5000,1721,0.3442,-0.0730,-0.1206,0.1391,5.6350,-0.1475,690.7
48,5000,1749,0.3498,-0.1672,-0.2135,0.1489,5.5756,-0.1494,696.6
49,5000,1790,0.3580,-0.0825,-0.1289,0.1984,6.2677,-0.1410,700.1
50,5000,1680,0.3360,-0.0708,-0.1267,0.2422,5.7654,-0.1617,712.0
