epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,-0.4420,-0.2688,0.1499,0.1068,4.9450,0.0925,-0.0000,1.0000,0.0000,0.3875,37.1
1,640,40,0.6963,-1.2423,0.0642,0.0599,6.5704,-0.0037,0.0000,1.0000,0.0000,0.3688,71.6
1,960,60,0.3116,1.8987,0.1029,0.0809,8.9762,-0.1649,-0.0000,1.0000,0.0000,0.3531,107.8
1,1280,80,-0.6465,-0.3870,0.2310,0.0269,5.8899,-0.1486,-0.0000,1.0000,0.0000,0.3570,143.3
1,1600,100,0.1429,1.3428,0.2462,0.1784,5.8908,-0.1174,0.0000,1.0000,0.0000,0.3575,179.3
1,1920,120,-0.7274,0.0031,0.1959,0.0548,4.3266,0.1531,-0.0000,1.0000,0.0000,0.3563,212.3
1,2240,140,0.0156,-0.8524,0.1459,0.7395,4.9121,-0.0068,-0.0000,1.0000,0.0000,0.3540,245.1
1,2560,160,-0.2431,0.8414,0.2491,0.4322,4.2396,-0.2317,0.0000,1.0000,0.0000,0.3563,281.4
1,2880,180,-0.3778,-1.8224,0.1975,0.9065,7.5928,-0.0769,-0.0000,1.0000,0.0000,0.3580,318.6
1,3200,200,-0.2909,-0.0514,0.4043,0.0635,5.8892,-0.2292,0.0000,1.0000,0.0000,0.3569,353.9
1,3520,220,-0.9622,-0.1549,0.3060,0.0716,5.0986,-0.1142,0.0000,1.0000,0.0000,0.3611,391.0
1,3840,240,1.0229,0.7331,0.1061,0.0895,8.0271,-0.2123,-0.0000,1.0000,0.0000,0.3599,427.8
1,4160,260,-0.0945,-1.5883,0.2071,0.1879,7.7120,0.0028,-0.0000,1.0000,0.0000,0.3591,1869.6
1,4480,280,-0.4234,-0.9370,0.1296,0.1305,3.9349,0.2260,0.0000,1.0000,0.0000,0.3600,1899.1
1,4800,300,0.2646,0.3909,0.2800,0.0314,4.3522,-0.2099,0.0000,1.0000,0.0000,0.3615,1924.2
2,128,320,-0.2639,-2.8959,0.0850,0.1861,7.8746,-0.0583,0.0000,1.0000,0.0000,0.3639,1949.2
2,448,340,1.1579,0.6074,0.2575,0.5263,5.5650,0.0436,-0.0000,1.0000,0.0000,0.3623,1973.3
2,768,360,-0.1967,0.6675,0.2487,0.3345,3.9967,-0.2692,0.0000,1.0000,0.0000,0.3599,1998.3
2,1088,380,-0.7351,-1.0257,0.1118,0.2489,5.4084,-0.2376,0.0000,1.0000,0.0000,0.3601,2026.4
2,1408,400,0.3062,2.0921,0.1778,0.0602,7.2015,-0.2054,-0.0000,1.0000,0.0000,0.3586,2055.9
2,1728,420,-0.2104,2.0656,0.1953,0.0776,6.2222,-0.1296,0.0000,1.0000,0.0000,0.3582,2091.1
2,2048,440,-0.2616,0.2963,0.1151,0.1144,4.7470,-0.1174,0.0000,1.0000,0.0000,0.3578,2124.0
2,2368,460,0.2607,1.0564,0.2559,0.2839,5.2899,-0.2289,0.0000,1.0000,0.0000,0.3574,2152.8
2,2688,480,-0.4044,-0.9451,0.2928,0.1620,4.7146,0.0412,0.0000,1.0000,0.0000,0.3577,2185.3
2,3008,500,0.0266,0.4286,0.1168,0.2024,5.9796,-0.0190,-0.0000,1.0000,0.0000,0.3556,2214.0
2,3328,520,-0.0859,0.7923,0.2420,0.2435,4.3271,-0.1092,0.0000,1.0000,0.0000,0.3546,2242.6
2,3648,540,-0.5080,-0.5798,0.2283,0.1382,5.4315,-0.1900,0.0000,1.0000,0.0000,0.3575,2273.6
2,3968,560,0.0488,1.8239,0.2724,0.1756,7.3554,-0.2955,0.0000,1.0000,0.0000,0.3581,2302.9
2,4288,580,0.5323,-4.2328,0.3107,0.0766,7.5989,-0.0387,-0.0000,1.0000,0.0000,0.3580,2335.6
2,4608,600,-1.3527,0.1866,0.1725,0.2153,6.3789,0.1862,0.0000,1.0000,0.0000,0.3594,2364.5
2,4928,620,0.7969,1.7406,0.1762,0.4540,5.5585,-0.1746,0.0000,1.0000,0.0000,0.3592,2392.1
3,256,640,0.1494,2.2993,0.0391,0.1218,7.7464,0.1255,0.0000,1.0000,0.0000,0.3591,2422.6
3,576,660,0.6140,1.2466,0.1334,0.0396,7.5623,-0.0822,0.0000,1.0000,0.0000,0.3594,2457.6
3,896,680,-0.9527,-3.7583,0.1064,0.3075,8.0705,0.0044,0.0000,1.0000,0.0000,0.3584,2487.6
3,1216,700,-0.7316,-1.7280,0.1830,0.3376,9.2503,-0.0812,0.0000,1.0000,0.0000,0.3575,2518.9
3,1536,720,0.4464,-0.1606,0.1780,0.5646,6.1398,-0.0935,-0.0000,1.0000,0.0000,0.3569,2554.3
3,1856,740,0.1931,-2.0594,0.2152,0.1118,7.3638,-0.1798,-0.0000,1.0000,0.0000,0.3566,2583.0
3,2176,760,0.2340,1.1217,0.1627,0.1373,5.5037,-0.0563,0.0000,1.0000,0.0000,0.3566,2630.4
3,2496,780,-0.3337,-1.1230,0.3379,0.3261,7.0489,0.0708,0.0000,1.0000,0.0000,0.3556,2665.4
3,2816,800,-0.0183,0.0214,0.2169,0.3226,5.1121,-0.1769,-0.0000,1.0000,0.0000,0.3559,2697.6
3,3136,820,0.5519,-0.5059,0.2007,0.4070,9.5563,-0.1703,-0.0000,1.0000,0.0000,0.3557,2747.1
3,3456,840,-0.5273,-0.3679,0.3693,1.1460,6.5067,0.0265,-0.0000,1.0000,0.0000,0.3566,2779.1
3,3776,860,0.7921,0.6613,0.1176,0.4493,4.8442,-0.2385,-0.0000,1.0000,0.0000,0.3560,2810.0
3,4096,880,-0.0829,1.1851,0.1860,0.2584,5.1554,-0.1197,-0.0000,1.0000,0.0000,0.3557,2843.1
3,4416,900,0.1068,0.1374,0.1548,0.5362,5.9673,-0.2807,0.0000,1.0000,0.0000,0.3554,2878.7
3,4736,920,-0.2285,0.4435,0.0899,0.4593,4.6296,-0.0990,0.0000,1.0000,0.0000,0.3556,2912.4
4,64,940,0.3534,-1.6764,0.1052,0.1388,8.6155,-0.2014,0.0000,1.0000,0.0000,0.3559,2954.4
4,384,960,-0.3873,-0.3385,0.2124,0.2519,4.5840,-0.1462,0.0000,1.0000,0.0000,0.3555,3004.3
4,704,980,-0.0707,1.9988,0.2545,0.5379,7.0835,-0.2743,-0.0000,1.0000,0.0000,0.3546,3055.2
4,1024,1000,-0.8383,-0.3104,0.1933,0.1993,6.0141,-0.1474,-0.0000,1.0000,0.0000,0.3549,3102.6
