epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1811,0.3622,-0.0906,-0.1313,0.1841,0.1562,6.7004,-0.1277,0.0000,1.0000,0.0000,1939.0
2,5000,1786,0.3572,-0.0891,-0.1355,0.1780,0.2033,6.2928,-0.1338,0.0000,1.0000,0.0000,459.8
3,5000,1743,0.3486,0.0550,-0.0025,0.1840,0.3077,6.5338,-0.1415,0.0000,1.0000,0.0000,544.5
4,5000,1758,0.3516,-0.0763,-0.1284,0.1834,0.2475,6.4372,-0.1397,0.0000,1.0000,0.0000,667.9
5,5000,1748,0.3496,-0.0500,-0.1006,0.1744,0.2488,6.1526,-0.1482,0.0000,1.0000,0.0000,854.0
6,5000,1809,0.3618,-0.1457,-0.1953,0.1826,0.2318,6.4867,-0.1285,0.0000,1.0000,0.0000,902.2
7,5000,1779,0.3558,-0.0356,-0.0785,0.1787,0.2275,6.9259,-0.1426,0.0000,1.0000,0.0000,995.4
8,5000,1765,0.3530,-0.0208,-0.0691,0.1855,0.2713,7.1620,-0.1386,0.0000,1.0000,0.0000,440.7
9,5000,1807,0.3614,-0.0871,-0.1341,0.1785,0.2024,6.2462,-0.1293,0.0000,1.0000,0.0000,445.2
10,5000,1785,0.3570,-0.0095,-0.0607,0.1826,0.2157,6.1696,-0.1331,-0.0000,1.0000,0.0000,435.1
11,5000,1726,0.3452,-0.1020,-0.1440,0.1781,0.1767,6.4677,-0.1526,0.0000,1.0000,0.0000,444.8
12,5000,1789,0.3578,-0.1200,-0.1651,0.1766,0.2253,6.5713,-0.1325,-0.0000,1.0000,0.0000,449.9
13,5000,1775,0.3550,-0.0827,-0.1226,0.1758,0.2016,6.8158,-0.1362,-0.0000,1.0000,0.0000,495.4
14,5000,1765,0.3530,-0.0463,-0.0919,0.1818,0.2298,6.8228,-0.1443,0.0000,1.0000,0.0000,566.4
15,5000,1823,0.3646,-0.0988,-0.1358,0.1720,0.2082,6.9826,-0.1330,0.0000,1.0000,0.0000,739.4
16,5000,1781,0.3562,-0.0464,-0.1022,0.1802,0.2793,6.2241,-0.1416,-0.0000,1.0000,0.0000,539.7
17,5000,1822,0.3644,-0.0648,-0.1293,0.1806,0.3477,6.0621,-0.1266,-0.0000,1.0000,0.0000,547.9
18,5000,1779,0.3558,-0.0893,-0.1430,0.1789,0.2796,6.3733,-0.1363,-0.0000,1.0000,0.0000,524.8
19,5000,1799,0.3598,-0.0021,-0.0527,0.1769,0.3124,6.9143,-0.1308,-0.0000,1.0000,0.0000,535.2
20,5000,1792,0.3584,-0.0079,-0.0605,0.1794,0.2488,6.2022,-0.1321,-0.0000,1.0000,0.0000,557.5
21,5000,1802,0.3604,-0.1867,-0.2307,0.1795,0.2238,6.8119,-0.1301,0.0000,1.0000,0.0000,634.1
22,5000,1826,0.3652,-0.0399,-0.0940,0.1850,0.2619,6.4669,-0.1328,0.0000,1.0000,0.0000,602.0
23,5000,1757,0.3514,-0.1056,-0.1591,0.1834,0.2716,6.5455,-0.1465,0.0000,1.0000,0.0000,669.6
24,5000,1793,0.3586,-0.0040,-0.0480,0.1856,0.2059,6.9451,-0.1322,0.0000,1.0000,0.0000,683.5
25,5000,1807,0.3614,-0.0205,-0.0705,0.1708,0.2329,5.8732,-0.1368,-0.0000,1.0000,0.0000,529.3
26,5000,1712,0.3424,-0.0697,-0.1219,0.1805,0.2470,6.2794,-0.1554,0.0000,1.0000,0.0000,498.0
27,5000,1805,0.3610,-0.0154,-0.0651,0.1731,0.2669,6.3519,-0.1376,0.0000,1.0000,0.0000,516.5
28,5000,1849,0.3698,-0.1816,-0.2305,0.1800,0.2450,6.5557,-0.1210,-0.0000,1.0000,0.0000,541.8
29,5000,1821,0.3642,-0.0835,-0.1372,0.1742,0.2905,6.2394,-0.1334,-0.0000,1.0000,0.0000,12854.1
30,5000,1791,0.3582,-0.0864,-0.1378,0.1827,0.2057,6.0533,-0.1329,0.0000,1.0000,0.0000,440.7
31,5000,1770,0.3540,-0.0424,-0.0864,0.1757,0.2108,6.4867,-0.1364,0.0000,1.0000,0.0000,506.2
32,5000,1812,0.3624,-0.1244,-0.1761,0.1830,0.2444,6.4193,-0.1278,0.0000,1.0000,0.0000,559.7
33,5000,1781,0.3562,-0.1209,-0.1710,0.1800,0.2769,6.7657,-0.1418,0.0000,1.0000,0.0000,586.8
34,5000,1835,0.3670,0.0446,-0.0095,0.1813,0.2664,6.3168,-0.1253,0.0000,1.0000,0.0000,658.2
35,5000,1835,0.3670,-0.0605,-0.1044,0.1723,0.2531,6.7575,-0.1300,-0.0000,1.0000,0.0000,591.1
36,5000,1781,0.3562,-0.0603,-0.1006,0.1726,0.1915,6.5188,-0.1423,-0.0000,1.0000,0.0000,598.8
37,5000,1820,0.3640,-0.0494,-0.0952,0.1747,0.2379,6.5341,-0.1275,0.0000,1.0000,0.0000,596.5
38,5000,1745,0.3490,-0.0764,-0.1232,0.1786,0.2180,6.4281,-0.1419,0.0000,1.0000,0.0000,602.8
39,5000,1802,0.3604,-0.1166,-0.1667,0.1809,0.2702,6.7302,-0.1376,-0.0000,1.0000,0.0000,619.5
40,5000,1769,0.3538,-0.0287,-0.0752,0.1790,0.2264,6.5587,-0.1373,0.0000,1.0000,0.0000,576.6
