epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
1,320,20,0.4324,-0.4056,0.0206,5.7185,-0.1204,0.3438,28.4
1,640,40,-0.6212,-1.1919,0.0412,6.3494,0.0560,0.3297,53.6
1,960,60,0.3067,-0.6569,0.0714,8.8887,-0.1436,0.3250,81.2
1,1280,80,-0.5649,0.9433,0.2176,7.5300,-0.2936,0.3125,107.0
1,1600,100,-0.2809,-0.3594,0.1380,5.9894,-0.2901,0.3100,133.4
1,1920,120,-0.7710,-0.7965,0.0864,5.8073,0.1296,0.3156,158.7
1,2240,140,-0.2098,-1.2602,0.1067,7.5828,-0.1246,0.3156,182.7
1,2560,160,-0.2208,-0.2076,0.1099,6.3206,-0.3328,0.3215,209.6
1,2880,180,-0.3055,0.5890,0.1400,7.6533,-0.2800,0.3215,235.8
1,3200,200,-0.3021,-0.7137,0.0958,5.4187,-0.1949,0.3256,262.5
1,3520,220,-0.8170,-1.9389,0.1601,7.8580,-0.0761,0.3273,288.3
1,3840,240,0.0242,0.4026,0.1008,6.7818,-0.1458,0.3294,318.3
1,4160,260,-0.2538,-0.4298,0.2147,7.6996,-0.0865,0.3305,344.2
1,4480,280,0.0987,-0.4044,0.1495,4.9344,0.2132,0.3348,372.9
1,4800,300,-0.0726,0.2434,0.2037,5.4324,-0.2275,0.3352,397.5
2,128,320,0.0555,-1.2672,0.1841,7.8852,-0.1819,0.3376,425.0
2,448,340,-0.2427,-1.5957,0.0789,5.9467,-0.0012,0.3372,449.5
2,768,360,-0.3304,-0.2274,0.0870,5.7880,-0.1812,0.3362,475.0
2,1088,380,0.0284,0.5887,0.0771,5.8200,-0.2115,0.3352,501.7
2,1408,400,-0.4475,0.2659,0.0937,7.3697,-0.2687,0.3355,527.3
2,1728,420,-0.5407,0.0676,0.0937,6.4272,-0.0638,0.3346,552.9
2,2048,440,-0.0288,0.3867,0.1474,5.9346,-0.2532,0.3357,578.1
2,2368,460,-0.3728,0.9164,0.1738,6.6442,-0.1747,0.3367,603.5
2,2688,480,-0.2339,-1.7048,0.1427,6.4997,-0.0501,0.3371,630.2
2,3008,500,0.6359,0.6370,0.0660,6.8980,-0.0156,0.3354,655.6
2,3328,520,-0.1289,-0.1751,0.0801,5.7316,0.0193,0.3372,682.9
2,3648,540,-0.5534,-0.8203,0.0933,5.0016,-0.3189,0.3379,708.8
2,3968,560,-0.0898,-0.3677,0.0530,6.7731,-0.3130,0.3373,736.3
2,4288,580,0.0588,-2.0511,0.0960,6.7778,-0.0335,0.3368,762.0
2,4608,600,-0.7303,-1.3753,0.0867,5.9818,-0.0050,0.3389,789.1
2,4928,620,-0.0638,-0.6398,0.2292,7.5844,-0.1126,0.3384,813.4
3,256,640,-0.6043,-1.9971,0.1720,8.4188,0.0476,0.3389,838.6
3,576,660,-0.4154,-0.1546,0.1811,7.6849,-0.0426,0.3385,862.8
3,896,680,-0.3990,-2.1142,0.2239,8.3194,-0.0185,0.3386,888.1
3,1216,700,-0.3295,-0.8735,0.1929,10.6668,-0.2421,0.3388,913.5
3,1536,720,-0.1162,-0.5083,0.2472,8.5903,-0.3461,0.3381,936.8
3,1856,740,0.2322,0.7717,0.2096,7.5074,-0.4157,0.3376,961.8
3,2176,760,-0.1610,-3.1464,0.1970,6.1025,0.2706,0.3384,985.0
3,2496,780,-0.3403,-2.1862,0.3005,8.6327,0.1386,0.3387,1011.0
3,2816,800,-0.3396,0.7864,0.1602,6.1767,-0.3144,0.3375,1038.2
3,3136,820,0.0802,0.2964,0.1099,6.7438,-0.3053,0.3367,1063.5
3,3456,840,-0.7063,-2.0339,0.1439,7.1637,0.1182,0.3362,1088.8
3,3776,860,-0.4903,0.0486,0.1592,8.6936,-0.3680,0.3372,1113.5
3,4096,880,0.0313,-0.1922,0.2951,6.9445,-0.1505,0.3375,1138.6
3,4416,900,-0.3051,-0.9660,0.2334,6.6897,-0.1155,0.3377,1164.4
3,4736,920,-0.3664,-0.3208,0.0894,4.8911,-0.0649,0.3373,1188.1
4,64,940,0.3833,1.4549,0.1854,7.6620,-0.2686,0.3390,1213.6
4,384,960,0.1283,-0.4058,0.2509,5.4244,-0.0430,0.3392,1238.1
4,704,980,0.2766,0.0235,0.0957,5.3830,-0.1071,0.3385,1265.1
4,1024,1000,-0.3081,-0.1664,0.2879,6.2459,-0.2767,0.3384,1290.3
4,1344,1020,-0.2457,-0.1374,0.1137,4.5926,-0.1752,0.3377,1316.2
4,1664,1040,-0.3716,-0.0435,0.2108,5.8965,-0.2774,0.3375,1341.5
4,1984,1060,-0.4286,-0.0833,0.1551,5.2489,0.0387,0.3386,1366.6
4,2304,1080,0.2502,0.1871,0.0814,7.3155,-0.1765,0.3383,1391.6
4,2624,1100,-0.4567,0.3056,0.1166,6.6420,-0.1662,0.3392,1416.9
4,2944,1120,-0.2017,-0.9109,0.1000,8.4863,-0.1054,0.3388,1441.9
4,3264,1140,0.1129,-1.8112,0.0824,5.9777,-0.1962,0.3394,1468.9
4,3584,1160,-0.5896,-0.8081,0.0704,6.8257,-0.1907,0.3394,1494.7
4,3904,1180,0.0595,-0.8704,0.1076,5.1338,0.1442,0.3399,1520.5
4,4224,1200,0.0528,-1.1653,0.0669,8.4085,-0.0966,0.3389,1545.3
4,4544,1220,-0.8312,-1.6601,0.0917,6.0373,0.1270,0.3390,1571.0
4,4864,1240,0.2728,0.9040,0.0787,6.3908,-0.3932,0.3390,1594.0
5,192,1260,-0.3294,-0.2443,0.2120,6.2502,-0.0357,0.3396,1618.3
5,512,1280,0.0739,-1.3911,0.1097,8.1353,-0.2766,0.3392,1642.1
5,832,1300,0.0720,-0.1328,0.0910,7.0096,-0.0949,0.3387,1666.5
5,1152,1320,-0.4312,0.2307,0.0796,5.4837,-0.1132,0.3379,1690.6
5,1472,1340,-0.2151,-0.5210,0.1738,7.3198,-0.1817,0.3375,1714.8
5,1792,1360,0.0403,2.2731,0.1752,8.5687,-0.4074,0.3373,1739.6
5,2112,1380,-0.3393,-3.6962,0.2141,9.1930,0.1095,0.3370,1761.6
5,2432,1400,-0.5322,0.8788,0.2020,10.0421,-0.3952,0.3369,1788.4
5,2752,1420,-0.5548,-1.1658,0.1020,7.6299,-0.1552,0.3372,1815.0
5,3072,1440,0.2266,1.2289,0.1246,8.0617,-0.1993,0.3372,1840.0
5,3392,1460,-0.6710,-0.9753,0.1564,6.1749,-0.0757,0.3371,1866.1
5,3712,1480,-0.1264,-0.7142,0.1012,7.1799,-0.1734,0.3381,1891.7
5,4032,1500,0.3294,0.8337,0.1093,6.6606,-0.3815,0.3377,1915.8
5,4352,1520,-0.0791,-0.0288,0.0710,4.6668,0.0220,0.3380,1942.1
5,4672,1540,-0.2064,0.4167,0.0740,8.2925,-0.2574,0.3384,1966.6
5,4992,1560,-0.1017,-0.7940,0.1306,5.5512,-0.0261,0.3384,1990.2
6,320,1580,-0.2309,-0.6742,0.1076,5.7836,0.1491,0.3383,2016.4
6,640,1600,0.2558,0.4732,0.1019,6.1924,-0.1261,0.3381,2041.0
6,960,1620,-0.3434,0.2899,0.1075,5.4250,-0.1954,0.3383,2065.7
6,1280,1640,-0.0724,1.5325,0.2130,4.4820,-0.3162,0.3381,2089.1
6,1600,1660,-0.1567,0.4682,0.1589,5.1953,-0.2938,0.3374,2113.2
6,1920,1680,-1.0950,-0.6102,0.2363,4.8819,0.1434,0.3378,2137.5
6,2240,1700,-0.2249,-0.0941,0.1070,6.4581,-0.1761,0.3377,2161.1
6,2560,1720,-0.1979,0.1032,0.1848,5.8759,-0.1909,0.3376,2185.8
6,2880,1740,-0.0881,0.7560,0.0998,7.4384,-0.3019,0.3374,2210.9
6,3200,1760,0.6283,-0.0395,0.1663,6.6598,-0.0300,0.3374,2236.2
6,3520,1780,-0.8401,-0.8768,0.2211,5.7273,-0.0963,0.3376,2264.2
6,3840,1800,-0.1499,0.4981,0.3268,8.1811,-0.3511,0.3372,2293.0
6,4160,1820,0.0457,-1.9745,0.1399,6.3836,-0.1103,0.3372,2320.2
6,4480,1840,0.3303,0.0506,0.2099,4.5526,-0.0461,0.3372,2346.7
6,4800,1860,-0.4267,-1.0819,0.3632,5.3902,-0.0538,0.3374,2373.1
7,128,1880,-0.2971,0.2618,0.2792,7.3663,-0.3474,0.3378,2399.7
7,448,1900,-0.3563,0.1921,0.3147,5.6423,-0.0726,0.3382,2425.4
7,768,1920,-0.1986,-0.9817,0.2357,4.3977,-0.0617,0.3379,2451.4
7,1088,1940,-0.3456,-0.5047,0.3035,4.4649,-0.2844,0.3376,2479.4
7,1408,1960,-0.0423,1.7695,0.1411,6.6728,-0.4024,0.3375,2505.6
7,1728,1980,-0.2179,-0.2143,0.1095,4.5705,-0.1221,0.3376,2535.0
7,2048,2000,-0.0964,0.5994,0.1671,5.0785,-0.1808,0.3376,2560.8
7,2368,2020,-0.0649,0.2744,0.2192,4.8993,-0.0722,0.3378,2588.3
7,2688,2040,-0.3394,-0.8897,0.1283,5.8013,0.2581,0.3382,2616.8
7,3008,2060,-0.1426,-0.6484,0.1392,5.4912,0.0359,0.3379,2644.3
7,3328,2080,-0.2446,-0.6310,0.1895,4.5322,-0.3221,0.3378,2672.6
7,3648,2100,-0.4578,-0.0815,0.1415,5.2905,-0.2478,0.3380,2700.5
7,3968,2120,-0.1241,0.3116,0.1963,5.9209,-0.1640,0.3379,2729.7
7,4288,2140,-0.0824,-0.9461,0.1617,5.8820,-0.2145,0.3379,2760.0
7,4608,2160,-0.4939,-0.2684,0.3223,5.3528,0.3467,0.3383,2788.5
7,4928,2180,-0.1284,-0.3689,0.1734,6.2200,-0.1866,0.3384,2816.0
8,256,2200,-0.5865,-1.1021,0.1052,6.5552,-0.1499,0.3389,2846.9
8,576,2220,-0.3466,-1.4686,0.1249,7.2189,-0.0827,0.3390,2875.7
8,896,2240,-0.0040,-0.9067,0.2271,7.1889,0.0220,0.3388,2904.5
8,1216,2260,0.0010,-1.3386,0.1948,6.3613,-0.2214,0.3384,2932.6
8,1536,2280,-0.2058,0.4160,0.4405,5.7506,0.0043,0.3383,2963.1
8,1856,2300,-0.2324,-0.3138,0.2253,5.9979,-0.3624,0.3379,2993.2
8,2176,2320,-0.0603,-0.6652,0.2828,4.4417,-0.1539,0.3377,3020.4
8,2496,2340,-0.4967,-1.3689,0.1913,5.0812,0.3859,0.3379,3049.8
8,2816,2360,-0.0398,-0.3224,0.1741,3.9014,-0.2158,0.3378,3081.5
8,3136,2380,-0.3584,1.5812,0.2282,6.3444,-0.3427,0.3383,3113.1
8,3456,2400,0.1812,0.2740,0.3267,5.7230,0.2824,0.3383,3145.8
8,3776,2420,-0.0491,0.4190,0.2043,6.8905,-0.4004,0.3382,3177.7
8,4096,2440,-0.6882,-0.3524,0.2415,5.7720,-0.0989,0.3379,3207.8
8,4416,2460,-0.2510,0.8959,0.1948,6.1284,-0.2197,0.3379,3239.0
8,4736,2480,-0.2215,0.2917,0.3302,4.7357,-0.1067,0.3381,3268.7
9,64,2500,0.0147,0.0630,0.1465,6.5471,-0.1443,0.3383,3298.3
9,384,2520,0.0619,0.8156,0.1160,5.1365,-0.2907,0.3382,3330.1
9,704,2540,-0.1036,-0.6786,0.2478,7.4761,-0.0987,0.3379,3359.2
9,1024,2560,-0.1673,-0.4708,0.0973,6.2432,-0.1202,0.3381,3391.3
9,1344,2580,0.0373,1.1072,0.1247,4.6184,-0.2529,0.3379,3420.8
9,1664,2600,-0.7392,0.0452,0.1831,5.2509,-0.2659,0.3379,3451.7
9,1984,2620,0.2343,-0.2697,0.2371,5.0977,0.0222,0.3381,3480.3
9,2304,2640,0.1281,-0.2055,0.1115,5.5958,-0.2948,0.3380,3508.9
9,2624,2660,-0.0627,-1.0165,0.1156,6.8231,-0.0823,0.3379,3541.1
9,2944,2680,0.1568,-0.7068,0.3069,7.3294,-0.1287,0.3378,3571.6
9,3264,2700,-0.2106,-0.6644,0.1444,5.9528,-0.2007,0.3382,3602.4
9,3584,2720,-0.5345,-1.2471,0.3058,5.8413,-0.1463,0.3382,3635.2
9,3904,2740,-0.1405,-0.5374,0.1873,5.1011,-0.0904,0.3383,3667.0
9,4224,2760,0.0683,1.5575,0.1466,8.1520,-0.2377,0.3381,3698.0
9,4544,2780,-0.9999,0.6119,0.2359,5.4004,-0.1525,0.3385,3731.0
9,4864,2800,0.0568,0.2436,0.1308,8.4216,-0.3283,0.3386,3761.6
10,192,2820,-0.4555,-1.3111,0.2195,7.0959,0.1213,0.3388,3791.0
10,512,2840,0.5769,0.6921,0.1902,9.2505,-0.3133,0.3388,3820.8
10,832,2860,-0.2183,-1.9964,0.1213,6.4379,0.0720,0.3385,3851.3
10,1152,2880,-0.5587,-0.9663,0.2716,5.3806,0.1653,0.3385,3884.1
10,1472,2900,-0.0306,-1.3443,0.2440,6.3388,-0.0930,0.3384,3915.2
10,1792,2920,-0.4716,1.6032,0.1270,6.9959,-0.4404,0.3384,3946.4
10,2112,2940,-0.2094,-2.2368,0.2251,6.1284,0.0948,0.3384,3976.4
10,2432,2960,-0.1992,-1.9364,0.1471,8.1360,-0.2928,0.3386,4007.9
10,2752,2980,-0.2879,0.4620,0.1977,6.7724,-0.3599,0.3385,4040.7
10,3072,3000,-0.0426,0.4756,0.2935,7.9998,-0.1270,0.3384,4071.9
10,3392,3020,-0.2212,-0.4778,0.2433,4.8161,-0.0291,0.3383,4104.7
10,3712,3040,-0.4965,0.2782,0.2137,6.3032,-0.2896,0.3387,4137.4
10,4032,3060,-0.0050,2.5811,0.1831,6.6388,-0.3604,0.3386,4168.4
10,4352,3080,-0.2805,-0.3742,0.1826,5.9134,-0.2769,0.3386,4200.8
10,4672,3100,-0.1302,0.2574,0.1833,8.3816,-0.1389,0.3388,4231.8
10,4992,3120,0.6319,-0.0155,0.2488,4.7119,0.0344,0.3389,4260.6
