epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1683,0.3366,-0.2147,-0.2544,0.1031,6.9744,-0.1548,413.5
2,5000,1708,0.3416,-0.2097,-0.2467,0.1094,6.6056,-0.1500,405.5
3,5000,1694,0.3388,-0.2541,-0.2919,0.1909,7.3933,-0.1544,389.2
4,5000,1707,0.3414,-0.1373,-0.1814,0.1363,6.2814,-0.1506,395.8
5,5000,1670,0.3340,-0.1786,-0.2157,0.1440,7.0090,-0.1579,386.6
6,5000,1673,0.3346,-0.1752,-0.2178,0.1841,6.5139,-0.1575,397.9
7,5000,1721,0.3442,-0.2273,-0.2836,0.1886,5.6656,-0.1535,434.0
8,5000,1673,0.3346,-0.2148,-0.2736,0.2358,5.6697,-0.1631,469.4
9,5000,1717,0.3434,-0.1489,-0.2001,0.1897,6.1368,-0.1488,481.6
10,5000,1702,0.3404,-0.1411,-0.1847,0.2251,6.9175,-0.1518,487.6
