episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-0.9107,-3.7159,0.0182,35.6519,-0.2080,0.2969,205.4
640,40,-0.4302,2.8618,0.0211,29.4197,-0.3628,0.2609,384.9
960,60,-2.4815,-5.6642,0.0300,35.4492,-0.3617,0.2677,581.2
1280,80,-2.0526,-0.4992,0.0677,26.0727,-0.4187,0.2586,773.8
1600,100,-2.5029,-2.8235,0.0539,30.5691,-0.7689,0.2544,982.3
1920,120,-0.4244,-2.4831,0.0341,25.8640,-0.4807,0.2531,1129.0
2240,140,-0.3544,-0.5228,0.0610,32.2207,-0.4749,0.2522,1279.4
2560,160,-2.9932,-3.3240,0.0599,32.7759,-0.5170,0.2484,1433.9
2880,180,-1.8119,2.2659,0.1255,33.2925,-0.3158,0.2535,1597.2
3200,200,0.0193,5.0368,0.1187,33.2658,-0.5755,0.2500,1727.2
3520,220,-0.3081,-3.9384,0.0992,27.8238,-0.6073,0.2491,1870.3
3840,240,-2.6143,-5.5297,0.3033,37.1746,-0.3866,0.2552,2031.4
4160,260,-1.8283,-3.4787,0.3614,38.6611,-0.4724,0.2572,2171.8
4480,280,-1.8262,-1.3173,0.3319,30.8166,-0.0240,0.2618,2311.7
4800,300,0.3487,-8.1557,0.6781,46.1869,-0.2899,0.2633,2452.2
