episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-0.1790,-0.3764,0.0174,10.3207,-0.3744,0.2156,138.8
640,40,-0.5929,0.8815,0.0354,10.0208,-0.8680,0.1969,275.7
960,60,-0.6247,-0.5431,0.0305,10.4364,-0.6132,0.1958,410.7
1280,80,-0.2382,-0.9764,0.0380,9.2030,-0.7490,0.1961,562.2
1600,100,-0.4383,-0.4104,0.0522,9.1759,-0.8649,0.1956,715.0
1920,120,-0.3772,-0.0322,0.0365,8.8015,-0.6372,0.1984,870.0
2240,140,-0.3028,-0.1769,0.0331,9.2608,-0.4730,0.1951,1017.5
2560,160,-0.0473,-1.1617,0.0513,10.7747,-0.6335,0.1930,1162.8
2880,180,-0.3645,-0.1322,0.0532,8.8659,-0.6299,0.1934,1312.1
3200,200,-0.1570,1.4208,0.0796,9.7207,-0.6431,0.1928,1457.9
3520,220,-0.0236,-0.8354,0.0898,7.3788,-0.2164,0.1932,1622.6
3840,240,-0.0768,-0.6456,0.1058,9.2140,-0.2616,0.1930,1766.5
4160,260,0.0574,0.2929,0.1569,8.7960,-0.6285,0.1947,1904.4
4480,280,-0.1904,0.2824,0.1387,6.4172,-0.6308,0.1938,2038.6
4800,300,-0.1987,-0.1891,0.1342,8.9548,-0.7619,0.1946,3765.8
