episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.4504,-1.3351,0.0286,14.9102,-0.7338,0.0875,557.8
640,40,-1.6991,-1.4230,0.0182,15.2796,-0.8719,0.0906,1065.5
960,60,-1.5006,-0.1620,0.2611,17.3962,-1.0000,0.0906,1599.0
1280,80,-1.0459,1.8506,0.2593,17.1125,-1.0000,0.0844,2027.9
1600,100,-0.4064,0.4974,0.0812,15.6342,-1.0000,0.0819,2472.4
1920,120,-0.7625,2.7912,0.0957,14.5843,-1.0000,0.0813,3074.8
2240,140,-1.0749,-0.8645,0.1033,15.3308,-0.8667,0.0826,3846.7
2560,160,-0.8581,-0.3049,0.0610,15.9017,-0.8937,0.0813,4460.4
2880,180,-0.6544,2.5127,0.1597,13.3997,-1.0000,0.0809,5358.8
3200,200,0.1003,-0.2574,0.1113,13.4305,-0.7926,0.0806,5895.2
3520,220,0.0171,-2.8797,0.1855,10.0952,-0.7394,0.0781,6495.7
3840,240,0.0366,0.9683,0.1947,12.4354,-1.0000,0.0794,7256.1
4160,260,0.1669,-1.4108,0.1671,12.1129,-0.7407,0.0791,7886.7
4480,280,-0.1029,-1.2835,0.1541,10.9467,-0.7395,0.0786,8552.8
4800,300,0.7586,-0.6674,0.1003,15.2495,-0.9025,0.0762,9334.4
5120,320,0.3043,1.9334,0.1152,12.4476,-1.0000,0.0752,10034.9
5440,340,-0.7496,3.7621,0.0924,12.3570,-1.0000,0.0772,10928.8
5760,360,0.0627,-0.1604,0.0823,15.0669,-0.8620,0.0771,11636.9
6080,380,0.1488,3.7179,0.0940,13.8069,-1.0000,0.0766,12434.6
6400,400,-0.1166,-0.2757,0.1479,11.6640,-0.7539,0.0777,13207.8
6720,420,0.1320,4.6785,0.1824,13.1771,-1.0000,0.0786,14042.6
7040,440,0.1218,-1.1622,0.1805,12.2498,-0.8663,0.0788,14756.0
7360,460,0.8218,1.1574,0.0776,15.8465,-1.0000,0.0779,15374.7
7680,480,0.3944,-0.4062,0.0585,13.9902,-0.8689,0.0776,16130.6
8000,500,0.2833,4.6758,0.2716,16.7035,-1.0000,0.0776,16866.5
8320,520,-0.7601,-0.4783,0.4396,17.1482,-0.8788,0.0776,17497.0
8640,540,-0.8713,-0.1159,0.3461,17.5878,-0.8033,0.0787,18243.9
8960,560,-0.3632,-1.1048,0.1083,15.5539,-0.8630,0.0788,18952.2
9280,580,0.3631,-0.7541,0.0592,14.4983,-0.7438,0.0778,19709.0
9600,600,-0.0820,-0.4400,0.0628,14.3799,-0.8003,0.0788,20433.4
9920,620,0.6024,0.0062,0.0671,14.2222,-0.7315,0.0781,21146.0
