timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss
1777964057.4668632,0.457503,-8.113756,-0.261504,-0.986072,-6.866179
1777964065.122448,0.485992,-6.073897,-0.185127,-0.639912,-5.248858
1777964070.467107,0.547004,-16.522545,-0.533607,-1.650858,-14.338079
1777964076.4202938,0.525356,-7.231636,-0.226787,-0.735964,-6.268886
1777964082.3562438,0.510933,-8.191628,-0.260080,-1.005445,-6.926103
1777964088.673451,0.509185,-7.573977,-0.237749,-0.897066,-6.439161
1777964096.1987991,0.512235,-11.925016,-0.369330,-1.144484,-10.411201
1777964100.568256,0.593028,-11.623454,-0.360576,-1.094625,-10.168253
1777964107.899382,0.502514,-10.081919,-0.328114,-1.140533,-8.613272
1777964112.2937589,0.579017,-11.165145,-0.326828,-1.103175,-9.735142
1777964120.827862,0.504469,-9.047892,-0.277792,-1.007457,-7.762643
1777964125.4161,0.523315,-8.089969,-0.254574,-0.792991,-7.042404
1777964129.20437,0.612960,-11.001273,-0.339182,-1.096455,-9.565637
1777964135.305744,0.521037,-10.418517,-0.324940,-1.052746,-9.040832
1777964139.439618,0.581972,-7.903326,-0.235474,-0.716559,-6.951293
1777964144.015095,0.551715,-8.935282,-0.271300,-0.666624,-7.997358
1777964149.517984,0.552147,-9.999635,-0.318971,-0.975737,-8.704927
1777964155.9046662,0.482762,-6.432003,-0.201768,-0.640090,-5.590145
1777964160.528746,0.591808,-9.959846,-0.294927,-0.801834,-8.863085
1777964167.566656,0.543458,-14.382652,-0.448190,-1.637833,-12.296629
1777964173.8758368,0.508439,-9.272957,-0.282966,-1.027989,-7.962002
1777964181.447941,0.521515,-13.935465,-0.425286,-1.528492,-11.981687
1777964189.538032,0.520895,-12.846087,-0.403758,-1.819219,-10.623110
1777964195.29934,0.555125,-10.300730,-0.319362,-1.105572,-8.875795
1777964199.4422379,0.545564,-6.691646,-0.212179,-0.719326,-5.760142
1777964207.9479291,0.461380,-7.525148,-0.234471,-0.825113,-6.465564
1777964212.980417,0.559701,-12.377031,-0.384353,-1.358220,-10.634459
1777964217.383552,0.588872,-11.505035,-0.344032,-1.137762,-10.023241
1777964222.712256,0.565468,-9.803822,-0.302434,-1.126886,-8.374501
1777964227.955286,0.561098,-11.519767,-0.350867,-1.393191,-9.775708
1777964234.196099,0.548354,-10.223781,-0.321859,-1.128404,-8.773518
1777964238.850276,0.565411,-10.653213,-0.320469,-0.854348,-9.478395
1777964245.836267,0.501023,-6.367499,-0.198154,-0.643738,-5.525608
1777964250.758095,0.584734,-13.075901,-0.393443,-1.326469,-11.355989
1777964259.1839502,0.467255,-8.102741,-0.255796,-0.968967,-6.877977
1777964267.122636,0.464928,-7.353772,-0.233613,-0.881263,-6.238896
1777964274.047234,0.554354,-12.056315,-0.364935,-1.514933,-10.176448
1777964279.972961,0.541647,-12.078178,-0.365863,-1.300575,-10.411739
1777964285.313477,0.498812,-3.447555,-0.112683,-0.363621,-2.971251
1777964291.4691808,0.511076,-10.001056,-0.306790,-1.129131,-8.565135
1777964299.118079,0.513253,-9.396813,-0.286223,-0.999533,-8.111057
1777964305.105263,0.544345,-12.150401,-0.364151,-1.152036,-10.634214
1777964310.365619,0.554645,-12.591904,-0.398932,-1.238893,-10.954079
1777964315.718774,0.563490,-12.821563,-0.388996,-1.404004,-11.028563
1777964321.6250508,0.535609,-11.690761,-0.358357,-1.242713,-10.089691
1777964327.130673,0.541431,-10.404366,-0.318391,-1.057092,-9.028884
1777964332.280056,0.501354,-3.793876,-0.122176,-0.396895,-3.274805
1777964339.359134,0.512706,-8.597145,-0.276031,-1.013142,-7.307972
1777964346.736537,0.551170,-20.052814,-0.610335,-2.436162,-17.006317
1777964350.848395,0.558488,-9.407356,-0.279329,-0.702356,-8.425671
1777964358.651098,0.512116,-14.236544,-0.453067,-1.553679,-12.229797
1777964364.831779,0.534468,-11.967826,-0.371546,-1.306979,-10.289301
1777964371.4908822,0.533148,-17.801804,-0.550571,-1.752923,-15.498310
1777964379.289483,0.474605,-4.029456,-0.121158,-0.571688,-3.336610
1777964386.4328792,0.561226,-16.947632,-0.509631,-1.803630,-14.634371
1777964391.666816,0.525963,-5.460618,-0.168894,-0.718327,-4.573396
1777964399.543661,0.494403,-12.411817,-0.385465,-1.308987,-10.717364
1777964403.491439,0.558950,-8.467329,-0.264801,-0.837143,-7.365385
1777964410.183413,0.470820,-6.542063,-0.209934,-0.787734,-5.544395
1777964416.042188,0.533510,-12.485824,-0.381701,-1.251810,-10.852313
1777964421.996232,0.580154,-15.443749,-0.459694,-1.544527,-13.439528
1777964426.857644,0.538910,-8.840866,-0.272210,-0.980332,-7.588324
1777964435.272044,0.494589,-8.556263,-0.273477,-1.185223,-7.097562
1777964441.053408,0.504478,-7.230608,-0.232352,-0.820067,-6.178188
1777964449.587182,0.501018,-8.173891,-0.260529,-1.091775,-6.821588
1777964454.9318762,0.559097,-10.119154,-0.312909,-0.903427,-8.902819
1777964460.0966961,0.533621,-6.333692,-0.206038,-0.948091,-5.179563
1777964466.022354,0.558394,-11.596906,-0.360099,-1.171562,-10.065245
1777964473.0126479,0.528284,-11.101106,-0.337017,-1.275669,-9.488420
1777964479.5486279,0.533592,-13.429610,-0.422323,-1.163141,-11.844146
1777964484.714902,0.530058,-7.938547,-0.260659,-0.638652,-7.039236
1777964489.9920158,0.516113,-4.308475,-0.130836,-0.368296,-3.809343
1777964497.20827,0.519624,-11.197041,-0.338276,-1.358156,-9.500608
1777964504.22643,0.480429,-5.714646,-0.182235,-0.531766,-5.000646
1777964511.376399,0.493278,-10.024647,-0.328980,-1.372814,-8.322852
1777964517.4678771,0.542789,-8.463181,-0.270383,-0.831579,-7.361218
1777964524.81427,0.544309,-12.364479,-0.381183,-1.329627,-10.653669
1777964530.689707,0.530389,-9.458087,-0.291111,-0.887051,-8.279925
1777964536.224703,0.548805,-10.507027,-0.322941,-0.725402,-9.458684
1777964541.373025,0.538238,-8.131986,-0.248946,-0.835647,-7.047392
1777964548.9060092,0.488867,-7.768557,-0.242130,-1.003371,-6.523056
1777964555.06447,0.570102,-11.537824,-0.354950,-1.314325,-9.868549
1777964558.331189,0.567567,-7.054402,-0.207098,-0.575676,-6.271627
1777964563.361846,0.509090,-7.315377,-0.236225,-0.783946,-6.295206
1777964567.573129,0.562882,-5.997834,-0.183158,-0.607906,-5.206769
1777964571.358277,0.593058,-11.105850,-0.323287,-0.975144,-9.807419
1777964575.262418,0.553639,-5.452672,-0.168189,-0.543916,-4.740567
1777964581.890202,0.509184,-9.331735,-0.297360,-1.177252,-7.857123
1777964586.841683,0.527171,-6.792317,-0.211239,-0.647036,-5.934042
1777964591.322305,0.570040,-8.900338,-0.277761,-1.084080,-7.538497
1777964596.65812,0.501773,-6.936891,-0.210837,-0.726189,-5.999866
1777964601.628148,0.542423,-9.118890,-0.273092,-0.764858,-8.080939
1777964607.0203211,0.565148,-14.595559,-0.449270,-1.406613,-12.739676
1777964611.7359622,0.546938,-8.382056,-0.257395,-0.841537,-7.283125
1777964619.676045,0.473904,-6.827088,-0.217834,-0.846545,-5.762709
1777964625.942152,0.510149,-7.445679,-0.245084,-0.809078,-6.391517
1777964632.687071,0.511905,-11.345083,-0.356894,-1.344390,-9.643800
1777964639.419232,0.535083,-15.199623,-0.469096,-1.465466,-13.265062
1777964646.063978,0.517791,-14.251702,-0.444460,-1.475470,-12.331772
1777964652.726876,0.512714,-10.267399,-0.320323,-1.172665,-8.774410
1777964655.49612,0.629171,-8.209929,-0.243054,-0.622861,-7.344015
1777964661.155932,0.550015,-8.952890,-0.278192,-0.889159,-7.785539
1777964666.773448,0.533303,-7.690708,-0.235334,-0.727856,-6.727519
1777964672.568165,0.501591,-5.458744,-0.179967,-0.617248,-4.661529
1777964676.906219,0.552928,-5.729568,-0.167976,-0.422985,-5.138607
1777964682.527668,0.515134,-5.603729,-0.171523,-0.580875,-4.851332
1777964691.0323992,0.474009,-5.445406,-0.170980,-0.757293,-4.517134
1777964700.66436,0.479814,-11.802631,-0.371629,-1.576827,-9.854175
1777964706.294097,0.511870,-9.101088,-0.282748,-0.735158,-8.083181
1777964713.883945,0.496576,-9.988638,-0.324224,-1.216910,-8.447504
1777964720.5890932,0.524996,-7.438189,-0.246101,-0.883666,-6.308422
1777964726.695056,0.545807,-11.576692,-0.362543,-1.206128,-10.008020
1777964730.273281,0.585808,-9.395106,-0.285268,-0.893012,-8.216826
1777964735.7924201,0.500689,-5.368170,-0.161425,-0.753047,-4.453698
1777964742.082721,0.497950,-6.583606,-0.206297,-0.837766,-5.539543
1777964748.8431401,0.512880,-10.084229,-0.315013,-1.326517,-8.442698
1777964756.1819541,0.498057,-8.362453,-0.258878,-0.948456,-7.155120
1777964763.346102,0.524478,-13.472449,-0.420624,-1.544379,-11.507447
