timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss
1778073487.734878,0.684336,-1.149510,-0.114668,-0.319311,-0.715531
1778073488.646805,0.694384,-1.463694,-0.170325,-0.578353,-0.715016
1778073489.579649,0.654677,-0.000000,-0.001688,-0.083626,0.085314
1778073490.484878,0.714757,-1.344865,-0.130029,-0.388218,-0.826618
1778073491.554731,0.674562,-1.062170,-0.106113,-0.425014,-0.531044
1778073492.836758,0.722026,-2.894254,-0.286551,-0.938366,-1.669336
1778073493.809462,0.706302,-1.089286,-0.125781,-0.379578,-0.583928
1778073494.808258,0.675082,-1.461047,-0.163602,-0.453808,-0.843637
1778073496.018188,0.668956,-0.840622,-0.082604,-0.237362,-0.520656
1778073497.2269309,0.694488,0.014823,0.000321,-0.083481,0.097983
1778073497.937709,0.702325,-0.505685,-0.048585,-0.192517,-0.264583
1778073498.9303029,0.696411,-1.810886,-0.187398,-0.576259,-1.047229
1778073500.934964,0.650574,-1.093784,-0.112659,-0.445372,-0.535753
1778073502.012804,0.687569,-0.405114,-0.046180,-0.106298,-0.252637
1778073502.5319989,0.689811,0.067383,0.004885,-0.002607,0.065106
1778073503.199971,0.707971,-2.210000,-0.258631,-0.853144,-1.098224
1778073504.789614,0.714224,-1.951605,-0.208487,-0.813662,-0.929456
1778073506.386915,0.686344,-1.125627,-0.120746,-0.347160,-0.657721
1778073507.61235,0.690549,-0.552864,-0.048726,-0.311498,-0.192640
1778073509.0527968,0.674948,-1.065374,-0.104716,-0.466372,-0.494285
1778073509.69454,0.676312,-0.495008,-0.045695,-0.208165,-0.241148
1778073510.6214778,0.696269,-0.834458,-0.086658,-0.254985,-0.492815
1778073511.746558,0.684182,-0.989170,-0.108748,-0.328479,-0.551943
1778073512.8531651,0.707109,-1.366184,-0.137634,-0.520534,-0.708017
1778073513.864724,0.678735,-1.534049,-0.147375,-0.547035,-0.839639
1778073514.792337,0.674732,-0.381213,-0.029087,-0.209301,-0.142824
1778073515.794553,0.694282,-2.304872,-0.243062,-0.742120,-1.319689
1778073517.538676,0.672672,-1.240756,-0.112688,-0.516201,-0.611867
1778073518.543802,0.704123,-2.420159,-0.233395,-0.891017,-1.295748
1778073519.559365,0.706820,-2.757526,-0.311263,-0.983848,-1.462416
1778073520.384724,0.701163,-2.047256,-0.227897,-0.675725,-1.143634
1778073521.273143,0.678921,-0.493272,-0.052508,-0.225447,-0.215317
1778073522.83702,0.686242,-0.816434,-0.084694,-0.343038,-0.388701
1778073523.5946019,0.703561,-1.536117,-0.167123,-0.661607,-0.707388
1778073524.7021189,0.682311,-1.227391,-0.090307,-0.504124,-0.632960
1778073525.2846138,0.693450,-0.819086,-0.089996,-0.324083,-0.405008
1778073526.047227,0.667933,-0.783955,-0.081906,-0.287335,-0.414714
1778073526.742841,0.690410,-0.854237,-0.083822,-0.355283,-0.415132
1778073528.282944,0.702666,-1.777706,-0.162510,-0.641861,-0.973336
1778073529.3751009,0.691510,-0.990391,-0.099232,-0.442352,-0.448807
1778073529.8513,0.709145,-1.460750,-0.154973,-0.568188,-0.737589
1778073530.579254,0.701280,-1.134441,-0.129642,-0.421714,-0.583085
1778073531.454963,0.665293,-0.673352,-0.061154,-0.211742,-0.400456
1778073532.083169,0.704946,-0.846740,-0.093406,-0.368838,-0.384496
1778073532.752623,0.684512,0.014053,-0.000873,-0.016831,0.031757
1778073533.514954,0.703369,-1.204807,-0.127368,-0.508781,-0.568658
1778073534.271755,0.689852,-0.270276,-0.017263,-0.101873,-0.151139
1778073535.055103,0.690000,-0.082178,-0.003383,-0.060919,-0.017876
1778073535.5160499,0.722952,-1.223335,-0.143989,-0.470936,-0.608410
1778073536.50976,0.698309,-1.874381,-0.187477,-0.720391,-0.966513
1778073537.145536,0.646667,0.280320,0.037807,0.048166,0.194347
1778073537.8097222,0.686341,-0.990887,-0.108118,-0.399787,-0.482982
1778073538.615915,0.674210,-1.071136,-0.105020,-0.392265,-0.573852
1778073539.1512582,0.736515,-2.536892,-0.297390,-0.910106,-1.329396
1778073539.971236,0.639702,0.039966,0.002181,0.064823,-0.027037
1778073540.5919418,0.678224,-0.467103,-0.043725,-0.122228,-0.301151
1778073541.0541928,0.708767,-1.551221,-0.177513,-0.547303,-0.826404
1778073542.135037,0.698516,-1.210994,-0.123649,-0.435569,-0.651777
1778073543.003278,0.690328,-0.995673,-0.101475,-0.226338,-0.667859
1778073543.54032,0.715240,-0.245887,-0.016734,-0.003238,-0.225914
1778073544.3975282,0.715900,-1.458770,-0.145537,-0.464451,-0.848782
1778073545.349206,0.691546,-0.792610,-0.101481,-0.396496,-0.294633
1778073546.338241,0.667920,-1.069555,-0.110181,-0.541581,-0.417793
