timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std
1778590548.162116,0.488067,0.079580,0.423359,0.597471,1.964829,0.228492,0.024809,3.466546,0.118763
1778590571.43518,0.497951,0.074744,0.409282,0.596922,1.910878,0.218921,0.043791,3.471694,0.113407
1778590596.025501,0.497327,0.065730,0.409028,0.601897,1.835613,0.200531,0.063844,3.453527,0.113242
1778590619.2410722,0.503090,0.061795,0.379543,0.532263,1.769795,0.193008,0.080689,3.470908,0.121728
1778590644.668309,0.491768,2.524097,0.354457,0.506728,1.614792,0.165668,0.100321,3.471371,0.112400
1778590667.304499,0.481010,2.406344,0.334791,0.478087,1.557909,0.140375,0.117931,3.462946,0.093190
1778590688.4753122,0.495313,2.184625,0.290788,0.415066,1.442577,0.141731,0.140330,3.467190,0.126363
1778590711.399043,0.487978,2.109184,0.287536,0.396903,1.400201,0.118077,0.158037,3.449472,0.096759
1778590735.118203,0.484768,1.934550,0.265420,0.386909,1.265223,0.103334,0.181093,3.466850,0.106264
1778590758.043274,0.491068,1.765065,0.237000,0.337267,1.177575,0.095608,0.204451,3.458184,0.116929
1778590786.8188028,0.458810,1.537441,0.226659,0.328168,0.987219,0.059837,0.226485,3.452475,0.077168
1778590809.852362,0.504436,1.524372,0.209382,0.278517,1.031386,0.079522,0.242870,3.467415,0.106215
1778590832.214793,0.509932,1.427463,0.193161,0.242331,0.987313,0.078818,0.259506,3.475080,0.127910
1778590863.95975,0.484177,1.091086,0.155347,0.203942,0.740335,0.052252,0.290170,3.466479,0.121841
1778590893.7729979,0.510479,1.138373,0.157677,0.202909,0.785389,0.054109,0.308273,3.465710,0.115891
1778590921.4188259,0.499526,0.848650,0.114581,0.131328,0.614856,0.044993,0.331317,3.461271,0.130245
1778590955.912935,0.474063,0.582495,0.082050,0.096002,0.425772,0.026428,0.353861,3.454249,0.110318
1778590981.944803,0.490812,0.573055,0.080167,0.080445,0.435718,0.022653,0.373020,3.460098,0.094433
1778591010.6781309,0.480895,0.344314,0.048511,0.044620,0.278083,0.015506,0.398750,3.465259,0.094324
1778591042.984364,0.474766,0.111222,0.013782,-0.004966,0.132275,0.009457,0.420310,3.459846,0.081207
1778591070.605043,0.497417,0.059241,0.004951,-0.026658,0.104635,0.021991,0.441668,3.468330,0.138500
1778591101.1203032,0.494344,-0.131451,-0.020797,-0.075164,-0.008426,0.014924,0.466933,3.452713,0.119991
1778591128.954665,0.484259,-0.230836,-0.034080,-0.075227,-0.092833,0.011747,0.484512,3.456918,0.109242
1778591161.0878232,0.469793,-0.429262,-0.062115,-0.123180,-0.213907,0.009100,0.498174,3.460999,0.091795
1778591184.934262,0.514297,-0.335256,-0.050446,-0.116044,-0.140931,0.013648,0.515960,3.465826,0.117737
1778591214.515779,0.489194,-0.791650,-0.118291,-0.232610,-0.415639,0.019050,0.538088,3.463569,0.130090
1778591240.558804,0.515113,-0.513615,-0.075744,-0.150689,-0.260589,0.016115,0.543254,3.465013,0.124764
1778591269.683035,0.490273,-0.820234,-0.119600,-0.223257,-0.451407,0.017217,0.561252,3.457874,0.111229
1778591295.281434,0.494403,-0.760282,-0.108778,-0.200588,-0.424499,0.016428,0.567949,3.463139,0.105803
1778591329.763205,0.484258,-0.872992,-0.127447,-0.234380,-0.485047,0.017042,0.567303,3.463911,0.101522
1778591360.470539,0.477639,-0.979262,-0.143462,-0.247112,-0.563465,0.018685,0.574800,3.456537,0.096908
1778591387.466274,0.504920,-0.795776,-0.111888,-0.235006,-0.422504,0.016647,0.571635,3.470101,0.111309
1778591418.784191,0.476622,-0.889956,-0.131362,-0.223206,-0.509417,0.017314,0.566292,3.462776,0.097060
1778591444.749161,0.489984,-0.800266,-0.116264,-0.214047,-0.444609,0.018560,0.562128,3.462586,0.116478
1778591470.998083,0.492442,-0.780929,-0.112387,-0.212773,-0.428801,0.015283,0.559081,3.460972,0.104948
1778591500.332345,0.491428,-0.690452,-0.101163,-0.180860,-0.381629,0.015535,0.552995,3.456742,0.109229
1778591532.212831,0.487458,-0.720139,-0.107760,-0.190215,-0.395717,0.016300,0.546885,3.459621,0.113889
1778591561.182886,0.481525,-0.650921,-0.093649,-0.177515,-0.351404,0.012420,0.535627,3.456298,0.098200
1778591589.7203689,0.490072,-0.573777,-0.085523,-0.160004,-0.301513,0.015859,0.527276,3.466578,0.121263
1778591619.333914,0.464513,-0.553475,-0.078346,-0.146099,-0.299381,0.009840,0.515766,3.456970,0.085603
1778591649.632457,0.481359,-0.449485,-0.065168,-0.132307,-0.222770,0.010626,0.506665,3.455267,0.100719
1778591681.831112,0.496745,-0.334065,-0.049505,-0.125002,-0.133637,0.017483,0.496757,3.466241,0.133269
1778591706.998917,0.497534,-0.175531,-0.028149,-0.064377,-0.054687,0.012595,0.484458,3.461552,0.112345
1778591741.0296052,0.467856,-0.374217,-0.056361,-0.112160,-0.176919,0.011618,0.483283,3.458567,0.107518
1778591769.206151,0.489859,-0.188980,-0.028034,-0.079633,-0.053005,0.012396,0.475274,3.450588,0.111251
1778591800.108944,0.506229,-0.057960,-0.011377,-0.052266,0.032420,0.015763,0.466624,3.461937,0.120083
1778591825.8662772,0.509004,-0.057601,-0.012469,-0.069998,0.051104,0.016770,0.463187,3.462387,0.122082
1778591851.188121,0.486973,-0.053990,-0.008041,-0.042634,0.026037,0.010440,0.460212,3.457256,0.099391
1778591888.043435,0.463384,-0.255619,-0.039276,-0.084658,-0.102426,0.010711,0.460358,3.461466,0.104267
1778591924.118741,0.471862,-0.244164,-0.038500,-0.081322,-0.094671,0.009988,0.465129,3.466578,0.100503
1778591948.5555682,0.502251,-0.030311,-0.008347,-0.054160,0.058052,0.017609,0.457482,3.466066,0.125905
1778591976.710463,0.491142,0.043569,0.007057,-0.013872,0.079331,0.011546,0.456542,3.471925,0.102532
1778592010.6522298,0.475171,-0.095023,-0.013261,-0.043296,-0.008239,0.008784,0.459157,3.461938,0.093074
1778592038.087874,0.489052,-0.035965,-0.004305,-0.038984,0.035978,0.011854,0.462416,3.458220,0.106404
1778592070.668749,0.469447,-0.153280,-0.021883,-0.059815,-0.040652,0.007350,0.459043,3.460508,0.085774
1778592098.0060182,0.489155,-0.042134,-0.006412,-0.048234,0.042163,0.009933,0.456933,3.461689,0.095057
1778592127.6076531,0.491345,-0.041156,-0.006083,-0.038779,0.033904,0.008805,0.463036,3.460077,0.090172
1778592159.268893,0.477419,-0.150613,-0.021334,-0.066390,-0.033116,0.009651,0.465304,3.459912,0.098261
1778592197.1814551,0.468088,-0.240648,-0.033965,-0.087267,-0.088866,0.008166,0.468214,3.463291,0.091078
1778592222.285181,0.501063,-0.037329,-0.007140,-0.045923,0.044246,0.012354,0.467501,3.468900,0.106797
1778592249.6551418,0.489986,-0.258751,-0.038522,-0.106501,-0.084713,0.011187,0.478005,3.460897,0.105921
1778592277.261811,0.506069,-0.079666,-0.015024,-0.057111,0.018966,0.016194,0.470722,3.459426,0.123212
1778592311.385227,0.477963,-0.192086,-0.027643,-0.062509,-0.070767,0.006911,0.476945,3.462177,0.083781
1778592334.1826,0.522358,-0.085333,-0.015234,-0.070029,0.025483,0.018205,0.487821,3.465472,0.131464
1778592364.9836318,0.479348,-0.310913,-0.046646,-0.097509,-0.137678,0.010986,0.486157,3.457314,0.105421
1778592390.7880352,0.503798,-0.129704,-0.018421,-0.063020,-0.019071,0.010755,0.488299,3.456973,0.103352
1778592418.443191,0.480601,-0.381974,-0.054931,-0.109749,-0.187809,0.010235,0.496986,3.460319,0.100622
1778592442.594677,0.502954,-0.153410,-0.020013,-0.067080,-0.036292,0.009396,0.493770,3.472374,0.097262
1778592475.2714372,0.470892,-0.483294,-0.070937,-0.132730,-0.249593,0.009034,0.503678,3.455109,0.089919
1778592502.8450089,0.484457,-0.346908,-0.049919,-0.113745,-0.153680,0.010237,0.496916,3.468168,0.101202
1778592532.868553,0.495900,-0.318502,-0.048154,-0.106504,-0.135884,0.013293,0.498496,3.460633,0.116179
1778592571.730193,0.497091,-0.343189,-0.052897,-0.121649,-0.141089,0.014450,0.496557,3.477787,0.121157
1778592617.5381088,0.488423,-0.371573,-0.055146,-0.119769,-0.167585,0.011137,0.501084,3.464120,0.105597
1778592662.5323389,0.485597,-0.370900,-0.054018,-0.114299,-0.174425,0.012815,0.503457,3.456545,0.112669
1778592704.498962,0.494815,-0.359521,-0.053308,-0.110280,-0.166064,0.009627,0.504850,3.468253,0.098372
1778592745.585185,0.492596,-0.349698,-0.051675,-0.114183,-0.155910,0.013477,0.502090,3.466779,0.116616
1778592775.952429,0.502672,-0.180418,-0.025426,-0.069141,-0.056356,0.010162,0.496071,3.457528,0.101387
1778592810.165111,0.498209,-0.241998,-0.032977,-0.093584,-0.086338,0.011150,0.498829,3.467434,0.106428
1778592848.369324,0.501452,-0.356859,-0.055449,-0.118819,-0.154209,0.012549,0.502872,3.465688,0.112901
1778592890.241855,0.506052,-0.321716,-0.051604,-0.110606,-0.132065,0.014462,0.498873,3.467178,0.120992
1778592929.82918,0.486374,-0.297942,-0.043540,-0.093507,-0.130610,0.008647,0.495077,3.460849,0.093313
1778592966.034081,0.482303,-0.417303,-0.060030,-0.126814,-0.201330,0.010796,0.503357,3.452729,0.102553
1778592999.017088,0.479131,-0.336740,-0.047897,-0.103570,-0.155098,0.008983,0.494500,3.466696,0.094263
1778593031.3076239,0.470967,-0.479800,-0.071156,-0.143829,-0.235415,0.010590,0.495362,3.469572,0.100765
1778593061.758188,0.488147,-0.238861,-0.034560,-0.083661,-0.090616,0.009354,0.488689,3.470139,0.097479
1778593093.638093,0.455105,-0.373896,-0.052540,-0.098611,-0.191339,0.006280,0.487609,3.454532,0.072842
1778593125.38702,0.484208,-0.218161,-0.030166,-0.075217,-0.082463,0.008549,0.484790,3.458897,0.093189
1778593150.9601831,0.496099,-0.180341,-0.025174,-0.067453,-0.057634,0.008958,0.488175,3.455793,0.095059
1778593176.56246,0.500788,-0.107805,-0.015277,-0.053430,-0.010498,0.012214,0.483708,3.470734,0.110052
1778593208.385449,0.493033,-0.227800,-0.033353,-0.089702,-0.075668,0.011090,0.483139,3.462182,0.105674
1778593252.2628,0.477498,-0.172088,-0.022837,-0.052908,-0.065145,0.006763,0.479821,3.458028,0.082853
1778593290.5445068,0.478422,-0.197016,-0.025923,-0.070255,-0.070661,0.008742,0.481798,3.454843,0.094177
1778593320.638035,0.482647,-0.184188,-0.026142,-0.066334,-0.061358,0.008281,0.477225,3.449433,0.091555
1778593345.8340569,0.491993,-0.179306,-0.026523,-0.065228,-0.057348,0.008726,0.482746,3.457015,0.093689
1778593372.4375942,0.504801,-0.063037,-0.010775,-0.052738,0.029441,0.011289,0.473340,3.460850,0.102285
1778593397.597284,0.518304,-0.077322,-0.016033,-0.065947,0.030245,0.018095,0.477885,3.463491,0.129316
1778595130.4409978,0.485001,-0.163613,-0.022933,-0.061873,-0.048364,0.008407,0.477342,3.464699,0.092092
1778595155.336962,0.508548,-0.072495,-0.012409,-0.050737,0.019312,0.011948,0.479007,3.463494,0.106069
1778595176.301582,0.493413,-0.096039,-0.011730,-0.046606,-0.007504,0.008618,0.481290,3.450741,0.092766
1778595198.3021178,0.492842,-0.109849,-0.014844,-0.047600,-0.016654,0.007982,0.479779,3.474231,0.089083
1778595221.773081,0.502496,-0.254468,-0.038049,-0.095514,-0.091494,0.010523,0.495620,3.467234,0.103162
1778595242.624544,0.481544,-0.305556,-0.044008,-0.090629,-0.139763,0.006960,0.492513,3.463657,0.083356
1778595265.6141498,0.505007,-0.264133,-0.040973,-0.096216,-0.099453,0.014337,0.495383,3.465997,0.120291
1778595292.803468,0.482365,-0.354051,-0.053157,-0.106589,-0.164582,0.009814,0.496172,3.462962,0.098877
1778595314.9096599,0.486946,-0.277239,-0.039191,-0.091347,-0.115850,0.007566,0.493352,3.463424,0.087432
1778595338.919938,0.488280,-0.400736,-0.058946,-0.112576,-0.201380,0.013417,0.508312,3.454186,0.114986
1778595363.063877,0.475205,-0.395234,-0.057204,-0.108731,-0.199590,0.009588,0.500931,3.450290,0.095224
1778595388.849108,0.494251,-0.404784,-0.060484,-0.128632,-0.187472,0.012548,0.506852,3.446929,0.112186
1778595414.572958,0.493386,-0.299161,-0.044376,-0.101510,-0.125206,0.013114,0.496525,3.462718,0.115380
1778595441.8660421,0.486322,-0.317076,-0.048700,-0.101337,-0.138295,0.012060,0.492018,3.477410,0.110537
1778595465.602859,0.482683,-0.416456,-0.061438,-0.117098,-0.208203,0.010031,0.505478,3.473237,0.098295
1778595489.663784,0.512472,-0.265048,-0.040919,-0.102129,-0.095729,0.016774,0.503795,3.465741,0.130244
1778595511.309571,0.501507,-0.145919,-0.021411,-0.065508,-0.030183,0.011738,0.487299,3.468584,0.108257
1778595532.3326,0.489874,-0.139872,-0.018288,-0.043807,-0.046156,0.006106,0.488805,3.467456,0.078753
1778595553.8163872,0.511474,-0.103133,-0.014370,-0.065051,0.004975,0.011982,0.487866,3.467778,0.107729
1778595580.6171148,0.462179,-0.463351,-0.065955,-0.126656,-0.240831,0.009285,0.498702,3.455110,0.089871
1778595607.060488,0.480284,-0.299030,-0.043178,-0.086342,-0.139513,0.008960,0.490789,3.447690,0.094815
1778595631.4784808,0.492140,-0.145175,-0.019058,-0.050684,-0.044162,0.006575,0.488124,3.455981,0.081629
1778595656.424751,0.478707,-0.275854,-0.037208,-0.091385,-0.117065,0.008926,0.491742,3.465832,0.094313
1778595687.524578,0.468698,-0.348672,-0.051898,-0.094771,-0.172037,0.009382,0.486694,3.465731,0.095926
1778595720.65571,0.463004,-0.457045,-0.067473,-0.140636,-0.219512,0.010325,0.488650,3.458619,0.099100
1778595744.193532,0.487462,-0.122526,-0.016570,-0.044050,-0.030610,0.006540,0.479400,3.456581,0.081102
1778595770.692041,0.489755,-0.211727,-0.031485,-0.080389,-0.072418,0.014146,0.482985,3.450830,0.119682
1778595793.203943,0.518874,0.001979,-0.001184,-0.038097,0.069846,0.012124,0.479339,3.464771,0.103580
1778595818.2259011,0.504892,-0.135452,-0.022098,-0.069451,-0.015478,0.012370,0.480756,3.461022,0.109427
1778595848.290014,0.480815,-0.196887,-0.026940,-0.068463,-0.071344,0.008695,0.481067,3.448830,0.093982
1778595867.747895,0.520840,0.093676,0.012780,-0.013814,0.122640,0.013370,0.478674,3.461401,0.108516
1778595893.07619,0.488566,-0.179859,-0.026129,-0.064262,-0.060262,0.010588,0.480680,3.449993,0.103405
1778595913.03263,0.522630,-0.034212,-0.006026,-0.040329,0.040258,0.013267,0.490375,3.474727,0.111448
1778595938.9499662,0.494124,-0.120535,-0.016066,-0.043503,-0.029732,0.006688,0.487756,3.457763,0.082176
1778595961.084667,0.514027,-0.109813,-0.017610,-0.052150,-0.011965,0.013300,0.491823,3.473846,0.114062
1778595986.758902,0.501618,-0.312190,-0.047782,-0.104265,-0.132047,0.013036,0.499847,3.461233,0.115062
1778596010.0251892,0.510882,-0.149102,-0.020075,-0.068152,-0.031214,0.009914,0.499546,3.461730,0.099705
1778596035.9198568,0.488448,-0.361858,-0.051945,-0.114557,-0.166509,0.011632,0.502918,3.466345,0.107723
1778596059.102357,0.506321,-0.295476,-0.041895,-0.108183,-0.115544,0.009473,0.507910,3.459002,0.098087
1778596082.719445,0.511965,-0.223042,-0.032682,-0.079870,-0.083682,0.015561,0.505382,3.458962,0.125555
1778596113.710612,0.479567,-0.469956,-0.067147,-0.133790,-0.239739,0.010733,0.513712,3.464582,0.098585
1778596140.477112,0.493628,-0.367453,-0.054348,-0.120760,-0.162259,0.009284,0.503430,3.472787,0.096611
1778596166.583304,0.502030,-0.375491,-0.055856,-0.113716,-0.176330,0.010055,0.515241,3.461582,0.100184
1778596193.822276,0.496334,-0.336652,-0.048889,-0.102075,-0.156445,0.010685,0.510229,3.458567,0.103240
1778596220.618578,0.485711,-0.426422,-0.060288,-0.128475,-0.207952,0.009748,0.511496,3.458112,0.096061
1778596246.450541,0.510267,-0.261533,-0.037159,-0.097112,-0.099689,0.014077,0.511212,3.461115,0.119579
1778596268.029928,0.483528,-0.283076,-0.035991,-0.076677,-0.139698,0.007899,0.505744,3.465958,0.086734
1778596290.703095,0.510518,-0.217921,-0.030651,-0.083225,-0.074896,0.010768,0.505460,3.453274,0.104464
1778596316.099333,0.500438,-0.217021,-0.030112,-0.079861,-0.079261,0.013577,0.500721,3.457650,0.117442
1778596340.5372329,0.512456,-0.168427,-0.024555,-0.062231,-0.052738,0.011592,0.502766,3.469964,0.108076
1778596364.496646,0.493031,-0.226819,-0.029780,-0.078781,-0.088090,0.008992,0.495454,3.466483,0.095544
1778596392.150789,0.483006,-0.274893,-0.039483,-0.082415,-0.122391,0.007969,0.491604,3.458735,0.089554
1778596421.0634549,0.486263,-0.307171,-0.043023,-0.100902,-0.132378,0.007338,0.496191,3.453734,0.085755
1778596448.497997,0.481143,-0.230105,-0.031067,-0.074771,-0.093282,0.007203,0.487721,3.458722,0.085284
1778596477.7778912,0.499311,-0.163463,-0.022150,-0.066537,-0.045634,0.010709,0.491306,3.449782,0.103988
1778596504.780908,0.489182,-0.189974,-0.027072,-0.068014,-0.064376,0.008393,0.484182,3.470795,0.092198
1778596527.844913,0.499663,-0.089857,-0.010853,-0.044498,-0.005458,0.011257,0.487902,3.467724,0.106279
