timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std
1778643830.725534,0.521852,0.096173,0.439333,0.601413,2.122234,0.261663,0.024200,3.465879,0.119283
1778643853.723985,0.485161,0.067039,0.421861,0.593454,1.914840,0.203211,0.043230,3.456620,0.089631
1778643874.895363,0.512647,0.072907,0.421867,0.617191,1.914892,0.215176,0.062248,3.468095,0.111857
1778643898.3095648,0.515624,0.067034,0.398042,0.562494,1.849833,0.203343,0.079534,3.463760,0.115663
1778643919.895217,0.529750,2.835631,0.388632,0.564822,1.815903,0.201581,0.099729,3.451732,0.130107
1778643944.826947,0.484967,2.429725,0.342424,0.493240,1.557814,0.141612,0.120257,3.455928,0.093460
1778643969.8001668,0.495581,2.328745,0.330538,0.463612,1.499441,0.139494,0.139658,3.459251,0.114089
1778643994.374215,0.511357,2.187794,0.307502,0.435681,1.409325,0.139881,0.160477,3.465452,0.130501
1778644016.9643,0.517755,2.131564,0.296105,0.398625,1.407608,0.127706,0.178279,3.462686,0.112518
1778644046.149976,0.499458,1.885222,0.272714,0.383934,1.211753,0.102743,0.203290,3.454991,0.123555
1778644068.6963232,0.521270,1.829578,0.255708,0.343302,1.212785,0.104972,0.222461,3.470324,0.126232
1778644090.858995,0.518148,1.602521,0.213772,0.296360,1.081884,0.090178,0.245098,3.458487,0.125977
1778644117.6455958,0.506025,1.386658,0.189548,0.244172,0.952578,0.070004,0.265725,3.464199,0.111602
1778644143.202514,0.520137,1.276628,0.176891,0.231166,0.866278,0.073906,0.288558,3.465977,0.143522
1778644169.620342,0.511249,1.165562,0.167645,0.223476,0.782087,0.053748,0.311304,3.452026,0.118273
1778644193.738167,0.503938,0.901346,0.122619,0.144625,0.649540,0.038376,0.334300,3.462563,0.098749
1778644220.246858,0.512684,0.830891,0.116121,0.147075,0.582932,0.038918,0.354531,3.469602,0.118854
1778644241.971318,0.524570,0.742170,0.098374,0.103604,0.555706,0.038204,0.373922,3.461596,0.125522
1778644268.006455,0.499684,0.505124,0.073566,0.078346,0.378446,0.018838,0.398715,3.465228,0.093704
1778644294.1606789,0.512930,0.303688,0.040816,0.022243,0.262876,0.024719,0.422140,3.460719,0.129376
1778644318.39483,0.494820,0.117879,0.015602,0.000824,0.130048,0.012051,0.444172,3.462016,0.098166
1778644347.450017,0.495904,-0.054970,-0.008463,-0.036044,0.019169,0.010034,0.469386,3.464935,0.097357
1778644376.953714,0.488521,-0.349160,-0.053599,-0.108323,-0.159109,0.012964,0.492972,3.461071,0.114673
1778644404.614678,0.515270,-0.313190,-0.047307,-0.111815,-0.125221,0.011479,0.514932,3.458572,0.107988
1778644433.916964,0.501331,-0.535814,-0.078332,-0.159788,-0.270462,0.014504,0.532427,3.448382,0.117269
1778644467.099466,0.532659,-0.459523,-0.069353,-0.158366,-0.205396,0.016574,0.543153,3.469594,0.129328
1778644494.316482,0.512348,-0.633434,-0.092777,-0.183417,-0.330901,0.016645,0.557535,3.466153,0.121798
1778644522.8541398,0.515003,-0.766147,-0.111134,-0.221043,-0.410456,0.022140,0.570731,3.458376,0.139055
1778644557.507863,0.508370,-0.944066,-0.144104,-0.267272,-0.507909,0.019739,0.581451,3.465150,0.120943
1778644585.34252,0.511824,-0.826388,-0.120993,-0.221050,-0.459007,0.018662,0.586161,3.466891,0.115519
1778644617.771275,0.500602,-1.007417,-0.152168,-0.267999,-0.564764,0.024363,0.591232,3.466781,0.128086
1778644628.031988,0.527338,-0.952054,-0.147524,-0.272040,-0.508716,0.021610,0.597136,3.457811,0.133619
