timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std,entropy_coef,lr
1778741183.178653,-1.413771,-0.111248,-0.568623,-1.408203,-1.514221,3.015532,0.033119,2.224966,0.967821,0.050000,0.001000
1778741213.433425,-1.555223,0.072705,-0.588872,-1.368944,-1.552947,3.677577,0.033555,2.264232,1.082438,0.049100,0.001000
1778741239.1565812,-1.390538,0.229201,-0.689976,-1.728920,-1.855483,3.379606,0.014883,2.256428,1.194441,0.048200,0.000999
1778741267.330488,-1.454008,0.388248,-0.603308,-1.504446,-1.656806,3.291547,-0.004142,2.230117,1.099234,0.047300,0.000997
1778741300.470825,-1.679843,0.670648,-0.588719,-1.353822,-1.581879,3.882524,-0.022289,2.281410,1.073805,0.046400,0.000994
1778741330.0403671,-1.487511,-2.956510,-0.598657,-1.412953,-1.618677,3.101546,-0.042864,2.233178,1.015207,0.045500,0.000991
1778741357.666582,-1.342386,-3.329009,-0.665344,-1.639772,-1.771999,2.826780,-0.062614,2.240540,1.099016,0.044600,0.000987
1778741388.745217,-1.549182,-2.375778,-0.559584,-1.337132,-1.503111,3.205958,-0.082704,2.243391,1.035448,0.043700,0.000982
1778741416.90154,-1.454196,-2.813703,-0.648518,-1.476433,-1.750606,2.895010,-0.103003,2.246480,1.042238,0.042800,0.000977
1778741443.5273228,-1.437368,-2.656657,-0.652112,-1.430685,-1.779430,2.886159,-0.123605,2.224399,1.085634,0.041900,0.000971
1778741476.498147,-1.765596,-1.533141,-0.565166,-1.454647,-1.470773,4.101133,-0.144629,2.271240,1.223516,0.041000,0.000964
1778741505.361523,-1.394861,-2.602303,-0.633354,-1.462322,-1.728678,2.623148,-0.165502,2.232515,1.062767,0.040100,0.000957
1778741546.550949,-1.634437,-1.990176,-0.585541,-1.425743,-1.554502,3.329460,-0.187033,2.273495,1.119856,0.039200,0.000948
1778741581.609587,-1.559502,-2.542505,-0.656186,-1.513315,-1.768481,2.963920,-0.209066,2.258037,1.076262,0.038300,0.000940
1778741630.483656,-1.742057,-1.754062,-0.560111,-1.337059,-1.486130,3.428799,-0.231481,2.277071,1.079427,0.037400,0.000930
1778741662.390477,-1.483047,-2.516915,-0.636119,-1.448372,-1.706759,2.713440,-0.253526,2.257149,1.104895,0.036500,0.000920
1778741692.973193,-1.505139,-2.396014,-0.591081,-1.335458,-1.633883,2.487661,-0.275001,2.230980,0.994931,0.035600,0.000910
1778741723.168689,-1.385376,-2.711156,-0.599275,-1.428165,-1.634821,2.056149,-0.297144,2.218161,0.941137,0.034700,0.000899
1778741756.718158,-1.505613,-2.652190,-0.648029,-1.480204,-1.753846,2.612297,-0.320361,2.256219,1.107538,0.033800,0.000887
1778741787.821756,-1.507034,-2.183810,-0.561585,-1.272442,-1.471582,2.390012,-0.343074,2.225129,1.025495,0.032900,0.000875
1778741820.3466802,-1.507522,-2.691825,-0.643018,-1.495671,-1.729939,2.496651,-0.365646,2.235104,1.100774,0.032000,0.000862
1778741856.051002,-1.573219,-2.138927,-0.550020,-1.344097,-1.445812,2.542496,-0.390173,2.258697,1.077515,0.031100,0.000848
1778741883.6733031,-1.374316,-2.791614,-0.598819,-1.431049,-1.587945,1.786966,-0.411776,2.227941,0.934954,0.030200,0.000835
1778741920.3688488,-1.592976,-2.636579,-0.642487,-1.536398,-1.708876,2.634799,-0.436282,2.259982,1.147798,0.029300,0.000820
1778741954.958496,-1.556367,-2.851607,-0.670860,-1.561350,-1.788047,2.465782,-0.459491,2.261983,1.132557,0.028400,0.000806
1778741995.215339,-1.660813,-2.284541,-0.581056,-1.325662,-1.560925,2.489645,-0.483389,2.244384,1.058693,0.027500,0.000791
1778742029.8615522,-1.423626,-2.789682,-0.597602,-1.416492,-1.605752,1.778944,-0.508088,2.229650,0.977583,0.026600,0.000775
1778742067.245504,-1.567204,-2.628747,-0.611829,-1.493934,-1.621291,2.312928,-0.533287,2.262888,1.124139,0.025700,0.000759
1778742099.293403,-1.547053,-3.027633,-0.695995,-1.669626,-1.850704,2.489913,-0.558061,2.268775,1.239276,0.024800,0.000743
1778742130.2096052,-1.440251,-2.770382,-0.591008,-1.378917,-1.599017,1.702874,-0.582867,2.212439,0.991528,0.023900,0.000726
1778742160.432632,-1.406480,-2.648430,-0.547660,-1.274378,-1.497231,1.443619,-0.607814,2.216062,0.904733,0.023000,0.000710
1778742192.9120672,-1.381285,-3.297255,-0.647844,-1.624395,-1.726408,1.502101,-0.635027,2.247021,0.979900,0.022100,0.000693
1778742226.6640902,-1.477334,-2.953362,-0.628402,-1.566327,-1.658694,1.895196,-0.660004,2.242293,1.116534,0.021200,0.000675
1778742264.394711,-1.658538,-2.621251,-0.603094,-1.384605,-1.630684,2.086137,-0.687625,2.262899,1.077782,0.020300,0.000658
1778742306.701847,-1.584971,-2.794403,-0.629738,-1.457395,-1.661799,1.996881,-0.712457,2.263475,1.120363,0.019400,0.000640
1778742349.211848,-1.728235,-2.391843,-0.570995,-1.311040,-1.505694,2.075734,-0.741696,2.269232,1.058289,0.018500,0.000622
1778742388.809112,-1.813034,-2.313860,-0.563387,-1.366366,-1.507296,2.326742,-0.767352,2.283066,1.119316,0.017600,0.000604
1778742419.372276,-1.483733,-2.883924,-0.609017,-1.380105,-1.656339,1.597898,-0.791558,2.240283,1.066091,0.016700,0.000586
1778742447.496223,-1.463116,-2.931328,-0.580850,-1.476082,-1.552988,1.427579,-0.816982,2.227707,1.012978,0.015800,0.000568
1778742478.87493,-1.640846,-2.888470,-0.661403,-1.364406,-1.789868,1.921929,-0.843956,2.265551,1.143382,0.014900,0.000550
1778742509.925886,-1.638322,-2.728192,-0.621756,-1.431628,-1.665886,2.045615,-0.869530,2.266414,1.215591,0.014000,0.000532
1778742543.771093,-1.684535,-2.502854,-0.551533,-1.353344,-1.442635,1.748884,-0.897749,2.273592,1.071348,0.013100,0.000514
1778742571.018657,-1.471193,-3.243678,-0.644139,-1.455527,-1.759330,1.285345,-0.918451,2.242151,0.997684,0.012200,0.000496
1778742600.111369,-1.519729,-3.084955,-0.621253,-1.438750,-1.667316,1.335542,-0.944212,2.248375,1.010081,0.011300,0.000478
1778742628.1212008,-1.479703,-2.658637,-0.527134,-1.278421,-1.423897,1.187690,-0.964901,2.214415,0.968150,0.010400,0.000460
1778742660.242244,-1.527486,-3.365960,-0.677870,-1.614966,-1.822493,1.541927,-0.989589,2.273247,1.128041,0.009500,0.000442
1778742690.766199,-1.481695,-2.762022,-0.552019,-1.282571,-1.478323,1.140083,-1.013397,2.226770,0.967159,0.008600,0.000425
1778742720.1682339,-1.410605,-3.501444,-0.685316,-1.603548,-1.855996,1.321589,-1.030314,2.256941,1.093457,0.007700,0.000407
1778742747.991318,-1.398230,-3.296531,-0.629401,-1.666301,-1.665323,1.359367,-1.053555,2.233803,1.122612,0.006800,0.000390
1778742777.901942,-1.515175,-3.021481,-0.595117,-1.473770,-1.619468,1.360211,-1.070703,2.242678,1.086789,0.005900,0.000374
1778742804.65906,-1.449848,-3.615585,-0.705521,-1.660656,-1.934218,1.392029,-1.087814,2.240773,1.131802,0.005000,0.000357
1778742834.290045,-1.465442,-3.043485,-0.575237,-1.493398,-1.570011,1.212678,-1.108188,2.235518,1.049891,0.005000,0.000341
1778742877.186144,-2.004905,-2.192808,-0.534641,-1.277005,-1.411942,2.084608,-1.132216,2.304720,1.159320,0.005000,0.000325
1778742908.726472,-1.439026,-3.304348,-0.644979,-1.498225,-1.788855,1.277516,-1.137260,2.209319,1.097855,0.005000,0.000309
1778742943.64922,-1.703802,-2.445055,-0.522563,-1.212365,-1.408358,1.419006,-1.158681,2.254232,1.067547,0.005000,0.000294
1778742980.8407412,-1.590024,-2.842382,-0.576632,-1.343166,-1.547840,1.272974,-1.168671,2.246156,1.054904,0.005000,0.000280
1778743012.603668,-1.483318,-3.059932,-0.586691,-1.453885,-1.577142,1.137891,-1.184213,2.232022,1.032022,0.005000,0.000265
1778743040.848672,-1.459002,-3.340904,-0.651098,-1.545923,-1.777067,1.288684,-1.194444,2.231684,1.112671,0.005000,0.000252
1778743069.1970088,-1.337740,-3.062526,-0.574031,-1.366264,-1.569537,0.916707,-1.209190,2.209468,0.956279,0.005000,0.000238
1778743102.424889,-1.496810,-3.200815,-0.622212,-1.454684,-1.687879,1.150408,-1.223466,2.248829,1.045354,0.005000,0.000225
1778743138.652674,-1.651993,-2.856934,-0.574185,-1.420864,-1.512791,1.324331,-1.234074,2.251946,1.080705,0.005000,0.000213
1778743172.370873,-1.617407,-2.894140,-0.573429,-1.427227,-1.534412,1.304661,-1.241779,2.280346,1.087214,0.005000,0.000201
1778743207.725728,-1.557040,-3.101210,-0.618554,-1.498953,-1.654075,1.363297,-1.249614,2.255138,1.135309,0.005000,0.000190
1778743237.767956,-1.562314,-3.185259,-0.626698,-1.414083,-1.698096,1.129838,-1.257037,2.260245,1.026206,0.005000,0.000180
1778743266.035799,-1.443210,-2.841660,-0.515134,-1.341191,-1.395919,0.843286,-1.266710,2.211619,0.908309,0.005000,0.000170
1778743297.923815,-1.559142,-2.873753,-0.555059,-1.337440,-1.527202,1.114586,-1.278867,2.269135,1.025903,0.005000,0.000160
1778743324.94348,-1.393127,-3.392961,-0.626447,-1.545693,-1.722436,1.025369,-1.276165,2.213811,1.013779,0.005000,0.000152
1778743350.6984692,-1.324128,-3.435078,-0.627057,-1.503466,-1.705069,0.823222,-1.282586,2.219445,0.913529,0.005000,0.000143
1778743379.843607,-1.531106,-3.102385,-0.621679,-1.458694,-1.673775,1.326077,-1.294618,2.254939,1.135919,0.005000,0.000136
1778743410.1673841,-1.570417,-3.008803,-0.596265,-1.401912,-1.597782,1.196793,-1.299473,2.247950,1.068276,0.005000,0.000129
1778743441.550736,-1.625900,-3.060479,-0.592161,-1.663207,-1.524544,1.461627,-1.305629,2.276216,1.175001,0.005000,0.000123
1778743475.213772,-1.550365,-2.828413,-0.559270,-1.265409,-1.501081,1.017297,-1.311740,2.260095,0.987724,0.005000,0.000118
1778743509.008599,-1.371382,-3.397763,-0.626518,-1.650505,-1.673758,1.128475,-1.309184,2.243675,1.068858,0.005000,0.000113
1778743549.5717618,-1.764173,-2.777518,-0.584220,-1.394567,-1.545729,1.516846,-1.324065,2.285110,1.159376,0.005000,0.000109
1778743585.3108852,-1.743912,-2.779372,-0.571954,-1.389732,-1.481323,1.349991,-1.322000,2.271528,1.091139,0.005000,0.000106
1778743623.0858319,-1.482381,-3.013703,-0.567984,-1.403975,-1.508223,0.955381,-1.324512,2.242410,0.972228,0.005000,0.000103
1778743659.4043012,-1.675983,-3.017482,-0.613066,-1.539503,-1.590056,1.473040,-1.335419,2.275303,1.174137,0.005000,0.000101
1778743692.555149,-1.456615,-3.470420,-0.689477,-1.592104,-1.836434,1.317674,-1.331212,2.248269,1.150050,0.005000,0.000100
1778743700.1927402,-1.524755,-3.129231,-0.591990,-1.245446,-1.569438,0.577534,-1.340108,2.224759,0.788082,0.005000,0.000100
