timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std,entropy_coef,lr
1778729891.072639,0.269300,-0.111248,-0.262824,-0.619863,-0.683418,0.058060,0.033119,2.224966,0.048106,0.050000,0.001000
1778729920.391989,0.281328,-0.107921,-0.249358,-0.587251,-0.654339,0.065061,0.033555,2.264232,0.061057,0.049100,0.001000
1778729945.33349,0.295631,-0.102139,-0.274998,-0.643331,-0.790395,0.066204,0.048845,2.256427,0.073378,0.048200,0.000999
1778729972.6790001,0.289154,-0.096933,-0.304112,-0.656088,-0.871190,0.057008,0.067711,2.230116,0.089986,0.047300,0.000997
1778730003.452708,0.274143,-0.097882,-0.237910,-0.520872,-0.654823,0.039875,0.090104,2.281409,0.078105,0.046400,0.000994
1778730030.547224,0.270285,-1.093972,-0.159940,-0.457430,-0.382019,0.028105,0.109175,2.233177,0.046721,0.045500,0.000991
1778730056.648361,0.282726,-1.858083,-0.297100,-0.656038,-0.813232,0.027380,0.129629,2.240540,0.063279,0.044600,0.000987
1778730086.991157,0.265660,-1.155842,-0.181300,-0.377942,-0.503513,0.014141,0.154415,2.243371,0.042350,0.043700,0.000982
1778730115.901866,0.283558,-1.769139,-0.285415,-0.563948,-0.830221,0.016484,0.176520,2.246478,0.071457,0.042800,0.000977
1778730143.8216221,0.272677,-1.442712,-0.223990,-0.506115,-0.622969,0.007921,0.198984,2.224397,0.050302,0.041900,0.000971
1778730177.654974,0.263360,-1.597564,-0.242468,-0.613351,-0.650575,0.003902,0.226807,2.271235,0.051053,0.041000,0.000964
1778730205.561575,0.298253,-1.906673,-0.307762,-0.630040,-0.882952,0.007208,0.247112,2.232505,0.068306,0.040100,0.000957
1778730239.707145,0.270550,-1.872218,-0.300565,-0.647089,-0.837507,0.004127,0.274389,2.273483,0.064635,0.039200,0.000948
1778730270.7365692,0.284797,-1.562468,-0.247558,-0.567299,-0.662906,0.003554,0.295487,2.258020,0.059113,0.038300,0.000940
1778730305.7323709,0.271131,-1.855974,-0.295549,-0.654770,-0.822743,0.004502,0.317129,2.277051,0.049237,0.037400,0.000930
1778730336.285182,0.283247,-1.612969,-0.262131,-0.544112,-0.728979,0.009276,0.327989,2.257124,0.085960,0.036500,0.000920
1778730365.018177,0.280985,-1.529338,-0.243056,-0.519316,-0.691845,0.008604,0.334210,2.230956,0.076570,0.035600,0.000910
1778730393.3196428,0.272474,-0.957592,-0.137536,-0.360123,-0.386337,0.006746,0.337113,2.218138,0.051079,0.034700,0.000899
1778730423.711502,0.278357,-1.979515,-0.331205,-0.627040,-0.948535,0.007049,0.337876,2.256190,0.059684,0.033800,0.000887
1778730451.8951511,0.279606,-1.678883,-0.276763,-0.602793,-0.729280,0.006320,0.333427,2.225109,0.058971,0.032900,0.000875
1778730481.431055,0.280267,-1.607521,-0.258272,-0.587661,-0.693406,0.006682,0.326121,2.235072,0.068206,0.032000,0.000862
1778730513.1222541,0.285215,-1.693937,-0.277561,-0.622050,-0.726131,0.004099,0.320848,2.258674,0.053610,0.031100,0.000848
1778730539.455028,0.277211,-0.887589,-0.130839,-0.352823,-0.338668,0.004049,0.308819,2.227933,0.055662,0.030200,0.000835
1778730573.275498,0.273457,-2.185446,-0.358106,-0.765454,-0.998109,0.004881,0.301715,2.259972,0.064402,0.029300,0.000820
1778730609.464368,0.265522,-2.082574,-0.345222,-0.767194,-0.907815,0.003794,0.291792,2.261977,0.056157,0.028400,0.000806
1778730642.0771048,0.269711,-1.648343,-0.273521,-0.564298,-0.750985,0.004362,0.282171,2.244380,0.065374,0.027500,0.000791
1778730671.394343,0.269752,-1.609676,-0.262163,-0.577840,-0.711873,0.003017,0.272449,2.229650,0.055293,0.026600,0.000775
1778730705.9406989,0.261848,-1.244105,-0.187930,-0.509798,-0.489564,0.002686,0.265745,2.262890,0.052084,0.025700,0.000759
1778730737.6064582,0.280602,-2.168052,-0.351159,-0.799223,-0.963800,0.004792,0.257794,2.268776,0.065872,0.024800,0.000743
1778730767.939759,0.282825,-1.490813,-0.237326,-0.513844,-0.691402,0.009272,0.250882,2.212440,0.091558,0.023900,0.000726
1778730797.987933,0.285350,-1.647477,-0.268838,-0.539122,-0.792149,0.007204,0.247507,2.216066,0.076571,0.023000,0.000710
1778730827.756881,0.272948,-1.354191,-0.206620,-0.554312,-0.545779,0.004359,0.246415,2.247028,0.060938,0.022100,0.000693
1778730859.435624,0.269044,-1.204135,-0.180518,-0.504264,-0.473271,0.002909,0.245874,2.242301,0.049093,0.021200,0.000675
1778730895.604356,0.276931,-2.258657,-0.372905,-0.805935,-1.036089,0.004418,0.248182,2.262903,0.060400,0.020300,0.000658
1778730932.535438,0.281159,-1.463537,-0.240270,-0.556687,-0.625007,0.004675,0.249032,2.263482,0.060833,0.019400,0.000640
1778730972.7645829,0.282994,-1.273942,-0.217384,-0.436704,-0.580788,0.005830,0.253570,2.269240,0.071017,0.018500,0.000622
1778731011.8025758,0.269430,-1.236562,-0.195690,-0.443782,-0.558514,0.003213,0.256445,2.283073,0.055608,0.017600,0.000604
1778731044.1164339,0.286983,-1.451569,-0.237793,-0.515650,-0.664877,0.008327,0.256192,2.240289,0.086582,0.016700,0.000586
1778731075.86401,0.285228,-1.211662,-0.186395,-0.445421,-0.547674,0.006048,0.259407,2.227691,0.073940,0.015800,0.000568
1778731117.428572,0.285783,-1.970497,-0.338068,-0.646949,-0.955028,0.006609,0.264644,2.265553,0.079117,0.014900,0.000550
1778731151.0079858,0.280246,-2.204223,-0.368194,-0.773316,-1.031942,0.001917,0.268636,2.266410,0.042546,0.014000,0.000532
1778731187.429572,0.269398,-1.143208,-0.190366,-0.446899,-0.477371,0.002426,0.274194,2.273588,0.049409,0.013100,0.000514
1778731224.598325,0.272687,-0.788729,-0.118540,-0.303666,-0.340680,0.003021,0.274299,2.242117,0.055374,0.012200,0.000496
1778731258.751127,0.277298,-1.527244,-0.258187,-0.520601,-0.724738,0.003377,0.278195,2.248367,0.058566,0.011300,0.000478
1778731291.704376,0.281647,-1.126476,-0.190140,-0.364172,-0.551143,0.004017,0.279361,2.214401,0.063840,0.010400,0.000460
1778731324.3741078,0.281711,-1.271444,-0.205024,-0.521915,-0.525178,0.004535,0.282615,2.273235,0.067867,0.009500,0.000442
1778731355.858321,0.270865,-0.707073,-0.119884,-0.249235,-0.320597,0.003587,0.284559,2.226765,0.058768,0.008600,0.000425
1778731386.076895,0.293973,-2.226210,-0.371390,-0.753176,-1.088175,0.007819,0.284702,2.256950,0.088631,0.007700,0.000407
1778731415.872854,0.285287,-1.873869,-0.298917,-0.757083,-0.804788,0.004217,0.286169,2.233796,0.065444,0.006800,0.000390
1778731448.138346,0.280426,-1.526526,-0.249243,-0.554162,-0.714053,0.008327,0.287745,2.242668,0.091679,0.005900,0.000374
1778731478.067017,0.271639,-1.084188,-0.178004,-0.409971,-0.486962,0.003906,0.287178,2.240759,0.061012,0.005000,0.000357
1778731510.518311,0.276902,-1.965492,-0.317747,-0.746106,-0.893313,0.005703,0.288872,2.235508,0.075155,0.005000,0.000341
1778731554.85519,0.270049,-1.615594,-0.279275,-0.563579,-0.762453,0.002474,0.294256,2.304708,0.043797,0.005000,0.000325
1778731584.945716,0.274480,-1.612468,-0.272339,-0.593572,-0.737981,0.004942,0.286296,2.209313,0.069844,0.005000,0.000309
1778731617.606528,0.278686,-1.712818,-0.281772,-0.642427,-0.779602,0.004507,0.289398,2.254186,0.066798,0.005000,0.000294
1778731653.190426,0.265623,-0.776196,-0.127779,-0.308505,-0.331032,0.004700,0.287359,2.246143,0.065537,0.005000,0.000280
1778731687.348319,0.269716,-1.071415,-0.175612,-0.424236,-0.461759,0.002705,0.285519,2.232001,0.049946,0.005000,0.000265
1778731716.9967282,0.297995,-1.847854,-0.312506,-0.630960,-0.898659,0.010859,0.283274,2.231684,0.103979,0.005000,0.000252
1778731746.459522,0.276823,-1.713863,-0.278723,-0.627023,-0.799378,0.004617,0.282370,2.209465,0.068258,0.005000,0.000238
1778731780.457769,0.278287,-1.744763,-0.290905,-0.592948,-0.852596,0.005858,0.283415,2.248824,0.076972,0.005000,0.000225
1778731820.817035,0.269924,-1.508729,-0.251668,-0.541780,-0.706114,0.004187,0.283744,2.251940,0.063710,0.005000,0.000213
1778731860.431123,0.274270,-1.258059,-0.207953,-0.475891,-0.563936,0.002245,0.282791,2.280317,0.046973,0.005000,0.000201
1778731896.447365,0.276108,-1.616294,-0.269576,-0.614518,-0.722878,0.003906,0.280342,2.255132,0.062849,0.005000,0.000190
1778731931.1130009,0.297244,-1.205012,-0.206482,-0.385993,-0.606261,0.010052,0.279755,2.260237,0.099501,0.005000,0.000180
1778731964.231435,0.276452,-1.198510,-0.201119,-0.436177,-0.551571,0.002832,0.278584,2.211620,0.053592,0.005000,0.000170
1778731999.97809,0.282172,-1.495812,-0.239263,-0.572760,-0.673840,0.002792,0.280196,2.269113,0.053221,0.005000,0.000160
1778732032.744014,0.251409,-1.204830,-0.205427,-0.408202,-0.581135,0.002005,0.276076,2.213799,0.037670,0.005000,0.000152
1778732064.005047,0.273967,-1.004567,-0.172684,-0.332428,-0.489838,0.002960,0.275823,2.219434,0.054809,0.005000,0.000143
1778732098.155885,0.276694,-1.746426,-0.283058,-0.717802,-0.735789,0.002997,0.277557,2.254925,0.055168,0.005000,0.000136
1778732131.771531,0.281962,-1.884042,-0.321030,-0.656028,-0.899293,0.007096,0.277207,2.247951,0.084768,0.005000,0.000129
1778732169.173889,0.268039,-0.893567,-0.129852,-0.441222,-0.312185,0.002147,0.277854,2.276210,0.045638,0.005000,0.000123
1778732203.9465759,0.282244,-1.416375,-0.244881,-0.486379,-0.675872,0.004114,0.277537,2.260090,0.064470,0.005000,0.000118
1778732236.687389,0.286731,-1.343982,-0.210842,-0.521056,-0.604360,0.006990,0.274747,2.243677,0.083399,0.005000,0.000113
1778732279.024679,0.277106,-1.590435,-0.260208,-0.627050,-0.693814,0.004127,0.278523,2.285098,0.064730,0.005000,0.000109
1778732318.2740312,0.266040,-1.053680,-0.168988,-0.486167,-0.388334,0.002333,0.276958,2.271523,0.047419,0.005000,0.000106
1778732349.922677,0.294273,-1.355040,-0.222010,-0.521672,-0.603665,0.007038,0.275288,2.242383,0.082364,0.005000,0.000103
1778732388.364662,0.273459,-1.737509,-0.287212,-0.688046,-0.752013,0.002276,0.277201,2.275305,0.047941,0.005000,0.000101
1778732418.6785831,0.284181,-1.517882,-0.255322,-0.587935,-0.665221,0.003676,0.274214,2.248262,0.060282,0.005000,0.000100
1778732422.950355,0.238409,-0.454667,-0.064190,-0.105032,-0.275677,0.002712,0.275444,2.224759,0.039138,0.005000,0.000100
