timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std,entropy_coef,lr
1778664228.784317,0.275185,-0.111241,-0.278019,-0.591181,-0.795872,0.065135,0.025014,2.224821,0.050894,0.050000,0.001000
1778664259.0168152,0.272382,-0.107215,-0.165214,-0.434233,-0.441553,0.063156,0.025972,2.263997,0.049763,0.049100,0.001000
1778664284.598918,0.277973,-0.101070,-0.246450,-0.578346,-0.659230,0.061464,0.038893,2.256285,0.066126,0.048200,0.000999
1778664310.931039,0.278376,-0.094824,-0.191989,-0.412650,-0.543072,0.056801,0.054002,2.229896,0.080992,0.047300,0.000997
1778664341.210451,0.281416,-1.886156,-0.297641,-0.721816,-0.772841,0.047971,0.071270,2.281276,0.062213,0.046400,0.000994
1778664368.159561,0.283153,-1.362601,-0.219931,-0.425429,-0.629482,0.044313,0.087508,2.233130,0.078307,0.045500,0.000991
1778664394.114924,0.273201,-1.408020,-0.222211,-0.469997,-0.628197,0.032815,0.104437,2.240390,0.066353,0.044600,0.000987
1778664422.119437,0.285753,-1.304955,-0.202242,-0.445236,-0.573777,0.032762,0.123441,2.243348,0.080735,0.043700,0.000982
1778664447.650778,0.287198,-1.758139,-0.286947,-0.563523,-0.824495,0.025956,0.143059,2.246546,0.072539,0.042800,0.000977
1778664472.1333911,0.289774,-1.940662,-0.322965,-0.593652,-0.940748,0.019809,0.162684,2.224362,0.060954,0.041900,0.000971
1778664502.65528,0.270668,-1.055308,-0.154664,-0.403795,-0.409075,0.010690,0.185828,2.271190,0.059559,0.041000,0.000964
1778664528.5897138,0.286127,-1.344355,-0.201155,-0.534089,-0.527403,0.015628,0.204415,2.232495,0.095358,0.040100,0.000957
1778664560.483149,0.266647,-1.047316,-0.141338,-0.404212,-0.414769,0.004244,0.225623,2.273437,0.051001,0.039200,0.000948
1778664589.1137059,0.275588,-1.255475,-0.198986,-0.403069,-0.568975,0.004083,0.248970,2.258145,0.058550,0.038300,0.000940
1778664620.956612,0.270606,-1.008068,-0.153826,-0.351966,-0.418758,0.003300,0.264377,2.277229,0.057558,0.037400,0.000930
1778664647.9666271,0.266716,-0.422163,-0.055551,-0.146295,-0.139205,0.002548,0.282632,2.257138,0.048278,0.036500,0.000920
1778664673.9537978,0.284195,-0.606445,-0.077093,-0.243948,-0.208163,0.004364,0.295971,2.231009,0.065515,0.035600,0.000910
1778664700.7585669,0.271951,-0.699637,-0.081449,-0.336782,-0.206434,0.003990,0.307739,2.218073,0.052462,0.034700,0.000899
1778664726.409858,0.279563,-1.509744,-0.226861,-0.604928,-0.603368,0.003340,0.313143,2.256135,0.047404,0.033800,0.000887
1778664753.1521542,0.260970,-0.013532,0.017465,-0.020868,0.060324,0.005502,0.320428,2.225052,0.044698,0.032900,0.000875
1778664780.8269272,0.286847,-1.430356,-0.231440,-0.502719,-0.629383,0.009417,0.328461,2.235087,0.088360,0.032000,0.000862
1778664810.9306262,0.276169,-1.025508,-0.147400,-0.417210,-0.393811,0.006305,0.330568,2.258514,0.058301,0.031100,0.000848
1778664838.517314,0.269281,-1.319608,-0.204621,-0.527900,-0.522759,0.005900,0.329067,2.227783,0.048604,0.030200,0.000835
1778664866.4719942,0.280960,-1.335073,-0.209740,-0.523972,-0.538472,0.006654,0.332238,2.259896,0.063938,0.029300,0.000820
1778664894.821114,0.282586,-1.440939,-0.217847,-0.555410,-0.606888,0.006890,0.328124,2.261907,0.069946,0.028400,0.000806
1778664923.234122,0.281016,-1.297925,-0.213003,-0.426029,-0.600417,0.006481,0.320406,2.244210,0.070764,0.027500,0.000791
1778664950.214732,0.291435,-1.588648,-0.250121,-0.570100,-0.712053,0.005866,0.313637,2.229623,0.073879,0.026600,0.000775
1778664979.243644,0.283164,-1.539066,-0.239863,-0.563401,-0.680374,0.005456,0.310654,2.262831,0.069101,0.025700,0.000759
1778665008.214763,0.280337,-0.935605,-0.141700,-0.355132,-0.385656,0.006298,0.305217,2.268749,0.075956,0.024800,0.000743
1778665033.4761689,0.278203,-0.431163,-0.062581,-0.140147,-0.177548,0.003979,0.296878,2.212439,0.060729,0.023900,0.000726
1778665059.734653,0.279949,-1.290398,-0.205400,-0.457101,-0.579406,0.004950,0.291108,2.215882,0.070013,0.023000,0.000710
1778665085.2209668,0.284989,-0.973078,-0.145503,-0.418524,-0.362466,0.006142,0.284403,2.246902,0.078989,0.022100,0.000693
1778665111.1007428,0.273660,-1.803567,-0.282032,-0.747396,-0.728296,0.003384,0.281905,2.242218,0.058037,0.021200,0.000675
1778665140.4381812,0.274266,-0.872227,-0.132567,-0.353277,-0.342096,0.003301,0.280023,2.262913,0.057614,0.020300,0.000658
1778665169.2002828,0.278045,-1.298490,-0.213557,-0.438851,-0.604357,0.004368,0.272920,2.263359,0.066410,0.019400,0.000640
1778665199.935649,0.290620,-1.298097,-0.213562,-0.466534,-0.578897,0.005753,0.274578,2.269209,0.074717,0.018500,0.000622
1778665232.5072289,0.291241,-1.791270,-0.284537,-0.672328,-0.797521,0.006592,0.272652,2.283002,0.079657,0.017600,0.000604
1778665258.859066,0.282276,-0.715411,-0.116389,-0.249990,-0.315722,0.008208,0.266384,2.240387,0.089897,0.016700,0.000586
1778665284.843989,0.274657,-1.436136,-0.214846,-0.594868,-0.593265,0.004074,0.265419,2.227514,0.063654,0.015800,0.000568
1778665313.839367,0.265417,-0.536695,-0.084845,-0.165609,-0.254150,0.003330,0.268329,2.265500,0.058085,0.014900,0.000550
1778665342.880358,0.289245,-1.836048,-0.305963,-0.663155,-0.837932,0.005462,0.264994,2.266358,0.070362,0.014000,0.000532
1778665372.73238,0.294771,-1.804870,-0.299587,-0.665702,-0.812824,0.006054,0.262262,2.273566,0.071248,0.013100,0.000514
1778665398.2391949,0.278857,-1.387786,-0.222297,-0.535877,-0.604475,0.004429,0.264599,2.241897,0.065521,0.012200,0.000496
1778665425.4108999,0.272551,-0.016846,0.018197,-0.076471,0.065468,0.002730,0.265679,2.248285,0.052201,0.011300,0.000478
1778665450.516078,0.285623,-1.353171,-0.225635,-0.450475,-0.656289,0.004516,0.268975,2.214370,0.065619,0.010400,0.000460
1778665477.8867881,0.275686,-0.189599,-0.010226,-0.178292,0.019282,0.002461,0.265512,2.273087,0.048936,0.009500,0.000442
1778665505.354296,0.274313,-1.148128,-0.183423,-0.423282,-0.525259,0.005969,0.267536,2.226609,0.077572,0.008600,0.000425
1778665531.979567,0.286427,-1.753425,-0.290484,-0.652965,-0.795703,0.006208,0.270099,2.256777,0.077689,0.007700,0.000407
1778665557.931178,0.284362,-0.993405,-0.146592,-0.474485,-0.359826,0.005377,0.269223,2.233930,0.072318,0.006800,0.000390
1778665585.546869,0.275485,-1.160905,-0.182695,-0.488879,-0.477316,0.002432,0.271166,2.242676,0.049515,0.005900,0.000374
1778665609.925616,0.293731,-1.378102,-0.219538,-0.535916,-0.615833,0.008776,0.276321,2.240695,0.092779,0.005000,0.000357
1778665636.2733371,0.299103,-1.312180,-0.206196,-0.508826,-0.592335,0.012707,0.272317,2.235482,0.110364,0.005000,0.000341
1778665672.044951,0.269963,-0.340449,-0.043030,-0.187567,-0.099459,0.002259,0.276777,2.304538,0.047412,0.005000,0.000325
1778665699.4795809,0.275485,0.024927,0.010090,-0.058779,0.082504,0.004317,0.279619,2.209202,0.066089,0.005000,0.000309
1778665730.052456,0.275171,-0.414558,-0.066878,-0.176397,-0.161076,0.002128,0.274336,2.254182,0.046487,0.005000,0.000294
1778665759.31874,0.279166,-0.946998,-0.149123,-0.386353,-0.402463,0.004346,0.278218,2.246137,0.066436,0.005000,0.000280
1778665785.7232268,0.289963,-1.609401,-0.263046,-0.589523,-0.748365,0.005386,0.274560,2.231819,0.072319,0.005000,0.000265
1778665811.1868339,0.271564,-0.940677,-0.146357,-0.420011,-0.364887,0.003472,0.278485,2.231513,0.058975,0.005000,0.000252
1778665834.7458591,0.283256,-0.183467,-0.019397,-0.100645,-0.054652,0.004548,0.275437,2.209332,0.067515,0.005000,0.000238
1778665862.309664,0.271212,-0.468844,-0.060566,-0.262714,-0.136124,0.003608,0.277473,2.248837,0.060211,0.005000,0.000225
1778665892.605864,0.275358,-0.871948,-0.136272,-0.318863,-0.407396,0.003686,0.279605,2.251914,0.061041,0.005000,0.000213
1778665923.016196,0.272107,-1.019553,-0.163325,-0.407163,-0.439100,0.002872,0.280916,2.280203,0.053284,0.005000,0.000201
1778665950.830505,0.281116,-1.393782,-0.229197,-0.508889,-0.648170,0.007499,0.278537,2.255030,0.087245,0.005000,0.000190
1778665978.110776,0.278119,-0.453249,-0.072378,-0.208119,-0.162635,0.002367,0.278689,2.260152,0.049032,0.005000,0.000180
1778666003.8197792,0.273358,-1.279532,-0.205416,-0.515280,-0.549216,0.002877,0.279161,2.211581,0.053749,0.005000,0.000170
1778666032.288877,0.283721,-0.931744,-0.138024,-0.410771,-0.374381,0.005555,0.281428,2.269075,0.075086,0.005000,0.000160
1778666056.067681,0.280213,-0.895728,-0.143106,-0.340773,-0.403813,0.006065,0.280103,2.213620,0.078491,0.005000,0.000152
1778666079.175603,0.283833,-0.513714,-0.074314,-0.273135,-0.158119,0.005901,0.277467,2.219331,0.077158,0.005000,0.000143
1778666106.2417762,0.269263,-0.712098,-0.104046,-0.367210,-0.231048,0.002961,0.282548,2.254817,0.053183,0.005000,0.000136
1778666134.65649,0.282028,-1.337444,-0.209287,-0.568428,-0.550435,0.003887,0.281732,2.247697,0.062841,0.005000,0.000129
1778666165.219834,0.274037,-1.320156,-0.197074,-0.630629,-0.483345,0.004545,0.279847,2.276029,0.067695,0.005000,0.000123
1778666194.200887,0.278064,-0.476683,-0.071678,-0.199264,-0.196561,0.004240,0.278148,2.260039,0.065627,0.005000,0.000118
1778666220.329588,0.279036,-0.760528,-0.110733,-0.368573,-0.272285,0.004564,0.280404,2.243541,0.068075,0.005000,0.000113
1778666252.017717,0.282087,-1.338913,-0.218172,-0.518486,-0.593445,0.005232,0.284396,2.285134,0.072864,0.005000,0.000109
1778666282.593875,0.269413,-0.846241,-0.118498,-0.414664,-0.303008,0.002572,0.278522,2.271429,0.050289,0.005000,0.000106
1778666310.185272,0.267974,-0.907596,-0.143807,-0.378570,-0.375762,0.003509,0.279132,2.242280,0.058636,0.005000,0.000103
1778666340.572087,0.271920,-1.209223,-0.184767,-0.545437,-0.469127,0.002969,0.279606,2.275193,0.054369,0.005000,0.000101
1778666365.791289,0.287798,-0.940063,-0.149090,-0.372568,-0.409828,0.005327,0.280476,2.248163,0.073192,0.005000,0.000100
1778666368.882914,0.297236,2.186500,0.376979,0.789439,1.030327,0.001757,0.277518,2.224706,0.039539,0.005000,0.000100
