timestamp,batch,avg_reward,avg_cost,success_rate,mean_log_prob,grad_loss
1779172017.5416949,10,-0.8750,253.46,0.1250,-332.3135,-332.3135
1779172193.9586198,20,-0.8281,168.85,0.1719,-289.5722,-289.5722
1779172453.388493,30,-0.7344,154.43,0.2656,-227.5331,-227.5331
1779172683.849974,40,-0.9375,226.32,0.0625,-329.1255,-329.1255
1779173000.849849,50,-0.9062,245.53,0.0938,-336.6428,-336.6428
1779173282.636867,60,-0.8594,177.00,0.1406,-329.8345,-329.8345
1779173475.203788,70,-0.7813,155.75,0.2188,-323.4262,-323.4262
1779173632.841268,80,-0.9844,165.28,0.0156,-367.0368,-367.0368
1779173820.0594041,90,-0.8906,366.70,0.1094,-299.8924,-299.8924
1779173955.845161,100,-0.8125,244.13,0.1875,-294.2649,-294.2649
1779174132.2739148,110,-0.7656,215.05,0.2344,-312.1708,-312.1708
