timestamp,batch,ratio_mean,avg_cost,success_rate,reward_std,grad_loss
1779299208.61797,10,0.4805,181.35,0.1719,0.7633,0.2015
1779299338.416115,20,0.4776,143.46,0.4062,0.5335,-2.4032
1779299480.515887,30,0.5687,90.61,0.2031,0.3016,-0.1446
1779299614.869261,40,0.4279,188.79,0.2344,0.7033,2.5458
1779299757.683985,50,0.6174,110.56,0.1406,0.5605,0.4249
1779299935.891298,60,0.4132,171.25,0.3281,0.4488,0.8196
1779300111.3495429,70,0.4372,111.65,0.2031,0.4336,-0.2558
1779300250.6638641,80,0.6215,98.24,0.0781,0.2915,-1.7098
1779300380.885664,90,0.3560,211.77,0.3594,0.4896,-1.4806
1779300510.4695392,100,0.5529,140.63,0.1719,0.4918,0.6920
1779300653.226022,110,0.5722,102.92,0.1562,0.6125,0.7751
1779300790.675478,120,0.4245,161.85,0.3906,0.5609,2.0132
